load_kg,feedforward,sq,abd_fd_nominal_x,abd_fd_composed_x,abd_command_x,abd_candidate_x,abd_residual_x,abd_bias_slope_deg_per_phase,abd_bias_rate_rad_s,tho_fd_nominal_x,tho_fd_composed_x,tho_command_x,tho_candidate_x,tho_residual_x,tho_bias_slope_deg_per_phase,tho_bias_rate_rad_s
0,0,0.1710,0.085649,0.032033,0.084709,0.032033,0.052676,-10.2400,-0.053617,0.128433,0.106652,0.127021,0.106652,0.020369,-4.1600,-0.021782
0,0,0.1740,0.084709,0.031093,0.084709,0.031093,0.053616,-10.2400,-0.053617,0.127021,0.105239,0.127021,0.105239,0.021781,-4.1600,-0.021782
0,0,0.1770,0.084709,0.031093,0.084709,0.031093,0.053616,-10.2400,-0.053617,0.127021,0.105239,0.127021,0.105239,0.021782,-4.1600,-0.021782
0,0,0.1800,0.083089,0.029472,0.081469,0.029472,0.051996,-10.2400,-0.053617,0.124590,0.102808,0.122159,0.102808,0.019351,-4.1600,-0.021782
0,0,0.1830,0.081469,0.027852,0.081469,0.027852,0.053616,-10.2400,-0.053617,0.122159,0.100378,0.122159,0.100378,0.021781,-4.1600,-0.021782
0,0,0.1860,0.081469,0.027852,0.081469,0.027852,0.053616,-10.2400,-0.053617,0.122160,0.100378,0.122159,0.100378,0.021781,-4.1600,-0.021782
0,0,0.1890,0.080249,0.026632,0.081469,0.026632,0.054836,-10.2400,-0.053617,0.120330,0.098548,0.122159,0.098548,0.023611,-4.1600,-0.021782
0,0,0.1920,0.078419,0.024802,0.077809,0.024802,0.053007,-10.2400,-0.053617,0.117587,0.095805,0.116672,0.095805,0.020867,-4.1600,-0.021782
0,0,0.1950,0.077809,0.024192,0.077809,0.024192,0.053617,-10.2400,-0.053617,0.116673,0.094891,0.116672,0.094891,0.021781,-4.1600,-0.021782
0,0,0.1980,0.077129,0.023513,0.077809,0.023513,0.054296,-10.2400,-0.053617,0.115653,0.093871,0.116672,0.093871,0.022801,-4.1600,-0.021782
0,0,0.2010,0.075093,0.021476,0.073734,0.021476,0.052259,-10.2400,-0.053617,0.112594,0.090812,0.110555,0.090812,0.019743,-4.1600,-0.021782
0,0,0.2040,0.073734,0.020118,0.073734,0.020118,0.053617,-10.2400,-0.053617,0.110556,0.088774,0.110555,0.088774,0.021781,-4.1600,-0.021782
0,0,0.2070,0.073734,0.020118,0.073734,0.020118,0.053616,-10.2400,-0.053617,0.110556,0.088774,0.110555,0.088774,0.021782,-4.1600,-0.021782
