load_kg,tick,time_s,valid_repeats,cop_mean_m,cop_std_m,com_mean_m,com_std_m,trunk_mean_rad,trunk_std_rad
25,102,1.02,0,0,0,0,0,0,0
25,103,1.03,0,0,0,0,0,0,0
25,104,1.04,0,0,0,0,0,0,0
25,105,1.05,0,0,0,0,0,0,0
25,106,1.06,0,0,0,0,0,0,0
25,107,1.07,0,0,0,0,0,0,0
25,108,1.08,0,0,0,0,0,0,0
25,109,1.09,0,0,0,0,0,0,0
25,110,1.1,0,0,0,0,0,0,0
25,111,1.11,0,0,0,0,0,0,0
25,112,1.12,0,0,0,0,0,0,0
25,113,1.1300000000000001,0,0,0,0,0,0,0
25,114,1.1400000000000001,0,0,0,0,0,0,0
25,115,1.1500000000000001,0,0,0,0,0,0,0
25,116,1.16,0,0,0,0,0,0,0
25,117,1.17,0,0,0,0,0,0,0
25,118,1.18,0,0,0,0,0,0,0
25,119,1.19,0,0,0,0,0,0,0
25,120,1.2,0,0,0,0,0,0,0
25,121,1.21,0,0,0,0,0,0,0
25,122,1.22,0,0,0,0,0,0,0
25,123,1.23,0,0,0,0,0,0,0
25,124,1.24,0,0,0,0,0,0,0
25,125,1.25,0,0,0,0,0,0,0
25,126,1.26,0,0,0,0,0,0,0
25,127,1.27,0,0,0,0,0,0,0
25,128,1.28,0,0,0,0,0,0,0
25,129,1.29,0,0,0,0,0,0,0
25,130,1.3,0,0,0,0,0,0,0
25,131,1.31,0,0,0,0,0,0,0
25,132,1.32,0,0,0,0,0,0,0
25,133,1.33,0,0,0,0,0,0,0
25,134,1.34,0,0,0,0,0,0,0
25,135,1.35,0,0,0,0,0,0,0
25,136,1.36,0,0,0,0,0,0,0
25,137,1.37,0,0,0,0,0,0,0
25,138,1.3800000000000001,0,0,0,0,0,0,0
25,139,1.3900000000000001,0,0,0,0,0,0,0
25,140,1.4000000000000001,0,0,0,0,0,0,0
25,141,1.41,0,0,0,0,0,0,0
25,142,1.42,0,0,0,0,0,0,0
25,143,1.43,0,0,0,0,0,0,0
25,144,1.44,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
60,1,0.01,0,0,0,0,0,0,0
60,2,0.02,0,0,0,0,0,0,0
60,3,0.03,0,0,0,0,0,0,0
60,4,0.04,0,0,0,0,0,0,0
60,5,0.05,3,-0.09068685,0,-0.06379807,0,-0.00312465057,0
60,6,0.06,3,-0.0915251747,7.450581E-09,-0.0639139861,0,-0.0131221833,0
60,7,0.07,3,-0.09269359,7.450581E-09,-0.0639177039,0,-0.020677546,0
60,8,0.08,3,-0.0941157043,0,-0.06381072,0,-0.0266387332,0
60,9,0.09,3,-0.09529974,7.450581E-09,-0.06360653,0,-0.03214451,0
60,10,0.1,3,-0.09621682,0,-0.0633236,0,-0.03663929,0
60,11,0.11,3,-0.09653572,7.450581E-09,-0.06298293,0,-0.03950632,0
60,12,0.12,3,-0.09603541,0,-0.0626015142,0,-0.0406003557,0
60,13,0.13,3,-0.09706407,0,-0.0621906631,3.7252903E-09,-0.0428636931,0
60,14,0.14,3,-0.0980245844,0,-0.06176443,3.7252903E-09,-0.0448225476,0
60,15,0.15,3,-0.09667537,7.450581E-09,-0.06132872,3.7252903E-09,-0.0461623855,3.7252903E-09
60,16,0.16,3,-0.0948111042,0,-0.06088279,3.7252903E-09,-0.0471545644,3.7252903E-09
