load_kg,tick,lifecycle,state,bar_y,trunk_pitch,com_z,support_ap_min,support_ap_max,has_support,max_demand,ankle_offset,hip_offset,trunk_offset,guard_scale,abdomen_actual,abdomen_ref,abdomen_drive_err,abdomen_demand,thorax_actual,thorax_ref,thorax_drive_err,thorax_demand,left_thigh_actual,left_thigh_demand,left_shank_actual,left_shank_demand,left_foot_actual,left_foot_demand,abdomen_maxforce
40,81,START_WINDOW,SETUP,1.30154,0.56216,-0.05787,-0.15688,0.13457,True,0.92679,-0.03604,0,0,0.48593,-0.236,0,0.23575,0.09583,-0.18096,0,0.1809,0.07631,0.07334,0.02515,0.06058,0.01701,-0.11704,0.03014,2074.8
40,91,START_WINDOW,SETUP,1.29287,0.57949,-0.05802,-0.15688,0.13457,True,3.67372,-0.03457,0,0,0.60954,-0.23782,0,0.2373,0.08978,-0.18234,0,0.18214,0.07432,0.07593,0.0265,0.05881,0.01884,-0.11052,0.04383,2074.8
40,101,START_WINDOW,SETUP,1.28694,0.58193,-0.05825,-0.15688,0.13457,True,0.8967,0,0,0,0,-0.2351,0,0.23444,0.10438,-0.18287,0,0.18268,0.08522,0.07655,0.02524,0.05379,0.01548,-0.10066,0.03764,2074.8
40,111,START_WINDOW,SETUP,1.28437,0.58697,-0.05764,-0.15688,0.13457,True,0.93262,0.00929,0,0,0.57365,-0.23774,0,0.23694,0.10253,-0.18486,0,0.18463,0.0839,0.07789,0.02529,0.04885,0.01432,-0.09626,0.03554,2074.8
40,121,START_WINDOW,SETUP,1.28194,0.58501,-0.0572,-0.15688,0.13457,True,0.9761,0.00792,0,0,0.61068,-0.23764,0,0.23678,0.10263,-0.18437,0,0.18412,0.08363,0.07823,0.02531,0.04571,0.01351,-0.09425,0.03232,2074.8
40,131,START_WINDOW,SETUP,1.28065,0.57896,-0.05677,-0.15688,0.13457,True,1.01776,0.02723,0,0,0.61211,-0.23667,0,0.23582,0.10262,-0.18284,0,0.1826,0.08337,0.07776,0.02523,0.04366,0.01257,-0.0933,0.0336,2074.8
40,141,START_WINDOW,SETUP,1.28021,0.57133,-0.05628,-0.15679,0.13457,True,0.95269,-0.01118,0,0,0.61345,-0.23598,0,0.23516,0.10227,-0.18117,0,0.18096,0.08274,0.0768,0.02518,0.04197,0.01266,-0.08039,0.02065,2074.8
40,151,START_WINDOW,SETUP,1.28082,0.56213,-0.05581,-0.15677,0.13457,True,0.94897,0.00051,0,0,0.61592,-0.23415,0,0.23339,0.1011,-0.17901,0,0.17884,0.08156,0.0759,0.02483,0.04194,0.01279,-0.06871,0.01799,2074.8
40,161,START_WINDOW,SETUP,1.28178,0.55165,-0.05531,-0.15659,0.13457,True,0.94433,0.00898,0,0,0.61966,-0.23188,0,0.23119,0.09998,-0.17658,0,0.17643,0.08038,0.07448,0.02452,0.04306,0.01286,-0.055,0.01453,2074.8
40,171,START_WINDOW,SETUP,1.2829,0.53958,-0.05487,-0.15647,0.13457,True,0.94732,0.05257,0,0,0.62403,-0.229,0,0.2284,0.09873,-0.17373,0,0.17362,0.07911,0.07274,0.02412,0.04397,0.01206,-0.04006,0.0175,2074.8
40,181,START_WINDOW,SETUP,1.28421,0.5283,-0.05442,-0.15584,0.13457,True,0.94285,0.01463,0,0,0.62811,-0.22667,0,0.22615,0.09759,-0.17137,0,0.17129,0.07812,0.07114,0.02396,0.04536,0.01301,-0.02338,0.0118,2074.8
40,191,START_WINDOW,SETUP,1.2854,0.51675,-0.05394,-0.15604,0.13451,True,0.96796,0.01531,0,0,0.63239,-0.22403,0,0.2236,0.09588,-0.16908,0,0.16905,0.07682,0.06905,0.0234,0.04621,0.01289,0,0.01275,2074.8
40,201,START_WINDOW,SETUP,1.28587,0.50407,-0.05351,-0.15666,0.13525,True,1.04074,0.02078,0,0,0.63758,-0.22071,0,0.22035,0.09395,-0.16649,0,0.16648,0.07523,0.06679,0.02287,0.04646,0.01292,0.02418,0.01651,2074.8
40,211,START_WINDOW,SETUP,1.28499,0.49104,-0.05301,-0.15695,0.13364,True,1.04342,0.00288,0,0,0.64313,-0.21681,0,0.21651,0.09019,-0.16398,0,0.164,0.07327,0.0647,0.02193,0.04575,0.0116,0.05004,0.0281,2074.8
40,221,START_WINDOW,SETUP,1.2812,0.47625,-0.05259,-0.15833,0.1336,True,1.02759,0.07349,0.00612,-0.00306,0.65203,-0.2117,-0.00301,0.20838,0.08637,-0.16052,-0.00301,0.15744,0.0693,0.06198,0.02038,0.04428,0.01235,0.0824,0.02738,2074.8
40,231,START_WINDOW,SETUP,1.27325,0.4609,-0.05102,-0.1597,0.17081,True,0.99596,0.02357,0,0,0.66969,-0.19753,0,0.19731,0.07821,-0.15414,0,0.15414,0.06463,0.04597,0.00593,0.02905,0.00268,0.08416,0.01471,2074.8
40,241,START_WINDOW,SETUP,1.25538,0.45599,-0.04759,-0.15697,0.13294,True,0.95914,-0.13643,0.02284,-0.01142,0.70057,-0.17909,-0.01141,0.16752,0.06433,-0.14355,-0.01141,0.13207,0.05396,0.01455,0.00977,0.00887,0.00286,0.01314,0.00639,2074.8
40,251,START_WINDOW,SETUP,1.21726,0.47073,-0.04508,-0.15562,0.13406,True,0.88082,0.17122,0,0,0.7128,-0.17992,0,0.17981,0.07969,-0.14575,0,0.14571,0.06531,0.01074,0.00505,0.00154,0.00418,-0.00483,0.00415,2074.8
40,261,START_WINDOW,SETUP,1.16473,0.47049,-0.04676,-0.15793,0.13285,True,0.82462,-0.22878,-0.00254,0.00127,0.69188,-0.18879,0.00098,0.19002,0.07209,-0.15506,0.00098,0.15631,0.05987,0.00598,0.00212,0.00324,0.00362,0.04859,0.02106,2074.8
40,271,START_WINDOW,SETUP,1.08805,0.40203,-0.05246,-0.15711,0.13276,True,0.73677,-0.2618,-0.02381,0.01191,0.71306,-0.16881,0.0119,0.18071,0.05833,-0.14089,0.0119,0.1528,0.04926,-0.01491,0.00878,-0.00207,0.00172,-0.03754,0.08327,2074.8
40,281,START_WINDOW,SETUP,0.96874,0.27624,-0.0609,-0.15748,0.13283,True,0.87111,-0.2618,-0.03406,0.01703,0.77823,-0.12465,0.01703,0.14167,0.04229,-0.10831,0.01703,0.12533,0.03945,-0.04508,0.01281,-0.01348,0.00236,-0.06648,0.06449,2074.8
40,291,START_WINDOW,SETUP,0.81248,0.07329,-0.06871,-0.15777,0.13227,True,1.44463,-0.2618,-0.04237,0.02118,0.70626,-0.04782,0.02118,0.06895,0.11496,-0.05022,0.02118,0.07138,0.05139,-0.07911,0.03317,-0.03212,0.02,-0.09143,0.03808,2074.8
40,301,START_WINDOW,SETUP,0.76698,-0.11042,-0.0303,-0.15852,0.13212,True,1.11341,0,0.12217,-0.06704,0,0.01798,-0.06704,-0.0848,0.07249,-0.01445,-0.06704,-0.05252,0.06735,-0.05241,0.03766,-0.06844,0.0232,-0.05899,0.03247,2074.8
40,311,START_WINDOW,SETUP,0.68199,-0.20154,0.03291,0.04194,0.13252,True,0.71507,0,0.08217,-0.03934,0,-0.00267,-0.06134,-0.05836,0.09297,-0.03885,-0.06134,-0.02244,0.08695,-0.00934,0.03371,-0.07133,0.01403,0.11489,0.04877,2074.8
40,321,START_WINDOW,SETUP,0.56699,-0.31709,0.11936,0.09286,0.37001,True,0.74106,0,0.08217,-0.05676,0,-0.05939,-0.07876,-0.01925,0.11454,-0.08597,-0.07876,0.00719,0.11013,0.0198,0.03374,-0.05974,0.0089,0.27901,0.04641,2074.8
40,331,START_WINDOW,SETUP,0.42225,-0.58082,0.2275,0.11446,0.3826,True,0.79495,0.04,0.12217,-0.07867,0.59963,-0.04196,-0.07867,-0.03648,0.04273,-0.1656,-0.07867,0.08626,0.14981,0.08254,0.02362,-0.0438,0.01268,0.10305,0.01675,2074.8
40,341,START_WINDOW,SETUP,0.31487,-1.10256,0.35756,0.0974,0.27785,True,1.1678,0.12,0.12217,-0.08753,0.74044,-0.00378,-0.06553,-0.06155,0.06675,-0.09223,-0.06553,0.02651,0.09755,0.10259,0.0011,-0.0136,0.00596,0.07251,0.00326,2074.8
