experiment,load_kg,channel,input_deg,repeat,tick,time_s,command_tick,valid_local,invalid_reason,has_support,support_contacts,has_cop,cop_ap_m,com_ap_m,com_velocity_ap_mps,capture_ap_m,capture_margin_m,support_ap_min_m,support_ap_max_m,pelvis_y_m,trunk_pitch_rad,saddle_separation_m,ankle_requested_target_deg,ankle_applied_target_deg,hip_requested_target_deg,hip_applied_target_deg,abdomen_requested_target_deg,abdomen_applied_target_deg,thorax_requested_target_deg,thorax_applied_target_deg,ankle_actual_deg,hip_actual_deg,abdomen_actual_deg,thorax_actual_deg,ankle_solver_torque_nm,hip_solver_torque_nm,abdomen_solver_torque_nm,thorax_solver_torque_nm,max_demand
zero,25,zero,0,1,49,0.49,5,True,NONE,True,8,True,-0.0481917746,-0.00420325762,0.1684409,0.0527111739,0.086098,-0.151688963,0.138809174,0.977027237,-0.0101725757,0.007518078,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.65512383,0.05595291,3.32496262,3.28493428,0.807788968,1.49011612E-06,-0.0809744,1.04308128E-05,0.109832361
zero,25,zero,0,1,50,0.5,5,True,NONE,True,8,True,-0.0466561429,-0.00248510274,0.171802565,0.05556262,0.08324656,-0.151688963,0.138809174,0.976942837,-0.0120490277,0.00720916549,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.73996329,0.03956468,3.33319259,3.28922081,0.793471932,4.84287739E-06,-0.087185204,3.7252903E-06,0.114966981
zero,25,zero,0,1,51,0.51,5,True,NONE,True,8,True,-0.04500441,-0.0007328568,0.1751945,0.0584583879,0.08035079,-0.151688963,0.138809174,0.9768641,-0.01396962,0.00693522068,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.82429016,0.05595291,3.34304142,3.29445243,0.7900536,4.656613E-06,-0.08755922,-8.940697E-06,0.120085455
zero,25,zero,0,1,52,0.52,5,True,NONE,True,8,True,-0.04322645,0.001053341,0.178579062,0.0613855422,0.07742363,-0.151688963,0.138809174,0.9767881,-0.0159578212,0.006697949,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.910222,0.05595291,3.35496235,3.29943848,0.787439942,6.70552254E-06,-0.08774474,-1.1920929E-05,0.124902755
zero,25,zero,0,1,53,0.53,5,True,NONE,True,8,True,-0.0413673781,0.00287316716,0.181946769,0.06434045,0.0744687244,-0.151688963,0.138809174,0.9767088,-0.0180022977,0.00649729,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-1.99676824,0.05595291,3.36800313,3.30512762,0.7853538,7.636845E-06,-0.08725971,-7.07805157E-06,0.129719764
zero,25,zero,0,1,54,0.54,5,True,NONE,True,8,True,-0.0394252166,0.00472648349,0.185314044,0.06732842,0.07148075,-0.151688963,0.138809174,0.976626337,-0.0200950354,0.006332564,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-2.085354,0,3.381688,3.31080675,0.7790923,8.009374E-06,-0.08793324,-7.82311E-06,0.134496957
zero,25,zero,0,1,55,0.55,5,True,NONE,True,8,True,-0.03743482,0.00661318051,0.188665181,0.07034397,0.0684652,-0.151688963,0.138809174,0.9765372,-0.0222165678,0.00619119825,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-2.177169,0,3.39508748,3.31624055,0.772121549,5.58793545E-06,-0.087583065,-6.70552254E-06,0.139257744
zero,25,zero,0,1,56,0.56,5,True,NONE,True,8,True,-0.03543896,0.008533041,0.191999137,0.07338646,0.0654227138,-0.151688963,0.138809174,0.976439536,-0.0243639518,0.00606805226,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-2.270788,0.03956468,3.40774512,3.32142949,0.7625371,6.146729E-06,-0.08734465,-7.636845E-06,0.144131333
zero,25,zero,0,1,57,0.57000000000000006,5,True,NONE,True,8,True,-0.0334558934,0.0104859555,0.19532451,0.07645865,0.0623505265,-0.151688963,0.138809174,0.9763326,-0.02654576,0.00597225362,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-2.36831164,0,3.420127,3.326375,0.7506609,5.867332E-06,-0.0871188939,-5.21540642E-06,0.149193645
zero,25,zero,0,1,58,0.58,5,True,NONE,True,8,True,-0.0314623639,0.0124718985,0.198649764,0.0795633942,0.05924578,-0.151688963,0.138809174,0.9762177,-0.0287485737,0.00588750467,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-2.46800852,0,3.432008,3.33107829,0.7374227,5.58793545E-06,-0.08640438,-8.009374E-06,0.154438
zero,25,zero,0,1,59,0.59,5,True,NONE,True,8,True,-0.0294634514,0.0144909266,0.201978609,0.08270197,0.0561072,-0.151688963,0.138809174,0.9760946,-0.03097119,0.005811845,0,0,0,0,3.93006325,3.93006325,3.66966081,3.66987443,-2.57114959,0,3.44271159,3.33530545,0.72414577,6.00703061E-06,-0.08625835,-1.21071935E-05,0.159860045
