arm,load_kg,intervention,stage_a_pass,qualified,upright,posture_joint_error_onset,posture_gross_onset,guard_withdrawal_onset,capture_departure_onset,capture_departure_hull_onset,support_loss_onset,drive_high_onset,drive_saturation_onset,saddle_linear_limit_onset,min_hull_capture_margin_m,max_load_bearing_demand,max_saddle_linear_occupancy,stage_a_summary
K3R3,170,k3x-production,true,true,true,1,NA,31,NA,NA,NA,NA,NA,NA,0.071469,0.127041,0.685244,load=170 measured=500 settlePelvis=0.9741 minPelvis=0.9741 maxTrunk=0.0749 capture=0.0717 comSpeed=0.0140 posture=5.024 limit=0.166 guard=0.975 ankle=3.840 saddle=0.0343 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
K3R3,300,k3x-production,false,false,false,1,144,19,43,42,196,37,NA,17,-1.74165,0.695692,1.01861,load=300 measured=500 settlePelvis=0.9637 minPelvis=0.0926 maxTrunk=1.5494 capture=-1.7368 comSpeed=2.3215 posture=20.235 limit=0.593 guard=0.000 ankle=15.000 saddle=0.0509 contacts=0 sat=0.000 supportLost=True saddleUnstable=False upright=False pass=False
K3G,25,k3x-balance.posture_guard_false,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105977,0.0767463,0.105231,load=25 measured=500 settlePelvis=0.9791 minPelvis=0.9790 maxTrunk=0.0490 capture=0.1060 comSpeed=0.0037 posture=1.217 limit=0.063 guard=1.000 ankle=5.494 saddle=0.0053 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
K3G,60,k3x-balance.posture_guard_false,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0925851,0.0715194,0.245621,load=60 measured=500 settlePelvis=0.9781 minPelvis=0.9781 maxTrunk=0.0329 capture=0.0927 comSpeed=0.0036 posture=1.811 limit=0.128 guard=1.000 ankle=5.630 saddle=0.0123 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
K3G,140,k3x-balance.posture_guard_false,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0754209,0.0882233,0.566044,load=140 measured=500 settlePelvis=0.9755 minPelvis=0.9754 maxTrunk=0.0932 capture=0.0759 comSpeed=0.0095 posture=3.432 limit=0.181 guard=1.000 ankle=4.790 saddle=0.0283 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
K3G,170,k3x-balance.posture_guard_false,true,true,true,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0715408,0.126159,0.685186,load=170 measured=500 settlePelvis=0.9741 minPelvis=0.9740 maxTrunk=0.0762 capture=0.0717 comSpeed=0.0137 posture=4.996 limit=0.167 guard=1.000 ankle=3.880 saddle=0.0343 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
K3G,300,k3x-balance.posture_guard_false,false,false,false,1,79,NA,93,92,266,36,79,17,-1.75233,1.09622,1.01467,load=300 measured=500 settlePelvis=0.9383 minPelvis=0.0932 maxTrunk=1.5693 capture=-1.7463 comSpeed=2.3945 posture=38.573 limit=0.756 guard=1.000 ankle=15.000 saddle=0.0507 contacts=0 sat=0.066 supportLost=True saddleUnstable=False upright=False pass=False
C3,25,k3x-equilibrium.target_v2_trim_3x,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105391,0.0810106,0.105098,load=25 measured=500 settlePelvis=0.9778 minPelvis=0.9777 maxTrunk=0.0776 capture=0.1054 comSpeed=0.0052 posture=1.426 limit=0.053 guard=0.996 ankle=2.489 saddle=0.0053 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
C3,60,k3x-equilibrium.target_v2_trim_3x,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0908291,0.0912548,0.243755,load=60 measured=500 settlePelvis=0.9757 minPelvis=0.9755 maxTrunk=0.1342 capture=0.0909 comSpeed=0.0091 posture=3.546 limit=0.026 guard=0.981 ankle=2.187 saddle=0.0122 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
C3,140,k3x-equilibrium.target_v2_trim_3x,true,true,true,38,NA,24,NA,NA,NA,NA,NA,NA,0.0697871,0.255893,0.56581,load=140 measured=500 settlePelvis=0.9712 minPelvis=0.9712 maxTrunk=0.2391 capture=0.0702 comSpeed=0.0291 posture=9.880 limit=0.129 guard=0.933 ankle=2.925 saddle=0.0283 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=True
C3,170,k3x-equilibrium.target_v2_trim_3x,false,false,true,33,NA,24,NA,NA,NA,NA,NA,NA,0.0700765,0.286511,0.678275,load=170 measured=500 settlePelvis=0.9709 minPelvis=0.9709 maxTrunk=0.2218 capture=0.0706 comSpeed=0.0188 posture=11.302 limit=0.137 guard=0.942 ankle=4.885 saddle=0.0339 contacts=8 sat=0.000 supportLost=False saddleUnstable=False upright=True pass=False
C3,300,k3x-equilibrium.target_v2_trim_3x,false,false,false,30,175,20,183,183,291,120,182,17,-1.65581,1.14032,1.39293,load=300 measured=500 settlePelvis=0.9708 minPelvis=0.1500 maxTrunk=1.8560 capture=-1.6473 comSpeed=2.2895 posture=48.015 limit=1.000 guard=0.000 ankle=15.000 saddle=0.0696 contacts=0 sat=0.108 supportLost=True saddleUnstable=False upright=False pass=False
