tick,time,barY,standRefY,heightDeficit,barVelY,barSpeed,barAngSpeed,lKnee,rKnee,maxKnee,lHip,rHip,maxHip,trunk,completionRegion,linStill,angStill,kneesQ,hipsQ,trunkQ,physicalLockout,state,sq,demand,drive01
726,7.260000,1.312486,1.403096,0.090610,0.232356,0.235190,0.306778,0.933186,0.953833,0.953833,-0.816312,-0.828252,0.828252,0.310931,0,0,0,0,0,0,0,ASCENT,0.276997,0.238555,0.000000
727,7.270000,1.314753,1.403096,0.088344,0.229157,0.232059,0.313195,0.923763,0.944512,0.944512,-0.807222,-0.819186,0.819186,0.307408,0,0,0,0,0,0,0,ASCENT,0.273997,0.238630,0.000000
728,7.280000,1.316990,1.403096,0.086106,0.226625,0.229583,0.312484,0.914419,0.935290,0.935290,-0.798249,-0.810266,0.810266,0.303891,0,0,0,0,0,0,0,ASCENT,0.270997,0.238505,0.000000
729,7.290000,1.319204,1.403096,0.083892,0.223956,0.226975,0.316947,0.905020,0.925983,0.925983,-0.789182,-0.801215,0.801215,0.300343,0,0,0,0,0,0,0,ASCENT,0.267997,0.238578,0.000000
730,7.300000,1.321394,1.403096,0.081702,0.221936,0.225014,0.316005,0.895695,0.916770,0.916770,-0.780228,-0.792305,0.792305,0.296800,0,0,0,0,0,0,0,ASCENT,0.264997,0.238468,0.000000
731,7.310000,1.323558,1.403096,0.079538,0.218978,0.222135,0.322996,0.886337,0.907496,0.907496,-0.771237,-0.783321,0.783321,0.293198,0,0,0,0,0,0,0,ASCENT,0.261997,0.238606,0.000000
732,7.320000,1.325696,1.403096,0.077400,0.216807,0.220016,0.321250,0.876992,0.898261,0.898261,-0.762252,-0.774380,0.774380,0.289609,0,0,0,0,0,0,0,ASCENT,0.258997,0.238524,0.000000
733,7.330000,1.327807,1.403096,0.075289,0.213726,0.217011,0.328098,0.867636,0.888991,0.888991,-0.753242,-0.765381,0.765381,0.285962,0,0,0,0,0,0,0,ASCENT,0.255997,0.238657,0.000000
734,7.340000,1.329889,1.403096,0.073207,0.211141,0.214485,0.327459,0.858350,0.879817,0.879817,-0.744352,-0.756539,0.756539,0.282318,0,0,0,0,0,0,0,ASCENT,0.252997,0.238555,0.000000
735,7.350000,1.331947,1.403096,0.071149,0.208570,0.212006,0.333967,0.848976,0.870532,0.870532,-0.735375,-0.747581,0.747581,0.278618,0,0,0,0,0,0,0,ASCENT,0.249997,0.238654,0.000000
