configuration,joint,t_s,nominal_deg,preload_deg,balance_offset_deg,final_target_deg,actual_deg,posture_error_deg,drive_space_error_deg,drive_error_x_deg,drive_error_y_deg,drive_error_z_deg,applied_vs_nominal_deg,target_ang_vel_x,actual_ang_vel_x,low_limit,high_limit,limit_proximity,spring,damper,max_force_nm,activation,capacity_scale,modelled_demand,implied_spring_torque_nm,solver_torque_x_nm
B_ANKLE_BALANCE_ONLY,right_shank,0.60,0.00,0.00,0.00,0.00,1.16,1.16,1.16,-1.162,0.000,0.000,0.00,0.000,-0.096,-5.0,145.0,0.008,800,80,2052.0,1.00,6.84,0.004,16.2,-0.006
B_ANKLE_BALANCE_ONLY,left_foot,0.60,0.00,0.00,14.15,14.15,-2.60,2.66,15.67,15.663,-0.094,0.415,13.10,0.000,0.023,-45.0,55.0,0.058,650,70,1710.0,1.00,9.50,0.103,177.8,0.253
B_ANKLE_BALANCE_ONLY,right_foot,0.60,0.00,0.00,14.15,14.15,-2.82,2.85,15.89,15.877,-0.079,0.514,13.10,0.000,0.033,-45.0,55.0,0.063,650,70,1710.0,1.00,9.50,0.104,180.2,0.560
B_ANKLE_BALANCE_ONLY,left_thigh,1.20,0.00,0.00,0.00,0.00,5.12,5.37,5.40,-5.119,-0.269,1.709,0.00,0.000,0.196,-120.0,45.0,0.114,900,90,2052.0,1.00,5.70,0.051,84.9,0.000
B_ANKLE_BALANCE_ONLY,right_thigh,1.20,0.00,0.00,0.00,0.00,5.15,5.40,5.44,-5.146,-0.342,1.723,0.00,0.000,0.198,-120.0,45.0,0.114,900,90,2052.0,1.00,5.70,0.051,85.4,0.044
B_ANKLE_BALANCE_ONLY,abdomen,1.20,0.00,0.00,0.00,0.00,-16.41,16.82,16.81,16.408,0.665,-3.570,0.00,0.000,-0.294,-35.0,45.0,0.469,800,85,1482.0,1.00,5.70,0.177,234.6,-0.030
B_ANKLE_BALANCE_ONLY,thorax,1.20,0.00,0.00,0.00,0.00,-13.19,13.43,13.42,13.187,0.439,-2.467,0.00,0.000,-0.303,-35.0,50.0,0.377,800,85,1482.0,1.00,5.70,0.146,187.4,0.001
B_ANKLE_BALANCE_ONLY,left_shank,1.20,0.00,0.00,0.00,0.00,1.63,1.63,1.63,-1.628,-0.012,0.006,0.00,0.000,-0.079,-5.0,145.0,0.011,800,80,2052.0,1.00,6.84,0.008,22.7,-0.064
B_ANKLE_BALANCE_ONLY,right_shank,1.20,0.00,0.00,0.00,0.00,1.89,1.89,1.89,-1.887,0.000,0.000,0.00,0.000,-0.097,-5.0,145.0,0.013,800,80,2052.0,1.00,6.84,0.009,26.4,-0.043
B_ANKLE_BALANCE_ONLY,left_foot,1.20,0.00,0.00,7.29,7.29,-5.55,5.80,13.38,13.296,-0.164,-1.453,7.74,0.000,-0.021,-45.0,55.0,0.123,650,70,1710.0,1.00,9.50,0.089,151.7,0.240
B_ANKLE_BALANCE_ONLY,right_foot,1.20,0.00,0.00,7.29,7.29,-5.84,6.06,13.66,13.582,-0.100,-1.407,7.74,0.000,-0.006,-45.0,55.0,0.130,650,70,1710.0,1.00,9.50,0.090,154.9,0.432
B_ANKLE_BALANCE_ONLY,left_thigh,2.00,0.00,0.00,0.00,0.00,11.92,12.18,12.12,-11.883,2.321,-0.558,1.90,0.000,-0.060,-120.0,45.0,0.265,900,90,2052.0,1.00,5.70,0.089,190.4,0.000
B_ANKLE_BALANCE_ONLY,right_thigh,2.00,0.00,0.00,0.00,0.00,12.00,12.31,12.24,-11.957,2.586,-0.527,1.90,0.000,-0.124,-120.0,45.0,0.267,900,90,2052.0,1.00,5.70,0.087,192.3,0.042
B_ANKLE_BALANCE_ONLY,abdomen,2.00,0.00,0.00,0.00,0.00,-28.84,29.55,29.77,28.843,-0.103,-7.366,0.95,0.000,0.093,-35.0,45.0,0.825,800,85,1482.0,1.00,5.70,0.276,415.7,-0.014
B_ANKLE_BALANCE_ONLY,thorax,2.00,0.00,0.00,0.00,0.00,-19.84,20.37,20.61,19.839,-0.458,-5.560,0.95,0.000,-0.086,-35.0,50.0,0.567,800,85,1482.0,1.00,5.70,0.199,287.7,0.000
B_ANKLE_BALANCE_ONLY,left_shank,2.00,0.00,0.00,0.00,0.00,4.29,4.29,4.29,-4.287,0.060,-0.011,0.00,0.000,-0.251,-5.0,145.0,0.030,800,80,2052.0,1.00,6.84,0.019,59.9,-0.034
B_ANKLE_BALANCE_ONLY,right_shank,2.00,0.00,0.00,0.00,0.00,2.26,2.26,2.26,-2.261,0.000,0.000,0.00,0.000,-0.082,-5.0,145.0,0.016,800,80,2052.0,1.00,6.84,0.012,31.6,-0.012
B_ANKLE_BALANCE_ONLY,left_foot,2.00,0.00,0.00,4.13,4.13,-10.90,11.03,15.91,15.827,0.682,-1.492,5.75,0.000,0.172,-45.0,55.0,0.242,650,70,1710.0,1.00,9.50,0.098,180.5,1.168
B_ANKLE_BALANCE_ONLY,right_foot,2.00,0.00,0.00,4.13,4.13,-8.95,9.05,14.02,13.879,0.554,-1.875,5.75,0.000,0.069,-45.0,55.0,0.199,650,70,1710.0,1.00,9.50,0.090,159.0,-0.225
B_ANKLE_BALANCE_ONLY,left_thigh,2.99,0.00,0.00,0.00,0.00,14.59,14.62,14.63,-14.594,0.658,0.744,0.23,0.000,0.267,-120.0,45.0,0.324,900,90,2052.0,1.00,5.70,0.124,229.8,-0.003
B_ANKLE_BALANCE_ONLY,right_thigh,2.99,0.00,0.00,0.00,0.00,15.41,15.44,15.45,-15.415,0.627,0.766,0.23,0.000,0.337,-120.0,45.0,0.343,900,90,2052.0,1.00,5.70,0.133,242.6,0.026
B_ANKLE_BALANCE_ONLY,abdomen,2.99,0.00,0.00,0.00,0.00,-37.47,37.58,37.57,37.467,-1.542,-2.389,0.00,0.000,0.338,-35.0,45.0,1.000,800,85,1482.0,1.00,5.70,0.334,524.6,0.205
B_ANKLE_BALANCE_ONLY,thorax,2.99,0.00,0.00,0.00,0.00,-28.90,28.98,28.98,28.897,-2.125,0.355,0.00,0.000,0.150,-35.0,50.0,0.826,800,85,1482.0,1.00,5.70,0.264,404.6,0.024
B_ANKLE_BALANCE_ONLY,left_shank,2.99,0.00,0.00,0.00,0.00,4.63,4.63,4.63,-4.634,-0.090,0.009,0.00,0.000,-0.142,-5.0,145.0,0.032,800,80,2052.0,1.00,6.84,0.026,64.7,-0.126
B_ANKLE_BALANCE_ONLY,right_shank,2.99,0.00,0.00,0.00,0.00,3.01,3.01,3.01,-3.007,0.000,0.000,0.00,0.000,0.032,-5.0,145.0,0.021,800,80,2052.0,1.00,6.84,0.022,42.0,-0.023
B_ANKLE_BALANCE_ONLY,left_foot,2.99,0.00,0.00,1.66,1.66,-12.09,12.16,13.86,13.759,-0.808,1.449,1.73,0.000,0.147,-45.0,55.0,0.269,650,70,1710.0,1.00,9.50,0.087,157.2,0.630
B_ANKLE_BALANCE_ONLY,right_foot,2.99,0.00,0.00,1.66,1.66,-11.28,11.35,13.04,12.952,-0.848,1.279,1.73,0.000,-0.092,-45.0,55.0,0.251,650,70,1710.0,1.00,9.50,0.091,148.0,-0.052
C_PRODUCTION_CURRENT,left_thigh,0.00,0.00,0.00,0.02,0.02,-0.08,0.00,0.00,0.094,0.004,-0.058,0.00,0.000,-0.096,-120.0,45.0,0.001,900,90,2052.0,1.00,5.70,0.005,1.7,0.000
C_PRODUCTION_CURRENT,right_thigh,0.00,0.00,0.00,0.02,0.02,-0.09,0.00,0.00,0.103,0.000,-0.051,0.00,0.000,-0.104,-120.0,45.0,0.001,900,90,2052.0,1.00,5.70,0.006,1.8,0.001
C_PRODUCTION_CURRENT,abdomen,0.00,0.00,0.00,-0.01,-0.01,-0.13,0.00,0.00,0.119,0.007,-0.084,0.00,0.000,-0.123,-35.0,45.0,0.004,800,85,1482.0,1.00,5.70,0.009,2.0,-0.010
C_PRODUCTION_CURRENT,thorax,0.00,0.00,0.00,-0.01,-0.01,-0.17,0.17,0.00,0.157,0.000,0.022,0.00,0.000,-0.203,-35.0,50.0,0.005,800,85,1482.0,1.00,5.70,0.013,2.2,0.000
C_PRODUCTION_CURRENT,left_shank,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,-0.107,-0.001,0.001,0.00,0.000,0.056,-5.0,145.0,0.001,800,80,2052.0,1.00,6.84,0.003,1.5,0.001
C_PRODUCTION_CURRENT,right_shank,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,-0.116,0.000,0.000,0.00,0.000,0.063,-5.0,145.0,0.001,800,80,2052.0,1.00,6.84,0.003,1.6,0.000
C_PRODUCTION_CURRENT,left_foot,0.00,0.00,0.00,6.88,6.88,-0.15,0.40,3.60,3.585,-0.013,0.378,3.44,0.000,-0.107,-45.0,55.0,0.003,650,70,1710.0,1.00,9.50,0.031,40.9,0.230
C_PRODUCTION_CURRENT,right_foot,0.00,0.00,0.00,6.88,6.88,-0.15,0.40,3.60,3.584,-0.003,0.373,3.44,0.000,-0.107,-45.0,55.0,0.003,650,70,1710.0,1.00,9.50,0.031,40.9,0.227
C_PRODUCTION_CURRENT,left_thigh,0.25,0.00,0.00,0.94,0.94,1.50,1.51,0.65,-0.564,0.001,0.316,0.97,0.000,0.245,-120.0,45.0,0.033,900,90,2052.0,1.00,5.70,0.016,10.1,0.000
C_PRODUCTION_CURRENT,right_thigh,0.25,0.00,0.00,0.94,0.94,1.44,1.45,0.60,-0.502,-0.010,0.329,0.97,0.000,0.234,-120.0,45.0,0.032,900,90,2052.0,1.00,5.70,0.015,9.4,0.020
C_PRODUCTION_CURRENT,abdomen,0.25,0.00,0.00,-0.47,-0.47,-6.30,6.38,5.89,5.827,0.037,-0.887,0.49,0.000,-0.502,-35.0,45.0,0.180,800,85,1482.0,1.00,5.70,0.084,82.3,-0.039
C_PRODUCTION_CURRENT,thorax,0.25,0.00,0.00,-0.47,-0.47,-6.52,6.52,6.05,6.048,-0.058,0.128,0.49,0.000,-0.449,-35.0,50.0,0.186,800,85,1482.0,1.00,5.70,0.083,84.5,0.001
C_PRODUCTION_CURRENT,left_shank,0.25,0.00,0.00,0.00,0.00,0.61,0.61,0.61,-0.607,-0.002,0.006,0.00,0.000,-0.077,-5.0,145.0,0.004,800,80,2052.0,1.00,6.84,0.001,8.5,0.005
