sample,joint_id,final_x,final_y,final_z,final_w,applied_x,applied_y,applied_z,applied_w,final_to_applied_error_rad,max_target_rate_rad_s
4,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
4,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
4,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
4,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,2.5
4,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0.00334644062,0.0147603834,0.221029744,0.975149632,0,2.5
4,left_thigh,-0.8245398,0.00103313592,0.0007090287,0.5658027,-0.8245398,0.00103313592,0.0007090287,0.5658027,0,2.2
4,right_thigh,-0.8245398,0.00103313592,0.0007090287,0.5658027,-0.8245398,0.00103313592,0.0007090287,0.5658027,0,2.2
4,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,2.5
4,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,2.5
4,left_foot,-0.270158678,0.000677009753,0.002412808,0.9628126,-0.270158678,0.000677009753,0.002412808,0.9628126,0,2
4,right_foot,-0.270158648,0.0006770097,0.002412808,0.9628126,-0.270158648,0.0006770097,0.002412808,0.9628126,0,2
5,abdomen,-0.0154672572,9.719727E-06,0.000628298556,0.9998802,-0.0154672572,9.719727E-06,0.000628298556,0.9998802,0,1.8
5,thorax,0.0517396927,-3.25118926E-05,0.000627529167,0.9986604,0.0517396927,-3.25118926E-05,0.000627529167,0.9986604,0,1.8
5,head_neck,0,0,0,1,0,0,0,1,0,2
5,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
5,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
5,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
5,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
5,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,2.5
5,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0.00334644062,0.0147603834,0.221029744,0.975149632,0,2.5
5,left_thigh,-0.8241256,0.001035728,0.0007119225,0.566405833,-0.8241256,0.001035728,0.0007119225,0.566405833,0,2.2
5,right_thigh,-0.8241256,0.001035728,0.0007119225,0.566405833,-0.8241256,0.001035728,0.0007119225,0.566405833,0,2.2
5,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,2.5
5,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,2.5
5,left_foot,-0.250849664,0.0006305162,0.00243317313,0.9680228,-0.260515273,0.000653791067,0.00242311368,0.9654665,0.0199778881,2
5,right_foot,-0.250849664,0.0006305162,0.00243317313,0.9680228,-0.260515273,0.000653791067,0.00242311368,0.9654665,0.0199778881,2
6,abdomen,-0.01510864,9.488226E-06,0.000627894944,0.9998857,-0.01510864,9.488226E-06,0.000627894944,0.9998857,0,1.8
6,thorax,0.0520978644,-3.27157541E-05,0.0006271109,0.9986418,0.0520978644,-3.27157541E-05,0.0006271109,0.9986418,0,1.8
6,head_neck,0,0,0,1,0,0,0,1,0,2
6,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
6,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
6,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
6,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
6,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,2.5
6,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0.00334644062,0.0147603834,0.221029744,0.975149632,0,2.5
6,left_thigh,-0.8245317,0.00103556691,0.0007107186,0.5658145,-0.8245317,0.00103556691,0.0007107186,0.5658145,0,2.2
6,right_thigh,-0.8245317,0.00103556691,0.0007107186,0.5658145,-0.8245317,0.00103556691,0.0007107186,0.5658145,0,2.2
6,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,2.5
6,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,2.5
6,left_foot,-0.270158678,0.0006786095,0.00241850922,0.9628126,-0.270158678,0.0006786095,0.00241850922,0.9628126,0,2
6,right_foot,-0.270158648,0.0006786094,0.00241850922,0.9628126,-0.270158648,0.0006786094,0.00241850922,0.9628126,0,2
7,abdomen,-0.0154672572,9.740013E-06,0.000629610033,0.9998802,-0.0154672572,9.740013E-06,0.000629610033,0.9998802,0,1.8
7,thorax,0.0517396927,-3.25797519E-05,0.000628839,0.9986604,0.0517396927,-3.25797519E-05,0.000628839,0.9986604,0,1.8
7,head_neck,0,0,0,1,0,0,0,1,0,2
7,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
7,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
7,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
7,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
7,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,2.5
7,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0.00334644062,0.0147603834,0.221029744,0.975149632,0,2.5
7,left_thigh,-0.8241256,0.00103788986,0.0007134083,0.566405833,-0.8241256,0.00103788986,0.0007134083,0.566405833,0,2.2
7,right_thigh,-0.8241256,0.00103788986,0.0007134083,0.566405833,-0.8241256,0.00103788986,0.0007134083,0.566405833,0,2.2
7,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,2.5
7,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,2.5
7,left_foot,-0.250849664,0.0006318323,0.00243825163,0.9680228,-0.260515273,0.000655248936,0.00242850371,0.96546644,0.0199898183,2
7,right_foot,-0.250849664,0.0006318322,0.00243825163,0.9680228,-0.260515273,0.0006552489,0.00242850371,0.96546644,0.0199898183,2
8,abdomen,-0.0151151055,9.509627E-06,0.000629042,0.999885559,-0.0151151055,9.509627E-06,0.000629042,0.999885559,0,1.8
8,thorax,0.05209141,-3.277146E-05,0.000628256763,0.9986421,0.052091416,-3.27714624E-05,0.0006282568,0.9986422,0,1.8
8,head_neck,0,0,0,1,0,0,0,1,0,2
8,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
8,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
8,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
8,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
8,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,2.5
8,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0.00334644062,0.0147603834,0.221029744,0.975149632,0,2.5
8,left_thigh,-0.8245244,0.00103744958,0.0007120303,0.565825164,-0.8245244,0.00103744958,0.0007120303,0.565825164,0,2.2
8,right_thigh,-0.8245244,0.00103744958,0.0007120303,0.565825164,-0.8245244,0.00103744958,0.0007120303,0.565825164,0,2.2
8,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,2.5
8,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,2.5
8,left_foot,-0.270158678,0.0006798491,0.00242292718,0.9628126,-0.270158678,0.0006798491,0.00242292718,0.9628126,0,2
8,right_foot,-0.270158648,0.0006798491,0.00242292718,0.9628126,-0.270158648,0.0006798491,0.00242292718,0.9628126,0,2
9,abdomen,-0.0154672572,9.755068E-06,0.000630583265,0.9998802,-0.0154672572,9.755068E-06,0.000630583265,0.9998802,0,1.8
9,thorax,0.0517396927,-3.26301124E-05,0.000629811,0.9986604,0.0517396927,-3.26301124E-05,0.000629811,0.9986604,0,1.8
9,head_neck,0,0,0,1,0,0,0,1,0,2
9,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
9,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
9,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
9,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
9,left_hand,-0.00334588159,-0.0147602167,0.221029863,0.975149632,-0.00334588159,-0.0147602167,0.221029863,0.975149632,0,2.5
9,right_hand,0.00334644062,0.0147603834,0.221029744,0.975149632,0.00334644062,0.0147603834,0.221029744,0.975149632,0,2.5
9,left_thigh,-0.8241256,0.00103949418,0.0007145109,0.566405833,-0.8241256,0.00103949418,0.0007145109,0.566405833,0,2.2
9,right_thigh,-0.8241256,0.00103949418,0.0007145109,0.566405833,-0.8241256,0.00103949418,0.0007145109,0.566405833,0,2.2
9,left_shank,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0.8386706,-2.69899129E-15,-8.788462E-08,0.544639,0,2.5
9,right_shank,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0.838670552,-8.131039E-16,-8.788462E-08,0.544639051,0,2.5
9,left_foot,-0.250849664,0.0006328089,0.00244202046,0.9680228,-0.260513842,0.0006563536,0.00243259873,0.965466857,0.0199778881,2
9,right_foot,-0.250849664,0.0006328089,0.00244202046,0.9680228,-0.2605138,0.0006563536,0.00243259873,0.965466857,0.0199778881,2
10,abdomen,-0.0151202669,9.52507E-06,0.000629848451,0.9998855,-0.0151202669,9.52507E-06,0.000629848451,0.9998855,0,1.8
10,thorax,0.0520862527,-3.28102324E-05,0.0006290625,0.9986424,0.0520862527,-3.28102324E-05,0.0006290625,0.9986424,0,1.8
10,head_neck,0,0,0,1,0,0,0,1,0,2
10,left_upper_arm,-0.321433842,0.508399367,-0.6994445,-0.3859894,0.321433842,-0.508399367,0.6994445,0.3859894,0,2.5
10,right_upper_arm,0.321432769,-0.5083989,-0.6994451,-0.385989845,-0.321432769,0.5083989,0.6994451,0.385989845,0,2.5
10,left_forearm,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0.860719,2.120584E-08,8.63084049E-10,0.50908035,0,3
10,right_forearm,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0.860718846,7.653174E-09,2.13823252E-08,0.5090805,0,3
