AbdomenActualAngleRad,AbdomenMarginRad,AbdomenPass,AbdomenStandingBiasDegrees,AnkleStandingBiasDegrees,AppliedAnkleDemandRad,BarAngularSpeedMagnitudeRadS,BarAngularSpeedMarginRadS,BarAngularSpeedPass,BarAngularSpeedThresholdRadS,BarAngularVelocityBarXRadS,BarAngularVelocityBarYRadS,BarAngularVelocityBarZRadS,BarAvailable,BarLinearSpeedMagnitudeMps,BarLinearSpeedMarginMps,BarLinearSpeedPass,BarLinearSpeedThresholdMps,BarVerticalSpeedMarginMps,BarVerticalSpeedMps,BarVerticalSpeedPass,BarVerticalSpeedThresholdMps,CaptureApM,CaptureMargin2DM,CaptureMlM,ComApM,ComMlM,ComSpeedMps,ConsecutiveValidRunLength,CopMeasuredApM,CopMeasuredMlM,GuardedAnkleDemandRad,HipAuthority,HipStandingBiasDegrees,HipStrategyBlend,KneeStandingBiasDegrees,LeftFootAvailable,LeftFootContact,LeftHipActualAngleRad,LeftHipMarginRad,LeftHipPass,LeftKneeActualAngleRad,LeftKneeMarginRad,LeftKneePass,OverallStartCandidate,PostureGuardScale,RawAnkleAuthorityFraction,RawAnkleDemandRad,RequiredRunLength,RightFootAvailable,RightFootContact,RightHipActualAngleRad,RightHipMarginRad,RightHipPass,RightKneeActualAngleRad,RightKneeMarginRad,RightKneePass,SimulationTick,SimulationTimeSeconds,SupportAvailable,SupportPresent,ThoraxActualAngleRad,ThoraxMarginRad,ThoraxPass,ThoraxStandingBiasDegrees,TrunkAuthority
0.0408006944,0.133732229,true,3.45571113,0,-0.16,0.238980681,-0.0389806777,false,0.2,0.23860833,-0.00106845377,0.0132923266,true,0.07870764,-0.0587076433,false,0.02,-0.0588684976,-0.0688684955,false,0.01,-0.0608890876,0.09382995,0.00347114145,-0.04970984,0.00112447981,0.0337722041,0,-0.07100758,0.004440687,-0.532838166,0.1419368,0,1,0,true,false,-0.00530409347,0.169228822,true,0.00651448732,0.08075197,true,false,0.989196241,2.057516,-0.538657665,3,true,false,-0.00284714461,0.17168577,true,0.00585937733,0.0814070851,true,21,0.21,true,true,0.0482101329,0.126322791,true,3.347665,0.0827942044
0.04155919,0.132973731,true,3.45571113,0,-0.199999988,0.09752954,0.102470465,true,0.2,0.09668284,-0.00155116082,0.0127292313,true,0.07279249,-0.0527924933,false,0.02,-0.04804764,-0.0580476373,false,0.01,-0.0586004779,0.09611856,0.00331648486,-0.0499878936,0.00119256484,0.0262322985,0,-0.08915731,0.00872464,-0.2107565,0,0,0,0,true,false,-0.004312384,0.170220539,true,0.00665927166,0.08060719,true,false,0.988045037,0.814769149,-0.213306561,3,true,false,-0.00258374168,0.171949178,true,0.00658727763,0.0806791857,true,22,0.22,true,true,0.0482348539,0.12629807,true,3.347665,0
0.0418735519,0.132659376,true,3.45571113,0,-0.16,0.0158756282,0.18412438,true,0.2,0.0102776233,-0.001847573,0.0119579481,true,0.06567928,-0.0456792824,false,0.02,-0.03549107,-0.04549107,false,0.01,-0.05527997,0.09943907,0.00295993686,-0.0501561,0.001249899,0.0159763675,0,-0.105418973,0.01326735,0.146850988,0,0,0,0,true,false,-0.00323889172,0.171294034,true,0.00669497857,0.08057148,true,false,0.997425854,0.562375844,0.147229984,3,true,false,-0.002071602,0.172461316,true,0.007372889,0.0798935741,true,23,0.23,true,true,0.04804664,0.126486272,true,3.347665,0
0.0414615422,0.133071378,true,3.45571113,0,-0.12,0.04963491,0.150365084,true,0.2,0.048355706,-0.002226117,0.0109724374,true,0.04845386,-0.02845386,false,0.02,-0.0184473749,-0.0284473747,false,0.01,-0.0521054752,0.102613568,0.00239069364,-0.05021304,0.00128839177,0.006478021,0,-0.120900795,0.017712811,0.6345463,0.109989129,0,1,0,true,false,-0.00414320454,0.170389712,true,0.00746927131,0.079797186,true,false,0.997368634,2.43017721,0.6362204,3,true,false,-0.003088162,0.171444759,true,0.008429048,0.07883741,true,24,0.24,true,true,0.0481853969,0.126347527,true,3.347665,0.0641585737
0.0413175225,0.1332154,true,3.45571113,0,-0.08,0.0218801815,0.178119823,true,0.2,0.019414153,-0.00261557335,0.009746373,true,0.0347259864,-0.0147259869,false,0.02,-0.006350687,-0.0163506866,false,0.01,-0.0486458242,0.106073216,0.00165620283,-0.0501666479,0.00130346383,0.004618069,0,-0.137491062,0.02048706,1.21565008,0.07052187,0,1,0,true,false,-0.00420035468,0.170332566,true,0.008082499,0.07918396,true,false,0.99073875,4.68683624,1.22701371,3,true,false,-0.00323889172,0.171294034,true,0.009417636,0.07784882,true,25,0.25,true,true,0.048224967,0.126307949,true,3.347665,0.0411366373
0.0414212681,0.133111656,true,3.45571113,0,-0.04,0.0245651249,0.175434873,true,0.2,-0.022882957,-0.00296162232,0.008428787,true,0.0251688529,-0.00516885333,false,0.02,0.00193476863,-0.008065231,true,0.01,-0.0449790359,0.109740004,0.00100276107,-0.0500141978,0.001295812,0.0149195408,0,-0.152578518,0.0195011962,1.76449955,0.03333053,0,1,0,true,false,-0.00358812045,0.1709448,true,0.008141281,0.07912518,true,false,0.9940613,6.78014135,1.775041,3,true,false,-0.00292968773,0.171603233,true,0.009959033,0.0773074254,true,26,0.26,true,true,0.0480863266,0.12644659,true,3.347665,0.01944228
0.04165661,0.1328763,true,3.45571113,0,0,0.07303755,0.126962453,true,0.2,-0.0726201,-0.003208752,0.00710691046,true,0.0199366529,6.33467E-05,true,0.02,0.00564766861,-0.004352331,true,0.01,-0.0416417345,0.113077305,0.000455650123,-0.04976479,0.00127003621,0.0241488069,1,-0.142928556,0.0146300728,1.8532182,0.00664407946,0,1,0,true,false,-0.00229024212,0.172242671,true,0.007842964,0.0794234946,true,true,0.9962787,7.10519648,1.86014032,3,true,false,-0.002071602,0.172461316,true,0.0101016518,0.07716481,true,27,0.27,true,true,0.04780285,0.12673007,true,3.347665,0.00387560739
0.0418735519,0.132659376,true,3.45571113,0,0.04,0.130319223,0.06968078,true,0.2,-0.130143479,-0.00336611969,0.00586884143,true,0.0178641435,0.002135856,true,0.02,0.005390631,-0.00460936874,true,0.01,-0.0387636051,0.115955435,5.58613319E-05,-0.04943732,0.00123157457,0.03176386,2,-0.126485512,0.009952466,1.81997573,0.0484857038,0,1,0,true,false,0,0.17453292,true,0.00727523072,0.07999123,true,true,0.9960648,6.979244,1.82716608,3,true,false,-0.000690533954,0.173842385,true,0.009935064,0.077331394,true,28,0.28,true,true,0.0473518,0.127181113,true,3.347665,0.0282825567
0.0419418253,0.1325911,true,3.45571113,0,0.08,0.18584156,0.0141584426,true,0.2,-0.185748667,-0.003444521,0.004759304,true,0.0181926787,0.00180732086,true,0.02,0.00228023715,-0.00771976262,true,0.01,-0.0364182442,0.118300796,-0.000170581392,-0.0490508266,0.00118647807,0.0375817567,3,-0.109440617,0.005042493,1.74162614,0.0860065445,0,1,0,true,false,0.00154408091,0.172988832,true,0.00665927166,0.08060719,true,true,0.992487967,6.70285845,1.75480831,3,true,false,0.00119604,0.173336878,true,0.009518363,0.0777481,true,29,0.29,true,true,0.0467232242,0.1278097,true,3.347665,0.0501691177
0.0417823456,0.132750571,true,3.45571113,0,0.12,0.235417411,-0.0354174078,false,0.2,-0.235361248,-0.00346486946,0.00379929878,true,0.0203350652,-0.000335065648,false,0.02,-0.00184596889,-0.0118459687,false,0.01,-0.0346763469,0.1200427,-0.000273960555,-0.0486244038,0.00114026759,0.04146901,0,-0.09124615,0.00186668918,1.60062349,0.117796108,0,1,0,true,false,0.00396681624,0.1705661,true,0.005899927,0.08136653,true,false,0.9866082,6.19690466,1.62234962,3,true,false,0.00358812045,0.1709448,true,0.008976949,0.07828951,true,30,0.3,true,true,0.0459357947,0.128597125,true,3.347665,0.0687125251
