tick,time,state,sq,knee_cmd_rate,knee_fd_rate,knee_rate_diff,knee_ref_accel,hip_cmd_rate,hip_fd_rate,hip_rate_diff,hip_ref_accel,ankle_nom_cmd_rate,ankle_nom_fd_rate,ankle_nom_diff
70,0.700,DESCENT,0.2130,38.94,38.94,0.00,-9.7,-37.43,-37.43,0.00,2.2,-11.42,-11.35,0.07
71,0.710,DESCENT,0.2160,38.94,38.94,0.00,-10.2,-37.43,-37.43,0.00,2.5,-11.33,-11.37,0.04
72,0.720,DESCENT,0.2190,38.94,38.94,0.00,-10.7,-37.43,-37.43,0.00,2.8,-11.23,-11.35,0.12
73,0.730,DESCENT,0.2220,38.58,38.70,0.12,-11.2,-37.34,-37.37,0.03,3.1,-11.14,-11.14,0.01
74,0.740,DESCENT,0.2250,38.58,38.58,0.00,-11.7,-37.34,-37.34,0.00,3.3,-11.04,-11.03,0.00
75,0.750,DESCENT,0.2280,38.58,38.57,0.00,-12.1,-37.34,-37.34,0.00,3.6,-10.93,-11.04,0.11
76,0.760,DESCENT,0.2310,38.16,38.44,0.28,-12.6,-37.21,-37.30,0.08,3.9,-10.82,-10.91,0.09
77,0.770,DESCENT,0.2340,38.16,38.16,0.00,-13.1,-37.21,-37.21,0.00,4.2,-10.71,-10.67,0.04
78,0.780,DESCENT,0.2370,38.16,38.16,0.00,-13.6,-37.21,-37.21,0.00,4.5,-10.60,-10.68,0.07
79,0.790,DESCENT,0.2400,37.69,38.16,0.47,-14.1,-37.05,-37.21,0.16,4.8,-10.49,-10.68,0.19
80,0.800,DESCENT,0.2430,37.69,37.69,0.00,-14.5,-37.05,-37.05,0.00,5.1,-10.37,-10.28,0.08
81,0.810,DESCENT,0.2460,37.69,37.69,0.00,-15.0,-37.05,-37.05,0.00,5.4,-10.25,-10.29,0.04
82,0.820,DESCENT,0.2490,37.69,37.69,0.00,-15.5,-37.05,-37.05,0.00,5.7,-10.12,-10.29,0.17
83,0.830,DESCENT,0.2520,38.39,38.16,0.23,57.7,-38.02,-37.70,0.32,-64.2,-10.14,-10.25,0.11
84,0.840,DESCENT,0.2550,38.39,38.39,0.00,56.5,-38.02,-38.02,0.00,-62.9,-10.23,-10.23,0.00
85,0.850,DESCENT,0.2580,38.39,38.39,0.00,55.2,-38.02,-38.02,0.00,-61.5,-10.32,-10.24,0.09
86,0.860,DESCENT,0.2610,40.21,39.00,1.21,54.0,-40.04,-38.69,1.35,-60.2,-10.41,-10.33,0.08
87,0.870,DESCENT,0.2640,40.21,40.21,0.00,52.7,-40.04,-40.04,0.00,-58.8,-10.50,-10.51,0.02
88,0.880,DESCENT,0.2670,40.21,40.21,0.00,51.5,-40.04,-40.04,0.00,-57.5,-10.58,-10.52,0.06
89,0.890,DESCENT,0.2700,41.88,40.21,1.67,50.3,-41.91,-40.04,1.87,-56.1,-10.66,-10.53,0.13
90,0.900,DESCENT,0.2730,41.88,41.88,0.00,49.0,-41.91,-41.91,0.00,-54.8,-10.74,-10.78,0.04
91,0.910,DESCENT,0.2760,41.88,41.88,0.00,47.8,-41.91,-41.91,0.00,-53.4,-10.81,-10.79,0.02
92,0.920,DESCENT,0.2790,41.88,41.88,0.00,46.5,-41.91,-41.91,0.00,-52.1,-10.89,-10.79,0.09
93,0.930,DESCENT,0.2820,43.42,42.91,0.51,45.3,-43.63,-43.06,0.57,-50.7,-10.96,-10.94,0.02
94,0.940,DESCENT,0.2850,43.42,43.42,0.00,44.1,-43.63,-43.63,0.00,-49.4,-11.03,-11.02,0.00
95,0.950,DESCENT,0.2880,43.42,43.42,0.00,42.8,-43.63,-43.63,0.00,-48.0,-11.09,-11.03,0.07
96,0.960,DESCENT,0.2910,44.82,43.88,0.93,41.6,-45.20,-44.15,1.05,-46.6,-11.16,-11.09,0.06
97,0.970,DESCENT,0.2940,44.82,44.82,0.00,40.3,-45.20,-45.20,0.00,-45.3,-11.22,-11.24,0.02
98,0.980,DESCENT,0.2970,44.82,44.82,0.00,39.1,-45.20,-45.20,0.00,-44.0,-11.28,-11.24,0.04
99,0.990,DESCENT,0.3000,46.08,44.82,1.26,37.8,-46.62,-45.20,1.42,-42.6,-11.34,-11.24,0.09
100,1.000,DESCENT,0.3030,46.08,46.08,0.00,36.6,-46.62,-46.62,0.00,-41.2,-11.39,-11.42,0.03
101,1.010,DESCENT,0.3060,46.08,46.08,0.00,35.4,-46.62,-46.62,0.00,-39.9,-11.44,-11.42,0.02
102,1.020,DESCENT,0.3090,46.08,46.08,0.00,34.1,-46.62,-46.62,0.00,-38.5,-11.49,-11.43,0.06
103,1.030,DESCENT,0.3120,47.20,46.83,0.37,32.9,-47.89,-47.47,0.42,-37.2,-11.54,-11.53,0.01
104,1.040,DESCENT,0.3150,47.20,47.20,0.00,31.6,-47.89,-47.89,0.00,-35.8,-11.59,-11.59,0.00
105,1.050,DESCENT,0.3180,47.20,47.20,0.00,30.4,-47.89,-47.89,0.00,-34.5,-11.63,-11.59,0.05
106,1.060,DESCENT,0.3210,48.19,47.53,0.66,29.1,-49.01,-48.26,0.75,-33.1,-11.67,-11.64,0.04
107,1.070,DESCENT,0.3240,48.19,48.19,0.00,27.9,-49.01,-49.01,0.00,-31.8,-11.71,-11.72,0.01
108,1.080,DESCENT,0.3270,48.19,48.19,0.00,26.7,-49.01,-49.01,0.00,-30.4,-11.75,-11.73,0.03
109,1.090,DESCENT,0.3300,49.03,48.19,0.85,25.4,-49.98,-49.01,0.97,-29.1,-11.79,-11.72,0.06
110,1.100,DESCENT,0.3330,49.03,49.03,0.00,24.2,-49.98,-49.98,0.00,-27.7,-11.82,-11.84,0.02
111,1.110,DESCENT,0.3360,49.03,49.04,0.00,22.9,-49.98,-49.98,0.00,-26.4,-11.85,-11.84,0.01
112,1.120,DESCENT,0.3390,49.03,49.03,0.00,21.7,-49.98,-49.98,0.00,-25.0,-11.88,-11.84,0.04
113,1.130,DESCENT,0.3420,49.74,49.51,0.24,20.4,-50.80,-50.52,0.28,-23.7,-11.90,-11.90,0.01
114,1.140,DESCENT,0.3450,49.74,49.74,0.00,19.2,-50.80,-50.80,0.00,-22.3,-11.93,-11.93,0.00
115,1.150,DESCENT,0.3480,49.74,49.74,0.00,17.9,-50.80,-50.80,0.00,-21.0,-11.95,-11.93,0.02
116,1.160,DESCENT,0.3510,50.31,49.93,0.38,16.7,-51.47,-51.02,0.45,-19.6,-11.96,-11.94,0.02
117,1.170,DESCENT,0.3540,50.31,50.32,0.00,15.5,-51.47,-51.47,0.00,-18.3,-11.98,-11.99,0.01
118,1.180,DESCENT,0.3570,50.31,50.31,0.00,14.2,-51.47,-51.47,0.00,-16.9,-12.00,-11.99,0.01
119,1.190,DESCENT,0.3600,50.31,50.31,0.00,13.0,-51.47,-51.47,0.00,-15.6,-12.01,-11.98,0.03
120,1.200,DESCENT,0.3630,50.75,50.75,0.00,11.7,-51.99,-51.99,0.00,-14.2,-12.02,-12.02,0.00
121,1.210,DESCENT,0.3660,50.75,50.75,0.00,10.5,-51.99,-51.99,0.00,-12.9,-12.02,-12.03,0.00
122,1.220,DESCENT,0.3690,50.75,50.75,0.00,9.2,-51.99,-51.99,0.00,-11.5,-12.03,-12.02,0.01
123,1.230,DESCENT,0.3720,51.04,50.94,0.10,8.0,-52.36,-52.23,0.13,-10.2,-12.03,-12.03,0.01
124,1.240,DESCENT,0.3750,51.04,51.04,0.00,6.8,-52.36,-52.36,0.00,-8.8,-12.03,-12.04,0.00
125,1.250,DESCENT,0.3780,51.04,51.04,0.00,5.5,-52.36,-52.36,0.00,-7.5,-12.03,-12.03,0.00
126,1.260,DESCENT,0.3810,51.20,51.09,0.11,4.3,-52.58,-52.43,0.15,-6.1,-12.03,-12.03,0.00
127,1.270,DESCENT,0.3840,51.20,51.20,0.00,3.0,-52.58,-52.58,0.00,-4.8,-12.02,-12.02,0.00
128,1.280,DESCENT,0.3870,51.20,51.20,0.00,1.8,-52.58,-52.58,0.00,-3.4,-12.01,-12.01,0.00
129,1.290,DESCENT,0.3900,51.20,51.20,0.00,0.6,-52.58,-52.57,0.00,-2.1,-12.00,-12.02,0.02
130,1.300,DESCENT,0.3930,51.22,51.22,0.00,-0.7,-52.65,-52.64,0.00,-0.7,-11.99,-11.97,0.02
131,1.310,DESCENT,0.3960,51.22,51.22,0.00,-1.9,-52.65,-52.65,0.00,0.6,-11.97,-11.98,0.01
132,1.320,DESCENT,0.3990,51.22,51.22,0.00,-3.2,-52.65,-52.64,0.00,2.0,-11.96,-11.98,0.02
133,1.330,DESCENT,0.4020,51.10,51.13,0.04,-4.4,-52.56,-52.59,0.03,3.3,-11.94,-11.93,0.00
134,1.340,DESCENT,0.4050,51.10,51.10,0.00,-5.7,-52.56,-52.56,0.00,4.7,-11.91,-11.91,0.00
135,1.350,DESCENT,0.4080,51.10,51.10,0.00,-6.9,-52.56,-52.56,0.00,6.0,-11.89,-11.91,0.03
136,1.360,DESCENT,0.4110,50.84,51.01,0.17,-8.2,-52.33,-52.49,0.15,7.4,-11.86,-11.88,0.02
137,1.370,DESCENT,0.4140,50.84,50.84,0.00,-9.4,-52.33,-52.33,0.00,8.7,-11.83,-11.82,0.01
138,1.380,DESCENT,0.4170,50.84,50.84,0.00,-10.6,-52.33,-52.33,0.00,10.1,-11.80,-11.82,0.02
139,1.390,DESCENT,0.4200,50.84,50.84,0.00,-11.9,-52.33,-52.33,0.00,11.4,-11.77,-11.82,0.05
140,1.400,DESCENT,0.4230,50.44,50.44,0.00,-13.1,-51.95,-51.95,0.00,12.8,-11.73,-11.71,0.03
141,1.410,DESCENT,0.4260,50.44,50.44,0.00,-14.4,-51.95,-51.95,0.00,14.1,-11.69,-11.71,0.01
142,1.420,DESCENT,0.4290,50.44,50.44,0.00,-15.6,-51.95,-51.95,0.00,15.5,-11.65,-11.71,0.05
143,1.430,DESCENT,0.4320,49.91,50.08,0.18,-16.9,-51.42,-51.60,0.18,16.9,-11.61,-11.61,0.00
144,1.440,DESCENT,0.4350,49.91,49.91,0.00,-18.1,-51.42,-51.42,0.00,18.2,-11.57,-11.56,0.00
145,1.450,DESCENT,0.4380,49.91,49.91,0.00,-19.3,-51.42,-51.42,0.00,19.6,-11.52,-11.57,0.05
146,1.460,DESCENT,0.4410,49.24,49.68,0.45,-20.6,-50.74,-51.19,0.45,20.9,-11.47,-11.51,0.04
147,1.470,DESCENT,0.4440,49.24,49.24,0.00,-21.8,-50.74,-50.74,0.00,22.3,-11.42,-11.40,0.02
148,1.480,DESCENT,0.4470,49.24,49.23,0.00,-23.1,-50.74,-50.74,0.00,23.6,-11.36,-11.40,0.04
149,1.490,DESCENT,0.4500,49.24,49.23,0.00,-24.3,-50.74,-50.74,0.00,24.9,-11.31,-11.40,0.09
150,1.500,DESCENT,0.4530,48.43,48.43,0.00,-25.5,-49.91,-49.90,0.00,26.3,-11.25,-11.20,0.05
151,1.510,DESCENT,0.4560,48.43,48.43,0.00,-26.8,-49.91,-49.91,0.00,27.7,-11.19,-11.21,0.02
152,1.520,DESCENT,0.4590,48.43,48.42,0.00,-28.0,-49.91,-49.91,0.00,29.0,-11.12,-11.21,0.08
153,1.530,DESCENT,0.4620,47.48,47.79,0.31,-29.3,-48.92,-49.25,0.33,30.4,-11.06,-11.06,0.00
154,1.540,DESCENT,0.4650,47.48,47.48,0.00,-30.5,-48.92,-48.92,0.00,31.7,-10.99,-10.99,0.00
155,1.550,DESCENT,0.4680,47.48,47.48,0.00,-31.8,-48.92,-48.92,0.00,33.1,-10.92,-10.99,0.07
156,1.560,DESCENT,0.4710,46.39,47.11,0.72,-33.0,-47.79,-48.55,0.75,34.4,-10.85,-10.91,0.06
157,1.570,DESCENT,0.4740,46.39,46.39,0.00,-34.3,-47.79,-47.79,0.00,35.8,-10.77,-10.75,0.03
158,1.580,DESCENT,0.4770,46.39,46.39,0.00,-35.5,-47.79,-47.79,0.00,37.1,-10.70,-10.75,0.05
159,1.590,DESCENT,0.4800,46.39,46.39,0.00,-36.7,-47.79,-47.79,0.00,38.5,-10.62,-10.74,0.12
160,1.600,DESCENT,0.4830,45.17,45.17,0.00,-38.0,-46.51,-46.51,0.00,39.8,-10.54,-10.48,0.05
161,1.610,DESCENT,0.4860,45.17,45.17,0.00,-39.2,-46.51,-46.51,0.00,41.2,-10.45,-10.48,0.03
162,1.620,DESCENT,0.4890,45.17,45.17,0.00,-40.5,-46.51,-46.51,0.00,42.5,-10.37,-10.48,0.12
163,1.630,DESCENT,0.4920,43.80,44.26,0.45,-41.7,-45.08,-45.55,0.48,43.9,-10.28,-10.28,0.01
164,1.640,DESCENT,0.4950,43.80,43.80,0.00,-42.9,-45.08,-45.08,0.00,45.2,-10.19,-10.18,0.00
165,1.650,DESCENT,0.4980,43.80,43.80,0.00,-44.2,-45.08,-45.08,0.00,46.6,-10.09,-10.19,0.09
166,1.660,DESCENT,0.5010,42.30,43.30,1.00,-45.4,-43.50,-44.55,1.05,47.9,-10.00,-10.08,0.08
167,1.670,DESCENT,0.5040,42.30,42.30,0.00,-46.7,-43.50,-43.50,0.00,49.3,-9.90,-9.87,0.03
168,1.680,DESCENT,0.5070,42.30,42.30,0.00,-47.9,-43.50,-43.50,0.00,50.6,-9.80,-9.87,0.07
169,1.690,DESCENT,0.5100,42.30,42.30,0.00,-49.2,-43.50,-43.49,0.00,52.0,-9.70,-9.87,0.16
170,1.700,DESCENT,0.5130,40.66,40.66,0.00,-50.4,-41.76,-41.76,0.00,53.3,-9.60,-9.52,0.07
171,1.710,DESCENT,0.5160,40.66,40.66,0.00,-51.6,-41.76,-41.76,0.00,54.7,-9.49,-9.53,0.04
172,1.720,DESCENT,0.5190,40.66,40.66,0.00,-52.9,-41.76,-41.76,0.00,56.0,-9.38,-9.52,0.14
173,1.730,DESCENT,0.5220,38.89,39.48,0.59,-54.1,-39.88,-40.51,0.63,57.4,-9.27,-9.28,0.01
174,1.740,DESCENT,0.5250,38.89,38.89,0.00,-55.4,-39.88,-39.88,0.00,58.7,-9.16,-9.15,0.00
175,1.750,DESCENT,0.5280,38.89,38.89,0.00,-56.6,-39.88,-39.88,0.00,60.1,-9.04,-9.16,0.12
176,1.760,DESCENT,0.5310,36.97,38.25,1.28,-57.9,-37.85,-39.20,1.35,61.4,-8.92,-9.02,0.10
177,1.770,DESCENT,0.5340,36.97,36.97,0.00,-59.1,-37.85,-37.85,0.00,62.8,-8.80,-8.76,0.04
178,1.780,DESCENT,0.5370,36.97,36.97,0.00,-60.4,-37.85,-37.85,0.00,64.1,-8.68,-8.76,0.08
179,1.790,DESCENT,0.5400,36.97,36.97,0.00,-61.6,-37.85,-37.85,0.00,65.5,-8.56,-8.76,0.21
180,1.800,DESCENT,0.5430,34.92,34.92,0.00,-62.8,-35.66,-35.66,0.00,66.8,-8.43,-8.34,0.09
181,1.810,DESCENT,0.5460,34.92,34.92,0.00,-64.1,-35.66,-35.67,0.00,68.2,-8.30,-8.34,0.04
182,1.820,DESCENT,0.5490,34.92,34.92,0.00,-65.3,-35.66,-35.66,0.00,69.5,-8.17,-8.34,0.17
183,1.830,DESCENT,0.5520,28.73,30.80,2.06,-315.3,-29.36,-31.47,2.10,317.9,-7.68,-7.49,0.19
184,1.840,DESCENT,0.5550,28.73,28.73,0.00,-296.1,-29.36,-29.37,0.00,299.0,-7.04,-7.06,0.02
185,1.850,DESCENT,0.5580,28.73,28.73,0.00,-277.0,-29.36,-29.37,0.00,280.1,-6.44,-7.06,0.61
186,1.860,DESCENT,0.5610,19.92,25.80,5.87,-257.9,-20.45,-26.39,5.94,261.1,-5.88,-6.44,0.56
187,1.870,DESCENT,0.5640,19.92,19.92,0.00,-238.8,-20.45,-20.45,0.00,242.2,-5.35,-5.20,0.15
188,1.880,DESCENT,0.5670,19.92,19.92,0.00,-219.6,-20.45,-20.45,0.00,223.3,-4.86,-5.20,0.34
189,1.890,DESCENT,0.5700,13.24,19.92,6.68,-200.5,-13.64,-20.45,6.81,204.4,-4.40,-5.20,0.79
190,1.900,DESCENT,0.5730,13.24,13.24,0.00,-181.4,-13.64,-13.64,0.00,185.4,-3.98,-3.74,0.24
191,1.910,DESCENT,0.5760,13.24,13.24,0.00,-162.3,-13.64,-13.64,0.00,166.5,-3.60,-3.74,0.14
192,1.920,DESCENT,0.5790,13.24,13.24,0.00,-143.1,-13.64,-13.64,0.00,147.6,-3.25,-3.74,0.49
193,1.930,DESCENT,0.5820,8.68,10.20,1.52,-124.0,-8.93,-10.50,1.57,128.6,-2.94,-3.03,0.09
194,1.940,DESCENT,0.5850,8.68,8.68,0.00,-104.9,-8.93,-8.93,0.00,109.7,-2.66,-2.68,0.02
195,1.950,DESCENT,0.5880,8.68,8.68,0.00,-85.7,-8.93,-8.93,0.00,90.8,-2.42,-2.67,0.26
196,1.960,DESCENT,0.5910,6.25,7.87,1.62,-66.6,-6.32,-8.06,1.74,71.9,-2.21,-2.45,0.24
197,1.970,DESCENT,0.5940,6.25,6.25,0.00,-47.5,-6.32,-6.32,0.00,52.9,-2.04,-2.01,0.03
198,1.980,DESCENT,0.5970,6.25,6.25,0.00,-28.4,-6.32,-6.32,0.00,34.0,-1.91,-2.01,0.10
199,1.990,DESCENT,0.6000,5.94,6.25,0.31,-9.2,-5.82,-6.32,0.50,15.1,-1.81,-2.00,0.20
200,2.000,DESCENT,0.6030,5.94,5.94,0.00,9.9,-5.82,-5.82,0.00,-3.8,-1.74,-1.74,0.01
201,2.010,DESCENT,0.6060,5.94,5.94,0.00,29.0,-5.82,-5.82,0.00,-22.8,-1.72,-1.74,0.02
202,2.020,DESCENT,0.6090,5.94,5.94,0.00,48.1,-5.82,-5.82,0.00,-41.7,-1.73,-1.74,0.02
203,2.030,DESCENT,0.6120,7.76,7.15,0.60,67.3,-7.42,-6.89,0.53,-60.6,-1.77,-1.82,0.05
204,2.040,DESCENT,0.6150,7.76,7.76,0.00,86.4,-7.42,-7.42,0.00,-79.5,-1.85,-1.86,0.01
205,2.050,DESCENT,0.6180,7.76,7.76,0.00,105.5,-7.42,-7.42,0.00,-98.5,-1.97,-1.87,0.10
206,2.060,DESCENT,0.6210,11.70,9.07,2.63,124.7,-11.12,-8.65,2.47,-117.4,-2.12,-2.04,0.07
207,2.070,DESCENT,0.6240,11.70,11.70,0.00,143.8,-11.12,-11.13,0.00,-136.3,-2.31,-2.39,0.09
208,2.080,DESCENT,0.6270,11.70,11.70,0.00,162.9,-11.12,-11.12,0.00,-155.3,-2.53,-2.39,0.14
209,2.090,DESCENT,0.6300,17.77,11.70,6.07,182.0,-16.93,-11.12,5.80,-174.2,-2.79,-2.40,0.39
210,2.100,DESCENT,0.6330,17.77,17.77,0.00,201.2,-16.93,-16.93,0.00,-193.1,-3.08,-3.31,0.23
211,2.110,DESCENT,0.6360,17.77,17.77,0.00,220.3,-16.93,-16.93,0.00,-212.0,-3.41,-3.32,0.10
212,2.120,DESCENT,0.6390,17.77,17.77,0.00,239.4,-16.93,-16.93,0.00,-231.0,-3.78,-3.32,0.47
213,2.130,DESCENT,0.6420,22.77,21.10,1.67,76.7,-21.71,-20.12,1.59,-71.5,-3.99,-3.84,0.15
214,2.140,DESCENT,0.6450,22.77,22.77,0.00,74.2,-21.71,-21.71,0.00,-69.2,-4.10,-4.10,0.00
215,2.150,DESCENT,0.6480,22.77,22.77,0.00,71.7,-21.71,-21.71,0.00,-66.8,-4.21,-4.10,0.11
216,2.160,DESCENT,0.6510,25.11,23.55,1.55,69.2,-23.88,-22.43,1.45,-64.5,-4.31,-4.21,0.10
217,2.170,DESCENT,0.6540,25.11,25.10,0.00,66.7,-23.88,-23.88,0.00,-62.1,-4.41,-4.45,0.03
218,2.180,DESCENT,0.6570,25.11,25.11,0.00,64.2,-23.88,-23.88,0.00,-59.8,-4.51,-4.44,0.07
219,2.190,DESCENT,0.6600,27.16,25.11,2.05,61.7,-25.80,-23.89,1.91,-57.4,-4.60,-4.44,0.16
220,2.200,DESCENT,0.6630,27.16,27.16,0.00,59.2,-25.80,-25.80,0.00,-55.1,-4.69,-4.75,0.06
221,2.210,DESCENT,0.6660,27.16,27.16,0.00,56.7,-25.80,-25.80,0.00,-52.7,-4.77,-4.74,0.03
222,2.220,DESCENT,0.6690,27.16,27.16,0.00,54.2,-25.80,-25.80,0.00,-50.3,-4.85,-4.75,0.11
223,2.230,DESCENT,0.6720,28.94,28.35,0.59,51.7,-27.45,-26.90,0.55,-48.0,-4.93,-4.92,0.01
224,2.240,DESCENT,0.6750,28.94,28.94,0.00,49.2,-27.45,-27.45,0.00,-45.6,-5.00,-5.00,0.00
225,2.250,DESCENT,0.6780,28.94,28.94,0.00,46.7,-27.45,-27.45,0.00,-43.3,-5.07,-5.00,0.07
226,2.260,DESCENT,0.6810,30.44,29.44,1.00,44.2,-28.84,-27.91,0.93,-40.9,-5.13,-5.07,0.06
227,2.270,DESCENT,0.6840,30.44,30.44,0.00,41.6,-28.84,-28.84,0.00,-38.6,-5.19,-5.21,0.02
228,2.280,DESCENT,0.6870,30.44,30.44,0.00,39.1,-28.84,-28.84,0.00,-36.2,-5.25,-5.22,0.03
229,2.290,DESCENT,0.6900,31.66,30.44,1.22,36.6,-29.97,-28.84,1.13,-33.8,-5.30,-5.21,0.09
230,2.300,DESCENT,0.6930,31.66,31.66,0.00,34.1,-29.97,-29.97,0.00,-31.5,-5.35,-5.38,0.03
231,2.310,DESCENT,0.6960,31.66,31.66,0.00,31.6,-29.97,-29.97,0.00,-29.1,-5.39,-5.38,0.02
232,2.320,DESCENT,0.6990,31.66,31.66,0.00,29.1,-29.97,-29.97,0.00,-26.8,-5.43,-5.38,0.05
233,2.330,DESCENT,0.7020,32.60,32.29,0.31,26.6,-30.83,-30.55,0.29,-24.4,-5.47,-5.46,0.01
234,2.340,DESCENT,0.7050,32.60,32.60,0.00,24.1,-30.83,-30.83,0.00,-22.1,-5.50,-5.50,0.00
235,2.350,DESCENT,0.7080,32.60,32.60,0.00,21.6,-30.83,-30.83,0.00,-19.7,-5.53,-5.50,0.03
236,2.360,DESCENT,0.7110,33.27,32.82,0.44,19.1,-31.44,-31.04,0.40,-17.4,-5.55,-5.52,0.03
237,2.370,DESCENT,0.7140,33.27,33.27,0.00,16.6,-31.44,-31.44,0.00,-15.0,-5.57,-5.58,0.01
238,2.380,DESCENT,0.7170,33.27,33.27,0.00,14.1,-31.44,-31.44,0.00,-12.7,-5.59,-5.57,0.01
239,2.390,DESCENT,0.7200,33.65,33.27,0.39,11.6,-31.78,-31.44,0.34,-10.3,-5.60,-5.57,0.02
240,2.400,DESCENT,0.7230,33.65,33.65,0.00,9.1,-31.78,-31.78,0.00,-7.9,-5.60,-5.60,0.00
241,2.410,DESCENT,0.7260,33.65,33.66,0.00,6.6,-31.78,-31.78,0.00,-5.6,-5.61,-5.61,0.00
242,2.420,DESCENT,0.7290,33.65,33.66,0.00,4.1,-31.78,-31.78,0.00,-3.2,-5.61,-5.60,0.00
243,2.430,DESCENT,0.7320,33.76,33.73,0.04,1.6,-31.86,-31.84,0.03,-0.9,-5.60,-5.59,0.01
244,2.440,DESCENT,0.7350,33.76,33.76,0.00,-0.9,-31.86,-31.86,0.00,1.5,-5.59,-5.59,0.00
245,2.450,DESCENT,0.7380,33.76,33.76,0.00,-3.4,-31.86,-31.86,0.00,3.8,-5.58,-5.59,0.01
246,2.460,DESCENT,0.7410,33.59,33.71,0.11,-5.9,-31.68,-31.80,0.12,6.2,-5.56,-5.57,0.01
247,2.470,DESCENT,0.7440,33.59,33.59,0.00,-8.4,-31.68,-31.68,0.00,8.5,-5.54,-5.53,0.01
248,2.480,DESCENT,0.7470,33.59,33.59,0.00,-10.9,-31.68,-31.68,0.00,10.9,-5.52,-5.53,0.02
249,2.490,DESCENT,0.7500,33.15,33.59,0.45,-13.4,-31.24,-31.68,0.44,13.3,-5.49,-5.53,0.04
250,2.500,DESCENT,0.7530,33.15,33.15,0.00,-15.9,-31.24,-31.24,0.00,15.6,-5.46,-5.44,0.02
251,2.510,DESCENT,0.7560,33.15,33.15,0.00,-18.4,-31.24,-31.24,0.00,18.0,-5.42,-5.43,0.01
252,2.520,DESCENT,0.7590,33.15,33.15,0.00,-20.9,-31.24,-31.24,0.00,20.3,-5.38,-5.43,0.05
253,2.530,DESCENT,0.7620,32.42,32.66,0.24,-23.4,-30.54,-30.77,0.24,22.7,-5.33,-5.33,0.00
254,2.540,DESCENT,0.7650,32.42,32.42,0.00,-26.0,-30.54,-30.54,0.00,25.0,-5.28,-5.28,0.00
255,2.550,DESCENT,0.7680,32.42,32.42,0.00,-28.5,-30.54,-30.54,0.00,27.4,-5.23,-5.28,0.05
256,2.560,DESCENT,0.7710,31.42,32.09,0.67,-31.0,-29.57,-30.21,0.64,29.8,-5.17,-5.22,0.05
257,2.570,DESCENT,0.7740,31.42,31.41,0.00,-33.5,-29.57,-29.57,0.00,32.1,-5.11,-5.09,0.02
258,2.580,DESCENT,0.7770,31.42,31.42,0.00,-36.0,-29.57,-29.57,0.00,34.5,-5.05,-5.09,0.04
259,2.590,DESCENT,0.7800,30.13,31.42,1.28,-38.5,-28.35,-29.57,1.22,36.8,-4.98,-5.09,0.11
260,2.600,DESCENT,0.7830,30.13,30.13,0.00,-41.0,-28.35,-28.35,0.00,39.2,-4.90,-4.85,0.05
261,2.610,DESCENT,0.7860,30.13,30.13,0.00,-43.5,-28.35,-28.35,0.00,41.5,-4.83,-4.85,0.03
262,2.620,DESCENT,0.7890,30.13,30.14,0.00,-46.0,-28.35,-28.35,0.00,43.9,-4.74,-4.85,0.11
263,2.630,DESCENT,0.7920,28.57,29.09,0.52,-48.5,-26.86,-27.35,0.49,46.2,-4.66,-4.66,0.00
264,2.640,DESCENT,0.7950,28.57,28.57,0.00,-51.0,-26.86,-26.86,0.00,48.6,-4.57,-4.57,0.00
265,2.650,DESCENT,0.7980,28.57,28.57,0.00,-53.5,-26.86,-26.86,0.00,50.9,-4.48,-4.57,0.09
266,2.660,DESCENT,0.8010,26.73,27.96,1.22,-56.0,-25.11,-26.27,1.17,53.3,-4.38,-4.45,0.08
267,2.670,DESCENT,0.8040,26.73,26.74,0.00,-58.5,-25.11,-25.11,0.00,55.7,-4.28,-4.25,0.03
268,2.680,DESCENT,0.8070,26.73,26.73,0.00,-61.0,-25.11,-25.11,0.00,58.0,-4.17,-4.24,0.06
269,2.690,DESCENT,0.8100,24.62,26.73,2.11,-63.5,-23.09,-25.10,2.01,60.4,-4.06,-4.24,0.18
270,2.700,DESCENT,0.8130,24.62,24.62,0.00,-66.0,-23.09,-23.09,0.00,62.7,-3.95,-3.87,0.08
271,2.710,DESCENT,0.8160,24.62,24.62,0.00,-68.5,-23.09,-23.09,0.00,65.1,-3.83,-3.87,0.04
272,2.720,DESCENT,0.8190,24.62,24.62,0.00,-71.0,-23.09,-23.09,0.00,67.4,-3.71,-3.86,0.15
273,2.730,DESCENT,0.8220,23.60,23.94,0.34,8.1,-22.10,-22.43,0.33,-6.2,-3.66,-3.73,0.07
274,2.740,DESCENT,0.8250,23.60,23.60,0.00,7.7,-22.10,-22.10,0.00,-5.8,-3.65,-3.65,0.00
275,2.750,DESCENT,0.8280,23.60,23.60,0.00,7.3,-22.10,-22.10,0.00,-5.4,-3.64,-3.65,0.01
276,2.760,DESCENT,0.8310,23.83,23.68,0.15,6.8,-22.27,-22.16,0.11,-5.1,-3.63,-3.64,0.00
277,2.770,DESCENT,0.8340,23.83,23.83,0.00,6.4,-22.27,-22.27,0.00,-4.7,-3.62,-3.62,0.00
278,2.780,DESCENT,0.8370,23.83,23.83,0.00,5.9,-22.27,-22.27,0.00,-4.3,-3.61,-3.62,0.00
279,2.790,DESCENT,0.8400,24.01,23.83,0.18,5.5,-22.40,-22.27,0.13,-3.9,-3.60,-3.62,0.01
