tick,time,state,sq,knee_cmd_rate,knee_fd_rate,knee_rate_diff,knee_ref_accel,hip_cmd_rate,hip_fd_rate,hip_rate_diff,hip_ref_accel,ankle_nom_cmd_rate,ankle_nom_fd_rate,ankle_nom_diff
323,3.230,DESCENT,0.9720,21.90,22.05,0.15,-14.1,-20.29,-20.42,0.14,12.7,-3.07,-3.08,0.00
324,3.240,DESCENT,0.9750,21.90,21.90,0.00,-14.5,-20.29,-20.29,0.00,13.1,-3.06,-3.06,0.00
325,3.250,DESCENT,0.9780,21.90,21.90,0.00,-15.0,-20.29,-20.29,0.00,13.5,-3.04,-3.06,0.02
326,3.260,DESCENT,0.9810,21.39,21.73,0.34,-15.4,-19.83,-20.13,0.30,13.8,-3.03,-3.04,0.02
327,3.270,DESCENT,0.9840,21.39,21.39,0.00,-15.9,-19.83,-19.83,0.00,14.2,-3.01,-3.01,0.01
328,3.280,DESCENT,0.9870,21.39,21.39,0.00,-16.3,-19.83,-19.83,0.00,14.6,-3.00,-3.01,0.01
329,3.290,DESCENT,0.9900,20.83,21.39,0.56,-16.7,-19.33,-19.83,0.50,15.0,-2.98,-3.01,0.03
330,3.300,DESCENT,0.9930,20.83,20.83,0.00,-17.2,-19.33,-19.33,0.00,15.3,-2.97,-2.96,0.01
331,3.310,DESCENT,0.9960,20.83,20.83,0.00,-17.6,-19.33,-19.33,0.00,15.7,-2.95,-2.96,0.01
332,3.320,BOTTOM,1.0000,20.83,27.75,6.92,-2053.3,-19.33,-25.75,6.42,1906.7,0.00,-3.94,3.94
333,3.330,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
334,3.340,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
335,3.350,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
336,3.360,BOTTOM,1.0000,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00
