phase,feed_forward,saddle,repeat,load_kg,tick,pelvis_y,trunk_pitch_rad,canonical_pose_error_deg,target_actual_deflection_deg,capture_hull_margin_m,capture_front_m,capture_rear_m,com_speed_mps,raw_ankle_authority_fraction,applied_ankle_authority_fraction,posture_guard_scale,hip_strategy_blend,hip_authority_usage,trunk_authority_usage,drive_demand,drive_saturated,joint_limit,saddle_separation_m,saddle_linear_limit_occupancy,saddle_angular_x_limit_occupancy,saddle_angular_y_limit_occupancy,saddle_angular_z_limit_occupancy,saddle_force_n,saddle_torque_nm,support_contacts,support_retained,tracking_failure,capture_failure,posture_failure,support_loss,saddle_linear_limit,saddle_angular_limit
"qualification","F2","S1",1,270,72,0.97211,0.0783745348,3.206309,9.575886,0.06357648,0.232106179,0.06529804,0.0178826749,0.08868324,0.08868324,1,0,0,0,0.4021133,false,0.240142748,0.0545206442,0.5452064,0.03411324,0.0143317115,0.0245674625,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,73,0.972144067,0.0773624256,3.217033,9.540141,0.06376932,0.231910914,0.0654933155,0.01793077,0.5314559,0.5314559,1,0,0,0,0.3996721,false,0.243380219,0.054557614,0.545576155,0.033476647,0.0137857646,0.0248333588,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,74,0.972185254,0.07631084,3.22626615,9.509291,0.06387044,0.231808171,0.06559606,0.0177382044,0.2118219,0.2118219,1,0,0,0,0.397321,false,0.247588873,0.05459745,0.5459745,0.0330767035,0.0132260285,0.02512413,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,75,0.9722072,0.07530369,3.23644066,9.472964,0.0640123039,0.231663525,0.0657407,0.01770842,0.06747828,0.06747828,1,0,0,0,0.3967047,false,0.24922733,0.05460681,0.5460681,0.03266737,0.0126995789,0.02536157,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,76,0.972251832,0.07427314,3.24947524,9.433344,0.06412326,0.231551036,0.06585319,0.0175386555,0.4827261,0.4827261,1,0,0,0,0.3941684,false,0.2527202,0.0546132624,0.5461326,0.03242503,0.0121981641,0.02557561,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,77,0.9722702,0.0732618943,3.259577,9.400643,0.0642803162,0.231391221,0.0660130158,0.0175468866,0.135437042,0.135437042,1,0,0,0,0.3935068,false,0.254079282,0.05459447,0.5459447,0.0322080627,0.011711902,0.02572539,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,78,0.9723104,0.07222409,3.26988721,9.362892,0.06440782,0.231262118,0.06614212,0.0174202286,0.5598097,0.5598097,1,0,0,0,0.390970916,false,0.257263064,0.054576207,0.545762062,0.0321327932,0.011251268,0.0258494355,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,79,0.972347736,0.07115901,3.27873278,9.330281,0.06447819,0.231190473,0.0662137643,0.0171590932,0.2190231,0.2190231,1,0,0,0,0.389,false,0.260528147,0.05455792,0.5455792,0.0321792364,0.0107855331,0.0259718746,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,80,0.9723832,0.07009983,3.28803062,9.29233,0.06453424,0.231133163,0.0662710741,0.016874209,0.211639285,0.211639285,1,0,0,0,0.38735193,false,0.2632776,0.0545288436,0.545288444,0.032244578,0.01034309,0.0260692127,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,81,0.9724312,0.0690096,3.299913,9.252953,0.064526,0.231141031,0.0662632,0.0164079927,0.26347968,0.26347968,1,0,0,0,0.3849057,false,0.267173,0.0545033477,0.545033455,0.03241824,0.009908312,0.02616819,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,82,0.9724561,0.0679478049,3.31080675,9.215194,0.06457045,0.2310952,0.06630903,0.0161293428,0.00314962119,0.00314962119,1,0,0,0,0.384062141,false,0.268692046,0.05445604,0.5445604,0.03252228,0.009495842,0.0262082778,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,83,0.972499,0.06685,3.32307863,9.17412,0.06458157,0.23108381,0.06632043,0.0157207027,0.392820179,0.392820179,1,0,0,0,0.3813954,false,0.2721652,0.05441199,0.5441199,0.0327267051,0.009099219,0.0262296181,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,84,0.9725154,0.06576982,3.33272266,9.1393795,0.06464446,0.2310195,0.06638474,0.0155018875,0.0109632649,0.0109632649,1,0,0,0,0.380555719,false,0.273198545,0.0543514565,0.54351455,0.03286877,0.008712138,0.026194049,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,85,0.9725514,0.06465992,3.34257317,9.098825,0.06467372,0.230989888,0.06641434,0.01515195,0.411291957,0.411291957,1,0,0,0,0.377930462,false,0.276388675,0.05429834,0.5429834,0.0330776237,0.008340343,0.0261430535,0,0,8,true,false,false,false,false,false,false
"qualification","F2","S1",1,270,86,0.9725627,0.06357716,3.35146046,9.063192,0.0647536144,0.230908513,0.06649572,0.0149884326,0.03651712,0.03651712,1,0,0,0,0.3771803,false,0.277180463,0.0542326532,0.5423265,0.03318893,0.007978913,0.02603802,0,0,8,true,false,false,false,false,false,false
