recorded_pre_squat,p2_evaluated,AbdomenActualAngleRad,AbdomenMarginRad,AbdomenPass,AbdomenStandingBiasDegrees,AnkleStandingBiasDegrees,AppliedAnkleDemandRad,BarAngularSpeedMagnitudeRadS,BarAngularSpeedMarginRadS,BarAngularSpeedPass,BarAngularSpeedThresholdRadS,BarAngularVelocityBarXRadS,BarAngularVelocityBarYRadS,BarAngularVelocityBarZRadS,BarAvailable,BarLinearSpeedMagnitudeMps,BarLinearSpeedMarginMps,BarLinearSpeedPass,BarLinearSpeedThresholdMps,BarVerticalSpeedMarginMps,BarVerticalSpeedMps,BarVerticalSpeedPass,BarVerticalSpeedThresholdMps,CaptureApM,CaptureMargin2DM,CaptureMlM,ComApM,ComMlM,ComSpeedMps,ConsecutiveValidRunLength,CopMeasuredApM,CopMeasuredMlM,GuardedAnkleDemandRad,HipAuthority,HipStandingBiasDegrees,HipStrategyBlend,KneeStandingBiasDegrees,LeftFootAvailable,LeftFootContact,LeftHipActualAngleRad,LeftHipMarginRad,LeftHipPass,LeftKneeActualAngleRad,LeftKneeMarginRad,LeftKneePass,OverallStartCandidate,PostureGuardScale,RawAnkleAuthorityFraction,RawAnkleDemandRad,RequiredRunLength,RightFootAvailable,RightFootContact,RightHipActualAngleRad,RightHipMarginRad,RightHipPass,RightKneeActualAngleRad,RightKneeMarginRad,RightKneePass,SimulationTick,SimulationTimeSeconds,SupportAvailable,SupportPresent,ThoraxActualAngleRad,ThoraxMarginRad,ThoraxPass,ThoraxStandingBiasDegrees,TrunkAuthority
false,false,0.0404897779,0.134043142,true,3.45571113,0,0.149953187,0.0935672447,0.106432758,true,0.2,0.0928404,0.00249855919,0.0113686379,true,0.157816082,-0.137816086,false,0.02,-0.139928177,-0.149928182,false,0.01,-0.04315715,0.111561894,0.00296734367,-0.0487273932,0.000303192064,0.0182241369,0,-0.0373065472,-0.004327516,0.1431416,0,0,0,0,true,true,-0.000690533954,0.173842385,true,0.00154408091,0.08572238,true,false,0.9976738,0.5480342,0.143475354,3,true,true,-0.002071602,0.172461316,true,0.00452813553,0.082738325,true,11,0.11,true,true,0.0416165255,0.132916391,true,3.347665,0
false,false,0.0407948457,0.133738071,true,3.45571113,0,0.109953187,0.07895547,0.121044531,true,0.2,0.07779625,0.00301457453,0.0131385932,true,0.107107878,-0.08710788,false,0.02,-0.0850919,-0.0950918943,false,0.01,-0.04449499,0.110224053,0.00313347788,-0.0485861376,0.000384030485,0.0145476572,0,-0.018103864,-0.00242167921,-0.1426623,0,0,0,0,true,true,-0.000690533954,0.173842385,true,0.001691456,0.08557501,true,false,0.9981696,0.5459278,-0.1429239,3,true,true,-0.001691456,0.17284146,true,0.00436732126,0.08289914,true,12,0.12,true,true,0.04238293,0.13215,true,3.347665,0
false,false,0.0412771069,0.13325581,true,3.45571113,0,0.06995319,0.0291637853,0.17083621,true,0.2,0.0251284316,0.00331253465,0.0144262072,true,0.0871922448,-0.06719224,false,0.02,-0.06049037,-0.07049037,false,0.01,-0.04593111,0.108787932,0.00321233785,-0.0485023856,0.0004651739,0.0111048808,0,-0.00713996263,0.00012487144,-0.3823447,0.06305229,0,1,0,true,true,0,0.17453292,true,0.00154408091,0.08572238,true,false,0.9982107,1.4630636,-0.383030027,3,true,true,0,0.17453292,true,0.004026471,0.08323999,true,13,0.13,true,true,0.0429973155,0.1315356,true,3.347665,0.0367795
false,false,0.0414212681,0.133111656,true,3.45571113,0,0.02995319,0.02356007,0.176439941,true,0.2,0.01765449,0.00333980122,0.0152394744,true,0.08435096,-0.06435096,false,0.02,-0.05761931,-0.06761931,false,0.01,-0.0474038571,0.107315183,0.00322379288,-0.0484681,0.000544669339,0.008508384,0,-0.00278531155,0.0024978593,-0.5711015,0.0467555076,0,1,0,true,true,0.00154408091,0.172988832,true,0.001953125,0.0853133351,true,false,0.99020946,2.2030108,-0.5767482,3,true,true,0.0009765625,0.173556358,true,0.003844731,0.08342173,true,14,0.14,true,true,0.043635834,0.13089709,true,3.347665,0.0272733029
false,false,0.0413463674,0.133186549,true,3.45571113,0,-0.01004681,0.0303184632,0.169681534,true,0.2,0.0257667676,0.00311391754,0.0156711973,true,0.09064856,-0.0706485659,false,0.02,-0.06723905,-0.07723905,false,0.01,-0.048710607,0.106008433,0.00320344279,-0.04847629,0.000621365,0.007653675,0,-0.00702239526,0.0036685653,-0.60493046,0.0296030287,0,1,0,true,true,0.002071602,0.172461316,true,0.00267442665,0.08459204,true,false,0.9927498,2.327534,-0.609348357,3,true,true,0.00218366017,0.172349259,true,0.00396681624,0.0832996443,true,15,0.15,true,true,0.04425438,0.130278543,true,3.347665,0.0172679629
false,false,0.04106863,0.133464292,true,3.45571113,0,-0.05004681,0.0379737653,0.162026241,true,0.2,0.03441628,0.00269153737,0.0158203039,true,0.100988872,-0.08098887,false,0.02,-0.081112586,-0.0911125839,false,0.01,-0.0495847128,0.105134323,0.0031858983,-0.0485134162,0.0006953692,0.00800576,0,-0.02369549,0.00351373455,-0.399004668,0.0122727389,0,1,0,true,true,0.00239208,0.172140837,true,0.00338291214,0.08388355,true,false,0.9954315,1.53107679,-0.4008359,3,true,true,0.00284714461,0.17168577,true,0.004312384,0.08295408,true,16,0.16,true,true,0.0447846055,0.129748315,true,3.347665,0.007158903
false,false,0.0406249948,0.133907929,true,3.45571113,0,-0.0346544422,0.0382059,0.1617941,true,0.2,0.0347305126,0.00214730576,0.0157756545,true,0.110562958,-0.0905629545,false,0.02,-0.0932073742,-0.103207372,false,0.01,-0.04978537,0.104933672,0.00319376448,-0.04855888,0.0007676014,0.008030517,0,-0.0477143638,0.00269686873,-0.0346544422,0,0,0,0,true,true,0.002489756,0.17204316,true,0.004312384,0.08295408,true,false,0.9972197,0.132738978,-0.03475106,3,true,true,0.003088162,0.171444759,true,0.00478416076,0.0824823,true,17,0.17,true,true,0.0451610349,0.129371881,true,3.347665,0
false,false,0.0400992371,0.134433687,true,3.45571113,0,0.005345557,0.03306975,0.166930258,true,0.2,0.0290990882,0.00155840162,0.01563402,true,0.1131027,-0.09310269,false,0.02,-0.09708797,-0.10708797,false,0.01,-0.0493866652,0.105332375,0.0032344386,-0.0485910438,0.000839071465,0.007458784,0,-0.0717230961,0.0019341798,0.364693642,0.0128934262,0,1,0,true,true,0.00229024212,0.172242671,true,0.00512113841,0.08214532,true,false,0.9963749,1.39809215,0.3660205,3,true,true,0.003088162,0.171444759,true,0.005437272,0.08182919,true,18,0.18,true,true,0.0453822426,0.129150674,true,3.347665,0.00752096
false,false,0.0396387428,0.134894177,true,3.45571113,0,0.045345556,0.02127538,0.178724617,true,0.2,0.0145182433,0.0010302806,0.0155177629,true,0.1038301,-0.0838301,false,0.02,-0.08757971,-0.09757971,false,0.01,-0.0487513766,0.105967663,0.00332638621,-0.0485987663,0.0009107743,0.007154921,0,-0.0789401457,0.000149560321,0.490049839,0.0149932168,0,1,0,true,true,0.002071602,0.172461316,true,0.00556726474,0.08169919,true,false,0.996068,1.87923729,0.4919843,3,true,true,0.00267442665,0.17185849,true,0.0059402,0.08132626,true,19,0.19,true,true,0.04539275,0.129140168,true,3.347665,0.008745804
false,false,0.03930045,0.135232478,true,3.45571113,0,0.08534555,0.0161100253,0.183889985,true,0.2,-0.004544366,0.000591473945,0.0154444752,true,0.08480543,-0.06480543,false,0.02,-0.06630104,-0.07630104,false,0.01,-0.04819897,0.106520072,0.00344722,-0.0485852,0.0009835672,0.00737328734,0,-0.06679187,-0.000554559636,0.285392523,0.0101857344,0,1,0,true,true,0.0018269812,0.172705933,true,0.005736008,0.08153045,true,false,0.996068,1.09441984,0.2865191,3,true,true,0.00239208,0.172140837,true,0.006214808,0.0810516551,true,20,0.2,true,true,0.04526124,0.129271686,true,3.347665,0.00594151672
