load_kg,tick,sq,world_trunk_pitch,ref_world_trunk_pitch,trunk_excess,pelvis_world_pitch,thigh_world_pitch,shank_world_pitch,hip_nominal,hip_actual,hip_excess,abdomen_nominal,abdomen_actual,abdomen_excess,thorax_nominal,thorax_actual,thorax_excess,bar_ap,support_center,cop_ap,bar_rel_support,bar_rel_cop,saddle_separation,saddle_attached,com_ap,support_min,support_max
25,235,0.7050,43.859,33.329,10.530,21.922,115.210,-147.299,-86.769,-86.444,0.325,6.137,16.274,10.137,9.201,14.086,4.885,-0.00042,-0.00972,0.00016,0.00930,-0.00057,0.00329,1,-0.02557,-0.15472,0.13528
25,236,0.7080,43.957,33.376,10.580,22.020,115.029,-147.301,-87.077,-86.707,0.371,6.145,16.272,10.127,9.213,14.100,4.887,-0.00019,-0.00972,0.00624,0.00953,-0.00643,0.00328,1,-0.02559,-0.15472,0.13528
25,237,0.7110,44.054,33.424,10.630,22.119,114.854,-147.284,-87.388,-86.985,0.402,6.153,16.261,10.109,9.225,14.118,4.893,0.00001,-0.00972,0.00243,0.00973,-0.00242,0.00327,1,-0.02562,-0.15472,0.13528
25,238,0.7140,44.150,33.471,10.679,22.209,114.665,-147.259,-87.702,-87.259,0.443,6.161,16.250,10.089,9.237,14.136,4.898,0.00018,-0.00972,-0.00431,0.00990,0.00449,0.00327,1,-0.02568,-0.15472,0.13528
25,239,0.7170,44.245,33.519,10.726,22.292,114.462,-147.230,-88.016,-87.538,0.478,6.169,16.246,10.077,9.250,14.153,4.904,0.00033,-0.00972,-0.00579,0.01005,0.00612,0.00327,1,-0.02577,-0.15472,0.13528
25,240,0.7200,44.337,33.566,10.771,22.358,114.233,-147.208,-88.331,-87.824,0.506,6.177,16.249,10.072,9.262,14.173,4.911,0.00046,-0.00972,-0.00881,0.01018,0.00926,0.00327,1,-0.02588,-0.15472,0.13528
25,241,0.7230,44.427,33.613,10.813,22.424,114.002,-147.178,-88.649,-88.120,0.529,6.186,16.268,10.083,9.274,14.198,4.923,0.00056,-0.00972,-0.00625,0.01028,0.00681,0.00328,1,-0.02600,-0.15472,0.13528
25,242,0.7260,44.515,33.661,10.854,22.477,113.748,-147.151,-88.966,-88.417,0.549,6.194,16.287,10.093,9.287,14.224,4.937,0.00065,-0.00972,-0.01233,0.01037,0.01299,0.00328,1,-0.02614,-0.15472,0.13528
25,243,0.7290,44.602,33.708,10.894,22.530,113.494,-147.115,-89.284,-88.723,0.561,6.202,16.317,10.115,9.299,14.254,4.954,0.00072,-0.00972,-0.00935,0.01044,0.01007,0.00329,1,-0.02629,-0.15472,0.13528
25,244,0.7320,44.688,33.756,10.932,22.573,113.224,-147.080,-89.603,-89.031,0.572,6.211,16.346,10.135,9.312,14.284,4.972,0.00078,-0.00972,-0.01546,0.01050,0.01624,0.00330,1,-0.02645,-0.15472,0.13528
25,245,0.7350,44.771,33.803,10.968,22.616,112.954,-147.037,-89.921,-89.344,0.577,6.219,16.384,10.165,9.324,14.316,4.992,0.00082,-0.00972,-0.01403,0.01054,0.01485,0.00331,1,-0.02663,-0.15472,0.13528
25,246,0.7380,44.854,33.850,11.003,22.646,112.660,-147.002,-90.240,-89.658,0.582,6.227,16.420,10.193,9.336,14.349,5.013,0.00086,-0.00972,-0.02049,0.01058,0.02135,0.00332,1,-0.02682,-0.15472,0.13528
25,247,0.7410,44.934,33.898,11.036,22.677,112.367,-146.961,-90.558,-89.981,0.576,6.235,16.469,10.234,9.348,14.384,5.036,0.00088,-0.00972,-0.01596,0.01060,0.01684,0.00333,1,-0.02702,-0.15472,0.13528
25,248,0.7440,45.013,33.945,11.068,22.705,112.068,-146.916,-90.875,-90.306,0.569,6.243,16.515,10.272,9.360,14.421,5.061,0.00089,-0.00972,-0.02187,0.01061,0.02276,0.00334,1,-0.02723,-0.15472,0.13528
25,249,0.7470,45.091,33.993,11.099,22.724,111.755,-146.876,-91.192,-90.632,0.559,6.251,16.564,10.313,9.373,14.458,5.085,0.00090,-0.00972,-0.02318,0.01062,0.02407,0.00335,1,-0.02744,-0.15472,0.13528
25,250,0.7500,45.167,34.040,11.127,22.747,111.446,-146.826,-91.508,-90.964,0.544,6.259,16.621,10.362,9.385,14.497,5.112,0.00090,-0.00972,-0.02201,0.01062,0.02290,0.00337,1,-0.02765,-0.15472,0.13528
25,251,0.7530,45.241,34.081,11.160,22.754,111.118,-146.785,-91.821,-91.297,0.524,6.267,16.671,10.404,9.396,14.535,5.139,0.00089,-0.00972,-0.02823,0.01061,0.02912,0.00338,1,-0.02787,-0.15472,0.13528
25,252,0.7560,45.313,34.122,11.192,22.768,110.794,-146.739,-92.133,-91.631,0.502,6.275,16.737,10.462,9.408,14.575,5.168,0.00088,-0.00972,-0.02290,0.01060,0.02378,0.00339,1,-0.02809,-0.15472,0.13528
25,253,0.7590,45.385,34.162,11.223,22.778,110.467,-146.691,-92.446,-91.969,0.477,6.283,16.794,10.512,9.420,14.617,5.197,0.00087,-0.00972,-0.02874,0.01059,0.02961,0.00341,1,-0.02831,-0.15472,0.13528
25,254,0.7620,45.456,34.203,11.252,22.779,110.120,-146.654,-92.753,-92.306,0.447,6.290,16.854,10.564,9.431,14.657,5.226,0.00086,-0.00972,-0.02935,0.01058,0.03021,0.00342,1,-0.02853,-0.15472,0.13528
25,255,0.7650,45.525,34.244,11.281,22.787,109.782,-146.611,-93.059,-92.656,0.403,6.297,16.922,10.625,9.442,14.700,5.258,0.00085,-0.00972,-0.02426,0.01057,0.02510,0.00343,1,-0.02875,-0.15472,0.13528
25,256,0.7680,45.595,34.285,11.310,22.797,109.452,-146.558,-93.364,-93.001,0.363,6.305,16.983,10.678,9.453,14.743,5.290,0.00084,-0.00972,-0.02988,0.01055,0.03072,0.00344,1,-0.02897,-0.15472,0.13528
25,257,0.7710,45.661,34.326,11.335,22.792,109.105,-146.513,-93.666,-93.341,0.326,6.312,17.041,10.729,9.463,14.784,5.320,0.00083,-0.00972,-0.03372,0.01055,0.03455,0.00344,1,-0.02919,-0.15472,0.13528
25,258,0.7740,45.726,34.366,11.360,22.796,108.762,-146.468,-93.962,-93.684,0.278,6.319,17.112,10.793,9.474,14.825,5.352,0.00081,-0.00972,-0.02810,0.01053,0.02891,0.00345,1,-0.02941,-0.15472,0.13528
25,259,0.7770,45.789,34.407,11.381,22.789,108.415,-146.422,-94.258,-94.031,0.227,6.326,17.171,10.846,9.484,14.868,5.384,0.00080,-0.00972,-0.03394,0.01052,0.03474,0.00346,1,-0.02962,-0.15472,0.13528
25,260,0.7800,45.851,34.448,11.403,22.786,108.055,-146.386,-94.553,-94.370,0.184,6.332,17.241,10.909,9.494,14.910,5.415,0.00079,-0.00972,-0.03151,0.01051,0.03229,0.00346,1,-0.02983,-0.15472,0.13528
25,261,0.7830,45.914,34.489,11.425,22.790,107.709,-146.341,-94.837,-94.727,0.110,6.339,17.306,10.967,9.503,14.953,5.450,0.00078,-0.00972,-0.02948,0.01050,0.03026,0.00347,1,-0.03003,-0.15472,0.13528
25,262,0.7860,45.974,34.530,11.444,22.778,107.355,-146.301,-95.120,-95.077,0.043,6.345,17.363,11.018,9.513,14.995,5.482,0.00077,-0.00972,-0.03536,0.01049,0.03613,0.00348,1,-0.03023,-0.15472,0.13528
25,263,0.7890,46.034,34.570,11.463,22.777,107.009,-146.257,-95.404,-95.419,-0.016,6.351,17.434,11.083,9.522,15.037,5.515,0.00076,-0.00972,-0.02998,0.01048,0.03074,0.00348,1,-0.03043,-0.15472,0.13528
25,264,0.7920,46.091,34.611,11.480,22.769,106.658,-146.214,-95.677,-95.764,-0.087,6.357,17.494,11.137,9.530,15.079,5.549,0.00076,-0.00972,-0.03578,0.01048,0.03653,0.00349,1,-0.03062,-0.15472,0.13528
