load_kg,tick,sq,joint,demand,max_force_nm,err_x_deg,capacity_scale,solver_torque_x_nm,nominal_deg,final_deg,actual_deg
0,47,0.1410,left_foot,0.0345,1710.00,5.259,9.500,0.101,-5.733,1.339,-3.919
0,48,0.1440,abdomen,0.0143,1482.00,2.053,5.700,-0.022,2.479,2.479,0.426
0,48,0.1440,thorax,0.0217,1482.00,2.790,5.700,0.000,3.718,3.718,0.928
0,48,0.1440,left_thigh,0.0557,2052.00,-7.254,5.700,0.000,-16.795,-16.795,-9.542
0,48,0.1440,left_foot,0.0272,1710.00,4.238,9.500,0.129,-5.860,-1.079,-4.044
0,49,0.1470,abdomen,0.0137,1482.00,1.996,5.700,-0.024,2.531,2.531,0.535
0,49,0.1470,thorax,0.0212,1482.00,2.753,5.700,0.000,3.797,3.797,1.044
0,49,0.1470,left_thigh,0.0557,2052.00,-7.249,5.700,0.000,-17.167,-17.167,-9.918
0,49,0.1470,left_foot,0.0345,1710.00,5.263,9.500,0.115,-5.988,1.085,-4.178
0,50,0.1500,abdomen,0.0130,1482.00,1.936,5.700,-0.023,2.584,2.584,0.648
0,50,0.1500,thorax,0.0208,1482.00,2.716,5.700,0.000,3.876,3.876,1.160
0,50,0.1500,left_thigh,0.0553,2052.00,-7.240,5.700,0.000,-17.539,-17.539,-10.300
0,50,0.1500,left_foot,0.0273,1710.00,4.242,9.500,0.140,-6.115,-1.334,-4.303
0,51,0.1530,abdomen,0.0124,1482.00,1.875,5.700,-0.024,2.635,2.635,0.760
0,51,0.1530,thorax,0.0201,1482.00,2.675,5.700,0.000,3.953,3.953,1.278
0,51,0.1530,left_thigh,0.0554,2052.00,-7.233,5.700,0.000,-17.912,-17.912,-10.680
0,51,0.1530,left_foot,0.0346,1710.00,5.269,9.500,0.122,-6.242,0.831,-4.438
0,52,0.1560,abdomen,0.0117,1482.00,1.813,5.700,-0.023,2.687,2.687,0.874
0,52,0.1560,thorax,0.0198,1482.00,2.635,5.700,0.000,4.030,4.030,1.395
0,52,0.1560,left_thigh,0.0550,2052.00,-7.222,5.700,0.000,-18.286,-18.286,-11.064
0,52,0.1560,left_foot,0.0274,1710.00,4.250,9.500,0.144,-6.368,-1.587,-4.565
0,53,0.1590,abdomen,0.0112,1482.00,1.751,5.700,-0.024,2.739,2.739,0.988
0,53,0.1590,thorax,0.0193,1482.00,2.594,5.700,0.000,4.108,4.108,1.514
0,53,0.1590,left_thigh,0.0549,2052.00,-7.211,5.700,0.000,-18.659,-18.659,-11.448
0,53,0.1590,left_foot,0.0347,1710.00,5.279,9.500,0.123,-6.494,0.579,-4.700
0,54,0.1620,abdomen,0.0104,1482.00,1.687,5.700,-0.023,2.789,2.789,1.103
0,54,0.1620,thorax,0.0188,1482.00,2.552,5.700,0.000,4.184,4.184,1.632
0,54,0.1620,left_thigh,0.0546,2052.00,-7.197,5.700,0.000,-19.033,-19.033,-11.836
0,54,0.1620,left_foot,0.0275,1710.00,4.260,9.500,0.142,-6.620,-1.838,-4.827
0,55,0.1650,abdomen,0.0099,1482.00,1.622,5.700,-0.024,2.839,2.839,1.217
0,55,0.1650,thorax,0.0182,1482.00,2.507,5.700,0.000,4.259,4.259,1.751
0,55,0.1650,left_thigh,0.0547,2052.00,-7.185,5.700,0.000,-19.407,-19.407,-12.222
0,55,0.1650,left_foot,0.0349,1710.00,5.292,9.500,0.119,-6.745,0.326,-4.964
0,56,0.1680,abdomen,0.0093,1482.00,1.557,5.700,-0.023,2.890,2.890,1.333
0,56,0.1680,thorax,0.0179,1482.00,2.464,5.700,0.000,4.334,4.334,1.870
0,56,0.1680,left_thigh,0.0542,2052.00,-7.170,5.700,0.000,-19.781,-19.781,-12.611
0,56,0.1680,left_foot,0.0276,1710.00,4.274,9.500,0.139,-6.870,-2.089,-5.092
0,57,0.1710,abdomen,0.0086,1482.00,1.492,5.700,-0.024,2.939,2.939,1.447
0,57,0.1710,thorax,0.0172,1482.00,2.419,5.700,0.000,4.408,4.408,1.989
0,57,0.1710,left_thigh,0.0543,2052.00,-7.156,5.700,0.000,-20.156,-20.156,-13.000
0,57,0.1710,left_foot,0.0351,1710.00,5.307,9.500,0.116,-6.994,0.079,-5.229
0,58,0.1740,abdomen,0.0080,1482.00,1.423,5.700,-0.023,2.988,2.988,1.564
0,58,0.1740,thorax,0.0168,1482.00,2.372,5.700,0.000,4.481,4.481,2.109
0,58,0.1740,left_thigh,0.0539,2052.00,-7.139,5.700,0.000,-20.531,-20.531,-13.392
0,58,0.1740,left_foot,0.0279,1710.00,4.291,9.500,0.135,-7.118,-2.337,-5.359
0,59,0.1770,abdomen,0.0075,1482.00,1.357,5.700,-0.024,3.036,3.036,1.680
0,59,0.1770,thorax,0.0163,1482.00,2.325,5.700,0.000,4.554,4.554,2.229
0,59,0.1770,left_thigh,0.0539,2052.00,-7.123,5.700,0.000,-20.906,-20.906,-13.783
0,59,0.1770,left_foot,0.0353,1710.00,5.328,9.500,0.114,-7.241,-0.168,-5.497
0,60,0.1800,abdomen,0.0068,1482.00,1.289,5.700,-0.023,3.085,3.085,1.796
0,60,0.1800,thorax,0.0157,1482.00,2.279,5.700,0.000,4.627,4.627,2.347
0,60,0.1800,left_thigh,0.0535,2052.00,-7.104,5.700,0.000,-21.281,-21.281,-14.177
0,60,0.1800,left_foot,0.0282,1710.00,4.312,9.500,0.133,-7.364,-2.454,-5.627
0,61,0.1830,abdomen,0.0062,1482.00,1.220,5.700,-0.024,3.131,3.131,1.911
0,61,0.1830,thorax,0.0150,1482.00,2.229,5.700,0.000,4.697,4.697,2.468
0,61,0.1830,left_thigh,0.0535,2052.00,-7.087,5.700,0.000,-21.656,-21.656,-14.569
0,61,0.1830,left_foot,0.0365,1710.00,5.483,9.500,0.112,-7.486,-0.283,-5.766
0,62,0.1860,abdomen,0.0057,1482.00,1.149,5.700,-0.023,3.178,3.178,2.029
0,62,0.1860,thorax,0.0147,1482.00,2.180,5.700,0.000,4.767,4.767,2.587
0,62,0.1860,left_thigh,0.0530,2052.00,-7.066,5.700,0.000,-22.031,-22.031,-14.966
0,62,0.1860,left_foot,0.0292,1710.00,4.467,9.500,0.133,-7.607,-2.697,-5.896
0,63,0.1890,abdomen,0.0053,1482.00,1.080,5.700,-0.024,3.225,3.225,2.145
0,63,0.1890,thorax,0.0142,1482.00,2.131,5.700,0.000,4.837,4.837,2.706
0,63,0.1890,left_thigh,0.0530,2052.00,-7.046,5.700,0.000,-22.406,-22.406,-15.361
0,63,0.1890,left_foot,0.0365,1710.00,5.508,9.500,0.107,-7.729,-0.526,-6.034
0,64,0.1920,abdomen,0.0048,1482.00,1.009,5.700,-0.022,3.270,3.270,2.261
0,64,0.1920,thorax,0.0136,1482.00,2.081,5.700,0.000,4.905,4.905,2.824
0,64,0.1920,left_thigh,0.0526,2052.00,-7.023,5.700,0.000,-22.782,-22.782,-15.759
0,64,0.1920,left_foot,0.0295,1710.00,4.492,9.500,0.122,-7.849,-2.938,-6.165
0,65,0.1950,abdomen,0.0044,1482.00,0.938,5.700,-0.023,3.315,3.315,2.377
0,65,0.1950,thorax,0.0129,1482.00,2.028,5.700,0.000,4.971,4.971,2.943
0,65,0.1950,left_thigh,0.0526,2052.00,-7.002,5.700,0.000,-23.157,-23.157,-16.155
0,65,0.1950,left_foot,0.0369,1710.00,5.539,9.500,0.098,-7.968,-0.765,-6.304
0,66,0.1980,abdomen,0.0042,1482.00,0.865,5.700,-0.022,3.359,3.359,2.494
0,66,0.1980,thorax,0.0126,1482.00,1.977,5.700,0.000,5.038,5.038,3.062
0,66,0.1980,left_thigh,0.0522,2052.00,-6.978,5.700,0.000,-23.532,-23.532,-16.554
0,66,0.1980,left_foot,0.0297,1710.00,4.524,9.500,0.116,-8.087,-3.176,-6.435
0,67,0.2010,abdomen,0.0040,1482.00,0.795,5.700,-0.023,3.403,3.403,2.608
0,67,0.2010,thorax,0.0118,1482.00,1.924,5.700,0.000,5.104,5.104,3.180
0,67,0.2010,left_thigh,0.0522,2052.00,-6.956,5.700,0.000,-23.907,-23.907,-16.951
0,67,0.2010,left_foot,0.0372,1710.00,5.571,9.500,0.094,-8.205,-1.002,-6.574
0,68,0.2040,abdomen,0.0041,1482.00,0.720,5.700,-0.022,3.445,3.445,2.725
0,68,0.2040,thorax,0.0113,1482.00,1.870,5.700,0.000,5.167,5.167,3.298
0,68,0.2040,left_thigh,0.0517,2052.00,-6.931,5.700,0.000,-24.282,-24.282,-17.352
0,68,0.2040,left_foot,0.0301,1710.00,4.557,9.500,0.112,-8.322,-3.411,-6.706
0,69,0.2070,abdomen,0.0040,1482.00,0.648,5.700,-0.023,3.488,3.488,2.840
0,69,0.2070,thorax,0.0107,1482.00,1.815,5.700,0.000,5.231,5.231,3.416
0,69,0.2070,left_thigh,0.0517,2052.00,-6.907,5.700,0.000,-24.657,-24.657,-17.750
