tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
16,left_thigh,0.00,-5.63,-5.63,5.59,0.00,5.59,0.000,0.056,0.0,2052.0
16,right_thigh,-0.14,-5.63,-5.63,5.49,0.00,5.49,0.001,0.056,0.0,2052.0
16,abdomen,-1.63,0.81,0.81,2.49,0.00,2.49,0.046,0.027,0.0,1482.0
16,thorax,-1.49,1.21,1.21,2.70,0.00,2.70,0.043,0.030,0.0,1482.0
18,left_foot,-0.60,5.08,-2.18,5.69,7.95,1.58,0.013,0.036,2.7,1710.0
18,right_foot,-0.73,5.08,-2.18,5.81,7.95,1.46,0.016,0.036,2.0,1710.0
18,left_shank,0.49,6.81,6.81,6.32,0.00,6.32,0.003,0.053,4.7,2052.0
18,right_shank,0.71,6.81,6.81,6.10,0.00,6.10,0.005,0.052,0.8,2052.0
18,left_thigh,-0.43,-6.32,-6.32,5.89,0.00,5.89,0.004,0.057,0.0,2052.0
18,right_thigh,-0.52,-6.32,-6.32,5.80,0.00,5.80,0.004,0.056,0.0,2052.0
18,abdomen,-1.59,0.91,0.91,2.56,0.00,2.56,0.046,0.027,0.0,1482.0
18,thorax,-1.43,1.37,1.37,2.80,0.00,2.80,0.041,0.030,0.0,1482.0
20,left_foot,-0.79,3.96,-2.43,4.75,6.39,1.64,0.018,0.030,2.8,1710.0
20,right_foot,-0.91,3.96,-2.43,4.87,6.39,1.52,0.020,0.030,2.1,1710.0
20,left_shank,1.01,7.56,7.56,6.55,0.00,6.55,0.007,0.053,4.8,2052.0
20,right_shank,1.22,7.56,7.56,6.34,0.00,6.34,0.008,0.052,0.9,2052.0
20,left_thigh,-0.87,-7.02,-7.02,6.14,0.00,6.14,0.007,0.057,0.0,2052.0
20,right_thigh,-0.96,-7.02,-7.02,6.05,0.00,6.05,0.008,0.057,0.0,2052.0
20,abdomen,-1.55,1.02,1.02,2.62,0.00,2.62,0.044,0.027,0.0,1482.0
20,thorax,-1.35,1.52,1.52,2.88,0.00,2.88,0.039,0.030,0.0,1482.0
22,left_foot,-1.00,4.10,-2.67,5.11,6.78,1.68,0.022,0.033,2.8,1710.0
22,right_foot,-1.12,4.10,-2.67,5.23,6.78,1.56,0.025,0.033,2.1,1710.0
22,left_shank,1.58,8.32,8.32,6.74,0.00,6.74,0.011,0.052,4.7,2052.0
22,right_shank,1.79,8.32,8.32,6.53,0.00,6.53,0.012,0.051,0.8,2052.0
22,left_thigh,-1.35,-7.72,-7.72,6.36,0.00,6.36,0.011,0.057,0.0,2052.0
22,right_thigh,-1.44,-7.72,-7.72,6.27,0.00,6.27,0.012,0.057,0.0,2052.0
22,abdomen,-1.49,1.12,1.12,2.67,0.00,2.67,0.042,0.027,0.0,1482.0
22,thorax,-1.26,1.68,1.68,2.94,0.00,2.94,0.036,0.030,0.0,1482.0
24,left_foot,-1.22,4.27,-2.92,5.49,7.20,1.71,0.027,0.035,2.9,1710.0
24,right_foot,-1.34,4.27,-2.92,5.61,7.20,1.59,0.030,0.036,2.2,1710.0
24,left_shank,2.19,9.09,9.09,6.90,0.00,6.90,0.015,0.053,4.8,2052.0
24,right_shank,2.40,9.09,9.09,6.69,0.00,6.69,0.017,0.052,0.9,2052.0
24,left_thigh,-1.88,-8.42,-8.42,6.54,0.00,6.54,0.016,0.057,0.0,2052.0
24,right_thigh,-1.97,-8.42,-8.42,6.45,0.00,6.45,0.016,0.057,0.0,2052.0
24,abdomen,-1.41,1.23,1.23,2.69,0.00,2.70,0.040,0.026,0.0,1482.0
24,thorax,-1.15,1.85,1.85,3.00,0.00,3.00,0.033,0.030,0.0,1482.0
26,left_foot,-1.44,4.27,-3.18,5.71,7.58,1.74,0.032,0.037,3.0,1710.0
26,right_foot,-1.56,4.27,-3.18,5.83,7.58,1.62,0.035,0.037,2.2,1710.0
26,left_shank,2.83,9.86,9.86,7.03,0.00,7.03,0.020,0.053,4.8,2052.0
26,right_shank,3.04,9.86,9.86,6.82,0.00,6.82,0.021,0.052,0.9,2052.0
26,left_thigh,-2.44,-9.13,-9.13,6.70,0.00,6.70,0.020,0.057,0.0,2052.0
26,right_thigh,-2.53,-9.13,-9.13,6.60,0.00,6.60,0.021,0.057,0.0,2052.0
26,abdomen,-1.31,1.34,1.34,2.71,0.00,2.71,0.038,0.026,0.0,1482.0
26,thorax,-1.03,2.01,2.01,3.04,0.00,3.04,0.029,0.029,0.0,1482.0
28,left_foot,-1.66,3.08,-3.43,4.75,6.51,1.77,0.037,0.031,3.0,1710.0
28,right_foot,-1.78,3.08,-3.43,4.86,6.51,1.66,0.040,0.031,2.2,1710.0
28,left_shank,3.49,10.63,10.63,7.14,0.00,7.14,0.024,0.053,4.7,2052.0
28,right_shank,3.70,10.63,10.63,6.93,0.00,6.93,0.026,0.052,0.9,2052.0
28,left_thigh,-3.02,-9.85,-9.85,6.82,0.00,6.82,0.025,0.057,0.0,2052.0
28,right_thigh,-3.11,-9.85,-9.85,6.73,0.00,6.73,0.026,0.057,0.0,2052.0
28,abdomen,-1.20,1.45,1.45,2.71,0.00,2.71,0.034,0.025,0.0,1482.0
28,thorax,-0.89,2.17,2.17,3.06,0.00,3.06,0.025,0.029,0.0,1482.0
30,left_foot,-1.89,2.67,-3.68,4.57,5.08,1.80,0.042,0.029,3.1,1710.0
30,right_foot,-2.01,2.67,-3.68,4.68,5.08,1.68,0.045,0.029,2.3,1710.0
30,left_shank,4.19,11.41,11.41,7.22,0.00,7.22,0.029,0.053,4.7,2052.0
30,right_shank,4.40,11.41,11.41,7.01,0.00,7.01,0.030,0.052,0.8,2052.0
30,left_thigh,-3.64,-10.56,-10.56,6.93,0.00,6.93,0.030,0.057,0.0,2052.0
30,right_thigh,-3.73,-10.56,-10.56,6.83,0.00,6.83,0.031,0.057,0.0,2052.0
30,abdomen,-1.08,1.56,1.56,2.69,0.00,2.70,0.031,0.024,0.0,1482.0
30,thorax,-0.74,2.33,2.33,3.07,0.00,3.07,0.021,0.028,0.0,1482.0
32,left_foot,-2.13,2.36,-3.94,4.49,5.02,1.81,0.047,0.029,3.1,1710.0
32,right_foot,-2.25,2.36,-3.94,4.61,5.02,1.70,0.050,0.029,2.4,1710.0
32,left_shank,4.91,12.19,12.19,7.29,0.00,7.29,0.034,0.053,4.7,2052.0
32,right_shank,5.12,12.19,12.19,7.08,0.00,7.08,0.035,0.052,0.8,2052.0
32,left_thigh,-4.27,-11.28,-11.28,7.01,0.00,7.01,0.036,0.057,0.0,2052.0
32,right_thigh,-4.37,-11.28,-11.28,6.92,0.00,6.92,0.036,0.057,0.0,2052.0
32,abdomen,-0.94,1.67,1.67,2.66,0.00,2.66,0.027,0.023,0.0,1482.0
32,thorax,-0.57,2.50,2.50,3.07,0.00,3.07,0.016,0.028,0.0,1482.0
34,left_foot,-2.37,2.10,-4.19,4.48,5.02,1.83,0.053,0.028,3.1,1710.0
34,right_foot,-2.49,2.10,-4.19,4.59,5.02,1.71,0.055,0.029,2.4,1710.0
34,left_shank,5.64,12.98,12.98,7.34,0.00,7.34,0.039,0.053,4.8,2052.0
34,right_shank,5.86,12.98,12.98,7.12,0.00,7.12,0.040,0.052,0.8,2052.0
