load_kg,phase,hold_tick,posture_scale,limit_scale,posture_guard_scale,raw_ankle_deg,guarded_ankle_deg,applied_ankle_deg,raw_authority_fraction,guarded_authority_fraction,hip_blend_actual,hip_blend_from_raw,hip_offset_deg,trunk_offset_deg,posture_error_rad,posture_error_rate,limit_prox,limit_driver,com_ap,com_ref_ap,cop_desired,cop_measured,contacts
0,1.00,50,1.0000,0.0000,0.0000,20.611,0.000,0.000,1.3741,0.0000,0.0000,1.0000,0.000,0.000,0.18092,-0.02229,0.9534,left_thigh,-0.1417,-0.1172,-0.1247,-0.1431,8
0,1.00,60,1.0000,0.0000,0.0000,21.257,0.000,0.000,1.4171,0.0000,0.0000,1.0000,0.000,0.000,0.17987,-0.00199,0.9531,left_thigh,-0.1430,-0.1172,-0.1247,-0.1437,8
0,1.00,70,0.9711,0.0000,0.0000,21.875,0.000,0.000,1.4583,0.0000,0.0000,1.0000,0.000,0.000,0.18015,0.00504,0.9531,left_thigh,-0.1442,-0.1172,-0.1247,-0.1442,8
0,1.00,80,0.9796,0.0000,0.0000,22.605,0.000,0.000,1.5070,0.0000,0.0000,1.0000,0.000,0.000,0.18061,0.00357,0.9531,left_thigh,-0.1453,-0.1172,-0.1247,-0.1449,8
0,1.00,90,0.9962,0.0000,0.0000,23.397,0.000,0.000,1.5598,0.0000,0.0000,1.0000,0.000,0.000,0.18081,0.00066,0.9530,left_thigh,-0.1463,-0.1172,-0.1247,-0.1456,8
0,1.00,100,1.0000,0.0000,0.0000,24.208,0.000,0.000,1.6138,0.0000,0.0000,1.0000,0.000,0.000,0.18079,-0.00079,0.9529,left_thigh,-0.1472,-0.1172,-0.1247,-0.1463,8
0,1.00,110,1.0000,0.0000,0.0000,25.042,0.000,0.000,1.6694,0.0000,0.0000,1.0000,0.000,0.000,0.18072,-0.00053,0.9528,left_thigh,-0.1482,-0.1172,-0.1247,-0.1471,8
0,1.00,120,0.9992,0.0000,0.0000,25.929,0.000,0.000,1.7286,0.0000,0.0000,1.0000,0.000,0.000,0.18071,0.00013,0.9527,left_thigh,-0.1492,-0.1172,-0.1247,-0.1479,8
0,1.00,130,0.9947,0.0000,0.0000,26.897,0.000,0.000,1.7931,0.0000,0.0000,1.0000,0.000,0.000,0.18077,0.00092,0.9526,left_thigh,-0.1503,-0.1172,-0.1247,-0.1487,8
0,1.00,140,0.9902,0.0000,0.0000,27.973,0.000,0.000,1.8649,0.0000,0.0000,1.0000,0.000,0.000,0.18091,0.00172,0.9525,left_thigh,-0.1514,-0.1172,-0.1247,-0.1497,8
