tick,hip_target_deg,hip_actual_deg,hip_track_err_deg,hip_limit_prox,hip_demand,thigh_abdomen_contact,thigh_abdomen_impulse,knee_actual_deg,pelvis_y
53,-19.03,-12.02,7.02,0.100,0.054,0,0.000,13.63,0.9689
54,-19.41,-12.41,7.00,0.103,0.053,0,0.000,14.06,0.9683
55,-19.78,-12.80,6.98,0.107,0.054,0,0.000,14.50,0.9678
56,-20.16,-13.19,6.96,0.110,0.053,0,0.000,14.93,0.9672
57,-20.53,-13.58,6.95,0.113,0.053,0,0.000,15.37,0.9666
58,-20.91,-13.98,6.93,0.116,0.053,0,0.000,15.80,0.9660
59,-21.28,-14.37,6.91,0.120,0.053,0,0.000,16.25,0.9653
60,-21.66,-14.77,6.89,0.123,0.052,0,0.000,16.69,0.9647
61,-22.03,-15.17,6.87,0.126,0.052,0,0.000,17.13,0.9640
62,-22.41,-15.57,6.84,0.130,0.052,0,0.000,17.57,0.9633
63,-22.78,-15.96,6.82,0.133,0.052,0,0.000,18.01,0.9627
64,-23.16,-16.37,6.79,0.136,0.051,0,0.000,18.46,0.9619
65,-23.53,-16.76,6.77,0.140,0.051,0,0.000,18.90,0.9612
66,-23.91,-17.17,6.74,0.143,0.051,0,0.000,19.35,0.9605
67,-24.28,-17.57,6.71,0.146,0.051,0,0.000,19.79,0.9597
68,-24.66,-17.97,6.68,0.150,0.050,0,0.000,20.24,0.9590
69,-25.03,-18.37,6.66,0.153,0.050,0,0.000,20.69,0.9582
70,-25.41,-18.78,6.63,0.156,0.050,0,0.000,21.13,0.9574
71,-25.78,-19.18,6.60,0.160,0.050,0,0.000,21.58,0.9566
72,-26.16,-19.59,6.57,0.163,0.049,0,0.000,22.03,0.9557
73,-26.53,-19.99,6.54,0.167,0.049,0,0.000,22.47,0.9549
74,-26.90,-20.40,6.50,0.170,0.049,0,0.000,22.92,0.9540
75,-27.28,-20.80,6.47,0.173,0.049,0,0.000,23.37,0.9532
76,-27.65,-21.21,6.44,0.177,0.048,0,0.000,23.81,0.9523
77,-28.02,-21.62,6.41,0.180,0.048,0,0.000,24.26,0.9514
78,-28.39,-22.02,6.37,0.184,0.047,0,0.000,24.71,0.9505
79,-28.76,-22.43,6.34,0.187,0.047,0,0.000,25.15,0.9496
80,-29.14,-22.84,6.30,0.190,0.047,0,0.000,25.60,0.9486
81,-29.51,-23.24,6.26,0.194,0.047,0,0.000,26.05,0.9477
82,-29.88,-23.65,6.22,0.197,0.046,0,0.000,26.49,0.9467
83,-30.25,-24.06,6.20,0.200,0.047,0,0.000,26.93,0.9457
84,-30.63,-24.46,6.18,0.204,0.047,0,0.000,27.37,0.9447
85,-31.01,-24.86,6.16,0.207,0.047,0,0.000,27.81,0.9438
86,-31.40,-25.26,6.14,0.210,0.048,0,0.000,28.24,0.9428
87,-31.80,-25.64,6.16,0.214,0.050,0,0.000,28.67,0.9418
88,-32.20,-26.04,6.16,0.217,0.049,0,0.000,29.09,0.9408
89,-32.60,-26.43,6.17,0.220,0.051,0,0.000,29.52,0.9398
90,-33.02,-26.81,6.21,0.223,0.052,0,0.000,29.93,0.9388
91,-33.44,-27.20,6.25,0.227,0.052,0,0.000,30.35,0.9378
92,-33.86,-27.59,6.27,0.230,0.052,0,0.000,30.76,0.9368
93,-34.29,-27.98,6.31,0.233,0.053,0,0.000,31.18,0.9358
94,-34.73,-28.37,6.36,0.236,0.054,0,0.000,31.59,0.9347
95,-35.16,-28.76,6.41,0.240,0.054,0,0.000,32.01,0.9336
96,-35.60,-29.15,6.45,0.243,0.055,0,0.000,32.43,0.9325
97,-36.06,-29.54,6.52,0.246,0.056,0,0.000,32.85,0.9314
98,-36.51,-29.94,6.57,0.249,0.056,0,0.000,33.28,0.9303
99,-36.96,-30.34,6.62,0.253,0.057,0,0.000,33.71,0.9291
100,-37.43,-30.74,6.68,0.256,0.058,0,0.000,34.13,0.9280
101,-37.89,-31.15,6.75,0.260,0.058,0,0.000,34.56,0.9268
102,-38.36,-31.56,6.80,0.263,0.058,0,0.000,35.00,0.9256
103,-38.83,-31.98,6.86,0.266,0.059,0,0.000,35.44,0.9244
104,-39.31,-32.39,6.92,0.270,0.059,0,0.000,35.87,0.9231
105,-39.79,-32.81,6.98,0.273,0.059,0,0.000,36.32,0.9219
106,-40.27,-33.24,7.03,0.277,0.060,0,0.000,36.77,0.9206
107,-40.76,-33.67,7.10,0.281,0.061,0,0.000,37.22,0.9192
108,-41.25,-34.10,7.15,0.284,0.060,0,0.000,37.67,0.9179
109,-41.74,-34.54,7.20,0.288,0.061,0,0.000,38.13,0.9165
110,-42.24,-34.99,7.26,0.292,0.061,0,0.000,38.59,0.9151
111,-42.74,-35.43,7.31,0.295,0.062,0,0.000,39.06,0.9137
112,-43.24,-35.88,7.37,0.299,0.062,0,0.000,39.53,0.9122
113,-43.75,-36.34,7.41,0.303,0.062,0,0.000,40.01,0.9108
114,-44.26,-36.80,7.46,0.307,0.062,0,0.000,40.48,0.9093
115,-44.76,-37.27,7.50,0.311,0.062,0,0.000,40.96,0.9077
116,-45.28,-37.74,7.54,0.314,0.063,0,0.000,41.45,0.9061
117,-45.79,-38.21,7.58,0.318,0.063,0,0.000,41.94,0.9046
118,-46.30,-38.69,7.62,0.322,0.062,0,0.000,42.43,0.9029
119,-46.82,-39.17,7.65,0.326,0.063,0,0.000,42.92,0.9013
120,-47.34,-39.66,7.68,0.330,0.063,0,0.000,43.43,0.8996
121,-47.86,-40.15,7.71,0.335,0.063,0,0.000,43.93,0.8979
122,-48.38,-40.64,7.74,0.339,0.063,0,0.000,44.44,0.8961
123,-48.90,-41.14,7.76,0.343,0.062,0,0.000,44.95,0.8943
124,-49.42,-41.64,7.79,0.347,0.063,0,0.000,45.47,0.8925
125,-49.95,-42.15,7.80,0.351,0.062,0,0.000,45.99,0.8907
126,-50.47,-42.66,7.82,0.355,0.063,0,0.000,46.51,0.8888
127,-51.00,-43.17,7.83,0.360,0.062,0,0.000,47.03,0.8869
128,-51.52,-43.68,7.84,0.364,0.063,0,0.000,47.56,0.8850
129,-52.05,-44.20,7.85,0.368,0.062,0,0.000,48.09,0.8831
130,-52.58,-44.72,7.86,0.373,0.062,0,0.000,48.61,0.8811
131,-53.10,-45.25,7.86,0.377,0.062,0,0.000,49.15,0.8791
132,-53.63,-45.77,7.86,0.381,0.062,0,0.000,49.68,0.8770
133,-54.15,-46.30,7.86,0.386,0.061,0,0.000,50.23,0.8750
134,-54.68,-46.83,7.85,0.390,0.061,0,0.000,50.77,0.8729
135,-55.21,-47.37,7.84,0.395,0.060,0,0.000,51.32,0.8708
136,-55.73,-47.91,7.83,0.399,0.060,0,0.000,51.86,0.8686
137,-56.25,-48.45,7.81,0.404,0.060,0,0.000,52.41,0.8665
138,-56.78,-48.99,7.79,0.408,0.060,0,0.000,52.96,0.8642
139,-57.30,-49.52,7.78,0.413,0.060,0,0.000,53.51,0.8620
140,-57.82,-50.07,7.75,0.417,0.059,0,0.000,54.06,0.8598
141,-58.34,-50.61,7.73,0.422,0.059,0,0.000,54.62,0.8575
142,-58.86,-51.16,7.70,0.426,0.058,0,0.000,55.18,0.8552
143,-59.38,-51.71,7.67,0.431,0.058,0,0.000,55.73,0.8529
144,-59.89,-52.27,7.63,0.436,0.057,0,0.000,56.29,0.8505
145,-60.40,-52.81,7.59,0.440,0.057,0,0.000,56.85,0.8481
146,-60.92,-53.37,7.55,0.445,0.056,0,0.000,57.41,0.8457
147,-61.42,-53.92,7.51,0.449,0.056,0,0.000,57.96,0.8433
148,-61.93,-54.47,7.46,0.454,0.055,0,0.000,58.52,0.8408
149,-62.44,-55.02,7.42,0.459,0.055,0,0.000,59.08,0.8384
150,-62.94,-55.58,7.37,0.463,0.054,0,0.000,59.65,0.8359
151,-63.44,-56.13,7.31,0.468,0.053,0,0.000,60.21,0.8334
152,-63.94,-56.69,7.25,0.472,0.052,0,0.000,60.77,0.8308
153,-64.43,-57.24,7.19,0.477,0.052,0,0.000,61.33,0.8283
154,-64.92,-57.80,7.12,0.482,0.050,0,0.000,61.90,0.8257
155,-65.41,-58.35,7.06,0.486,0.051,0,0.000,62.46,0.8232
156,-65.89,-58.91,6.99,0.491,0.049,0,0.000,63.01,0.8206
157,-66.37,-59.46,6.91,0.496,0.049,0,0.000,63.57,0.8180
158,-66.85,-60.00,6.85,0.500,0.049,0,0.000,64.12,0.8153
159,-67.33,-60.56,6.77,0.505,0.048,0,0.000,64.68,0.8127
160,-67.79,-61.10,6.69,0.509,0.047,0,0.000,65.24,0.8100
161,-68.26,-61.66,6.60,0.514,0.045,0,0.000,65.80,0.8074
162,-68.72,-62.20,6.52,0.518,0.045,0,0.000,66.35,0.8047
163,-69.18,-62.75,6.43,0.523,0.043,0,0.000,66.90,0.8020
164,-69.63,-63.30,6.34,0.527,0.043,0,0.000,67.45,0.7993
165,-70.08,-63.84,6.24,0.532,0.042,0,0.000,68.00,0.7966
166,-70.52,-64.38,6.15,0.537,0.041,0,0.000,68.54,0.7939
167,-70.96,-64.92,6.04,0.541,0.039,0,0.000,69.08,0.7912
168,-71.39,-65.46,5.94,0.545,0.039,0,0.000,69.62,0.7885
169,-71.83,-65.99,5.84,0.550,0.038,0,0.000,70.16,0.7857
170,-72.25,-66.52,5.73,0.554,0.037,0,0.000,70.69,0.7830
171,-72.66,-67.06,5.61,0.559,0.035,0,0.000,71.24,0.7803
172,-73.08,-67.58,5.51,0.563,0.035,0,0.000,71.76,0.7775
173,-73.49,-68.11,5.39,0.568,0.033,0,0.000,72.29,0.7748
174,-73.88,-68.63,5.26,0.572,0.032,0,0.000,72.82,0.7721
175,-74.28,-69.15,5.14,0.576,0.031,0,0.000,73.34,0.7693
176,-74.68,-69.66,5.02,0.581,0.030,0,0.000,73.85,0.7666
177,-75.05,-70.18,4.89,0.585,0.028,0,0.000,74.37,0.7639
178,-75.43,-70.68,4.76,0.589,0.028,0,0.000,74.88,0.7611
179,-75.81,-71.19,4.63,0.593,0.027,0,0.000,75.39,0.7584
180,-76.17,-71.69,4.49,0.597,0.025,0,0.000,75.88,0.7557
181,-76.52,-72.19,4.35,0.602,0.023,0,0.000,76.39,0.7530
182,-76.88,-72.67,4.22,0.606,0.024,0,0.000,76.88,0.7503
183,-77.20,-73.16,4.05,0.610,0.018,0,0.000,77.37,0.7476
184,-77.49,-73.67,3.83,0.614,0.014,0,0.000,77.87,0.7449
185,-77.78,-74.17,3.62,0.618,0.013,0,0.000,78.37,0.7421
186,-78.05,-74.66,3.40,0.622,0.006,0,0.000,78.85,0.7393
187,-78.25,-75.19,3.08,0.627,0.003,0,0.000,79.37,0.7365
188,-78.46,-75.69,2.78,0.631,0.003,0,0.000,79.86,0.7337
189,-78.66,-76.19,2.49,0.635,0.008,0,0.000,80.36,0.7308
190,-78.80,-76.70,2.12,0.639,0.012,0,0.000,80.87,0.7280
191,-78.93,-77.20,1.76,0.643,0.014,0,0.000,81.37,0.7251
192,-79.07,-77.67,1.43,0.647,0.014,0,0.000,81.85,0.7223
193,-79.17,-78.13,1.09,0.651,0.019,0,0.000,82.34,0.7195
194,-79.26,-78.58,0.74,0.655,0.022,0,0.000,82.82,0.7167
195,-79.35,-79.03,0.45,0.659,0.023,0,0.000,83.29,0.7141
196,-79.43,-79.44,0.30,0.662,0.026,0,0.000,83.73,0.7115
197,-79.50,-79.85,0.47,0.665,0.028,0,0.000,84.17,0.7090
198,-79.56,-80.24,0.74,0.669,0.029,0,0.000,84.59,0.7066
199,-79.62,-80.60,1.03,0.672,0.030,0,0.000,84.99,0.7043
200,-79.68,-80.95,1.31,0.675,0.031,0,0.000,85.37,0.7021
201,-79.74,-81.28,1.57,0.677,0.031,0,0.000,85.73,0.7001
202,-79.80,-81.59,1.81,0.680,0.032,0,0.000,86.07,0.6982
203,-79.87,-81.87,2.03,0.682,0.031,0,0.000,86.38,0.6964
204,-79.94,-82.13,2.22,0.684,0.030,0,0.000,86.68,0.6947
205,-80.02,-82.38,2.38,0.686,0.030,0,0.000,86.95,0.6932
206,-80.10,-82.60,2.52,0.688,0.027,0,0.000,87.20,0.6918
207,-80.21,-82.80,2.60,0.690,0.025,0,0.000,87.43,0.6906
208,-80.32,-82.99,2.68,0.692,0.025,0,0.000,87.64,0.6895
209,-80.44,-83.17,2.75,0.693,0.021,0,0.000,87.83,0.6886
210,-80.61,-83.29,2.71,0.694,0.016,0,0.000,87.97,0.6878
211,-80.77,-83.43,2.67,0.695,0.016,0,0.000,88.12,0.6872
212,-80.94,-83.56,2.64,0.696,0.016,0,0.000,88.24,0.6867
213,-81.14,-83.70,2.57,0.697,0.012,0,0.000,88.35,0.6863
214,-81.36,-83.80,2.46,0.698,0.009,0,0.000,88.42,0.6860
215,-81.58,-83.91,2.36,0.699,0.009,0,0.000,88.48,0.6858
216,-81.80,-84.03,2.25,0.700,0.007,0,0.000,88.53,0.6856
217,-82.04,-84.12,2.11,0.701,0.005,0,0.000,88.56,0.6855
218,-82.28,-84.21,1.96,0.702,0.004,0,0.000,88.58,0.6854
219,-82.52,-84.30,1.82,0.703,0.003,0,0.000,88.61,0.6852
220,-82.78,-84.39,1.65,0.703,0.004,0,0.000,88.63,0.6850
221,-83.04,-84.50,1.50,0.704,0.003,0,0.000,88.68,0.6847
222,-83.29,-84.60,1.36,0.705,0.004,0,0.000,88.73,0.6844
223,-83.56,-84.73,1.22,0.706,0.005,0,0.000,88.79,0.6840
224,-83.84,-84.84,1.06,0.707,0.006,0,0.000,88.85,0.6835
225,-84.11,-84.97,0.92,0.708,0.006,0,0.000,88.94,0.6830
226,-84.39,-85.10,0.79,0.709,0.008,0,0.000,89.03,0.6824
227,-84.68,-85.23,0.64,0.710,0.010,0,0.000,89.14,0.6817
228,-84.97,-85.37,0.52,0.711,0.009,0,0.000,89.26,0.6809
229,-85.26,-85.52,0.42,0.713,0.011,0,0.000,89.39,0.6801
230,-85.56,-85.67,0.35,0.714,0.012,0,0.000,89.53,0.6792
231,-85.86,-85.83,0.33,0.715,0.012,0,0.000,89.69,0.6782
232,-86.16,-86.00,0.36,0.717,0.013,0,0.000,89.86,0.6771
233,-86.46,-86.18,0.43,0.718,0.013,0,0.000,90.05,0.6759
234,-86.77,-86.36,0.52,0.720,0.014,0,0.000,90.24,0.6746
235,-87.08,-86.55,0.62,0.721,0.014,0,0.000,90.46,0.6733
236,-87.39,-86.75,0.71,0.723,0.015,0,0.000,90.68,0.6719
237,-87.70,-86.96,0.81,0.725,0.015,0,0.000,90.91,0.6704
238,-88.02,-87.16,0.91,0.726,0.016,0,0.000,91.15,0.6689
239,-88.33,-87.39,0.99,0.728,0.015,0,0.000,91.41,0.6673
240,-88.65,-87.61,1.08,0.730,0.016,0,0.000,91.67,0.6656
241,-88.97,-87.85,1.16,0.732,0.016,0,0.000,91.94,0.6639
242,-89.28,-88.09,1.24,0.734,0.016,0,0.000,92.22,0.6621
243,-89.60,-88.34,1.30,0.736,0.016,0,0.000,92.52,0.6602
244,-89.92,-88.59,1.36,0.738,0.017,0,0.000,92.81,0.6583
245,-90.24,-88.86,1.42,0.740,0.016,0,0.000,93.12,0.6563
246,-90.56,-89.12,1.47,0.743,0.016,0,0.000,93.43,0.6543
247,-90.87,-89.40,1.51,0.745,0.016,0,0.000,93.76,0.6523
248,-91.19,-89.67,1.55,0.747,0.016,0,0.000,94.08,0.6502
249,-91.51,-89.96,1.58,0.750,0.015,0,0.000,94.42,0.6480
250,-91.82,-90.24,1.60,0.752,0.015,0,0.000,94.75,0.6459
251,-92.13,-90.54,1.62,0.755,0.014,0,0.000,95.10,0.6436
252,-92.45,-90.84,1.63,0.757,0.015,0,0.000,95.44,0.6414
253,-92.75,-91.14,1.64,0.760,0.014,0,0.000,95.79,0.6391
254,-93.06,-91.45,1.64,0.762,0.014,0,0.000,96.14,0.6368
255,-93.36,-91.76,1.63,0.765,0.013,0,0.000,96.50,0.6345
256,-93.67,-92.07,1.62,0.767,0.013,0,0.000,96.86,0.6321
257,-93.96,-92.39,1.60,0.770,0.011,0,0.000,97.23,0.6297
258,-94.26,-92.71,1.57,0.773,0.012,0,0.000,97.59,0.6273
259,-94.55,-93.03,1.55,0.775,0.010,0,0.000,97.96,0.6249
260,-94.84,-93.36,1.51,0.778,0.010,0,0.000,98.32,0.6225
261,-95.12,-93.69,1.46,0.781,0.009,0,0.000,98.70,0.6200
262,-95.40,-94.01,1.42,0.783,0.009,0,0.000,99.06,0.6176
263,-95.68,-94.34,1.37,0.786,0.007,0,0.000,99.44,0.6151
264,-95.95,-94.67,1.31,0.789,0.007,0,0.000,99.81,0.6126
265,-96.21,-95.01,1.24,0.792,0.006,0,0.000,100.18,0.6102
266,-96.48,-95.33,1.18,0.794,0.005,0,0.000,100.55,0.6077
267,-96.73,-95.67,1.10,0.797,0.004,0,0.000,100.93,0.6052
268,-96.98,-96.00,1.02,0.800,0.004,0,0.000,101.29,0.6027
269,-97.23,-96.33,0.95,0.803,0.003,0,0.000,101.66,0.6002
270,-97.46,-96.66,0.85,0.806,0.003,0,0.000,102.03,0.5978
271,-97.69,-97.00,0.75,0.808,0.003,0,0.000,102.40,0.5953
272,-97.92,-97.32,0.67,0.811,0.003,0,0.000,102.76,0.5928
273,-98.15,-97.64,0.58,0.814,0.004,0,0.000,103.12,0.5904
274,-98.37,-97.96,0.50,0.816,0.004,0,0.000,103.48,0.5880
275,-98.59,-98.28,0.43,0.819,0.005,0,0.000,103.84,0.5856
276,-98.81,-98.59,0.37,0.822,0.005,0,0.000,104.19,0.5833
277,-99.03,-98.89,0.33,0.824,0.005,0,0.000,104.53,0.5809
278,-99.26,-99.19,0.30,0.827,0.005,0,0.000,104.87,0.5787
279,-99.48,-99.48,0.30,0.829,0.005,0,0.000,105.20,0.5765
280,-99.70,-99.77,0.31,0.831,0.005,0,0.000,105.52,0.5743
281,-99.93,-100.05,0.33,0.834,0.005,0,0.000,105.84,0.5722
282,-100.15,-100.33,0.35,0.836,0.005,0,0.000,106.15,0.5701
283,-100.38,-100.60,0.38,0.838,0.005,0,0.000,106.46,0.5680
284,-100.60,-100.87,0.41,0.841,0.005,0,0.000,106.76,0.5660
285,-100.83,-101.14,0.43,0.843,0.005,0,0.000,107.05,0.5641
286,-101.05,-101.40,0.46,0.845,0.005,0,0.000,107.34,0.5622
287,-101.28,-101.65,0.48,0.847,0.005,0,0.000,107.62,0.5603
288,-101.50,-101.90,0.50,0.849,0.005,0,0.000,107.90,0.5584
289,-101.73,-102.15,0.52,0.851,0.005,0,0.000,108.18,0.5566
290,-101.95,-102.39,0.53,0.853,0.005,0,0.000,108.45,0.5549
291,-102.18,-102.63,0.54,0.855,0.005,0,0.000,108.72,0.5531
292,-102.40,-102.87,0.55,0.857,0.005,0,0.000,108.98,0.5514
293,-102.63,-103.11,0.57,0.859,0.005,0,0.000,109.24,0.5497
294,-102.85,-103.35,0.57,0.861,0.004,0,0.000,109.50,0.5480
295,-103.08,-103.58,0.58,0.863,0.004,0,0.000,109.76,0.5464
296,-103.30,-103.81,0.58,0.865,0.004,0,0.000,110.01,0.5448
297,-103.53,-104.04,0.59,0.867,0.004,0,0.000,110.27,0.5432
298,-103.75,-104.27,0.60,0.869,0.004,0,0.000,110.52,0.5416
299,-103.98,-104.50,0.60,0.871,0.004,0,0.000,110.77,0.5401
300,-104.20,-104.72,0.60,0.873,0.004,0,0.000,111.01,0.5385
301,-104.42,-104.95,0.60,0.875,0.004,0,0.000,111.26,0.5370
302,-104.65,-105.17,0.60,0.876,0.004,0,0.000,111.50,0.5355
303,-104.87,-105.40,0.61,0.878,0.004,0,0.000,111.75,0.5340
304,-105.09,-105.62,0.61,0.880,0.004,0,0.000,111.99,0.5325
305,-105.31,-105.84,0.61,0.882,0.004,0,0.000,112.23,0.5311
306,-105.53,-106.07,0.61,0.884,0.004,0,0.000,112.47,0.5296
307,-105.75,-106.29,0.62,0.886,0.004,0,0.000,112.71,0.5281
308,-105.97,-106.51,0.62,0.888,0.004,0,0.000,112.95,0.5267
309,-106.19,-106.74,0.62,0.889,0.005,0,0.000,113.19,0.5252
310,-106.41,-106.96,0.63,0.891,0.005,0,0.000,113.43,0.5238
311,-106.62,-107.19,0.64,0.893,0.005,0,0.000,113.67,0.5223
312,-106.84,-107.41,0.64,0.895,0.005,0,0.000,113.90,0.5209
313,-107.06,-107.64,0.65,0.897,0.005,0,0.000,114.14,0.5195
314,-107.27,-107.86,0.66,0.899,0.005,0,0.000,114.38,0.5180
315,-107.48,-108.09,0.67,0.901,0.005,0,0.000,114.62,0.5166
316,-107.70,-108.31,0.68,0.903,0.006,0,0.000,114.86,0.5152
317,-107.91,-108.54,0.70,0.905,0.006,0,0.000,115.10,0.5138
318,-108.12,-108.77,0.72,0.906,0.006,0,0.000,115.33,0.5124
319,-108.33,-109.00,0.73,0.908,0.006,0,0.000,115.57,0.5110
320,-108.54,-109.22,0.75,0.910,0.007,0,0.000,115.81,0.5096
321,-108.74,-109.45,0.77,0.912,0.007,0,0.000,116.05,0.5082
322,-108.95,-109.68,0.79,0.914,0.007,0,0.000,116.28,0.5068
323,-109.15,-109.91,0.81,0.916,0.007,0,0.000,116.52,0.5054
324,-109.36,-110.14,0.84,0.918,0.008,0,0.000,116.75,0.5040
325,-109.56,-110.37,0.86,0.920,0.008,0,0.000,116.99,0.5026
326,-109.76,-110.59,0.88,0.922,0.008,0,0.000,117.22,0.5013
327,-109.96,-110.82,0.91,0.924,0.009,0,0.000,117.46,0.4999
328,-110.16,-111.05,0.94,0.925,0.009,0,0.000,117.69,0.4986
329,-110.36,-111.28,0.97,0.927,0.009,0,0.000,117.92,0.4972
330,-110.55,-111.51,1.01,0.929,0.010,0,0.000,118.15,0.4959
331,-110.74,-111.74,1.04,0.931,0.010,0,0.000,118.38,0.4946
332,-111.00,-111.97,1.01,0.933,0.010,0,0.000,118.61,0.4933
333,-111.00,-112.20,1.23,0.935,0.026,0,0.000,118.84,0.4918
334,-111.00,-112.53,1.56,0.938,0.037,0,0.000,119.12,0.4903
335,-111.00,-112.85,1.88,0.940,0.038,0,0.000,119.39,0.4886
336,-111.00,-113.15,2.17,0.943,0.039,0,0.000,119.65,0.4869
337,-111.00,-113.44,2.45,0.945,0.040,0,0.000,119.93,0.4852
338,-111.00,-113.71,2.72,0.948,0.041,0,0.000,120.21,0.4835
339,-111.00,-113.96,2.98,0.950,0.042,0,0.000,120.49,0.4818
340,-111.00,-114.20,3.22,0.952,0.043,0,0.000,120.76,0.4802
341,-111.00,-114.43,3.44,0.954,0.043,0,0.000,121.03,0.4787
342,-111.00,-114.65,3.66,0.955,0.044,0,0.000,121.28,0.4773
343,-111.00,-114.85,3.86,0.957,0.045,0,0.000,121.53,0.4760
344,-111.00,-115.04,4.05,0.959,0.045,0,0.000,121.75,0.4749
345,-111.00,-115.22,4.23,0.960,0.046,0,0.000,121.97,0.4738
346,-111.00,-115.39,4.40,0.962,0.046,0,0.000,122.16,0.4729
347,-111.00,-115.54,4.55,0.963,0.046,0,0.000,122.34,0.4721
348,-111.00,-115.69,4.70,0.964,0.047,0,0.000,122.50,0.4715
349,-111.00,-115.83,4.84,0.965,0.047,0,0.000,122.64,0.4710
350,-111.00,-115.95,4.96,0.966,0.047,0,0.000,122.77,0.4706
351,-111.00,-116.07,5.08,0.967,0.047,0,0.000,122.87,0.4703
352,-111.00,-116.18,5.18,0.968,0.048,0,0.000,122.97,0.4702
353,-111.00,-116.27,5.28,0.969,0.048,0,0.000,123.04,0.4701
