load_kg,config,phase,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,guarded_authority,hip_blend,com_ap,cop_desired,cop_measured,support_min,support_max,com_speed,contacts,held,reason
0,G1,1.00,0.9638,0.9692,0.5894,9.572,5.636,0.6381,0.6150,0.0000,-0.02760,-0.02217,-0.03071,-0.15472,0.13528,0.00095,8,1,HELD
0,G1,1.00,1.0000,0.9692,0.5893,3.129,3.345,0.2086,0.2086,0.0000,-0.02748,-0.02212,-0.02491,-0.15472,0.13528,0.00064,8,1,HELD
0,G1,1.00,0.9638,0.9692,0.5899,9.662,5.636,0.6441,0.6208,0.0000,-0.02740,-0.02197,-0.03059,-0.15472,0.13528,0.00059,8,1,HELD
0,G1,1.00,0.9621,0.9692,0.5900,9.697,5.636,0.6465,0.6220,0.0000,-0.02734,-0.02191,-0.03056,-0.15472,0.13528,0.00053,8,1,HELD
0,G2,0.55,0.6481,0.6097,0.1601,0.294,1.889,0.0196,0.0127,0.0000,-0.02941,-0.02593,-0.02619,-0.15472,0.13528,0.00096,8,1,HELD
0,G2,0.55,0.2748,0.6805,0.2173,34.138,9.381,2.2758,0.6254,0.0000,-0.02742,0.00897,-0.02149,-0.15472,0.13528,0.03129,8,1,HELD
0,G2,0.55,0.7847,0.6854,0.2153,4.453,4.450,0.2969,0.2330,0.0000,-0.02472,-0.01179,-0.01577,-0.15472,0.13528,0.00189,8,1,HELD
0,G2,0.55,0.8000,0.6831,0.2000,9.308,5.295,0.6205,0.4964,0.0000,-0.02581,-0.02171,-0.03001,-0.15472,0.13528,0.00623,8,1,HELD
0,G2,0.55,0.8034,0.6826,0.1966,-0.796,2.518,0.0531,0.0426,0.0000,-0.02736,-0.02593,-0.02522,-0.15472,0.13528,0.00619,8,1,HELD
0,G2,0.55,0.8032,0.6825,0.1968,5.851,4.257,0.3901,0.3133,0.0000,-0.02868,-0.02740,-0.03263,-0.15472,0.13528,0.00389,8,1,HELD
0,G2,0.55,0.8037,0.6825,0.1963,-1.391,1.918,0.0928,0.0746,0.0000,-0.02954,-0.02857,-0.02733,-0.15472,0.13528,0.00300,8,1,HELD
0,G2,0.55,0.8040,0.6825,0.1960,5.243,4.176,0.3496,0.2810,0.0000,-0.03014,-0.02908,-0.03375,-0.15472,0.13528,0.00188,8,1,HELD
0,G2,0.55,0.8043,0.6824,0.1957,-1.421,1.862,0.0947,0.0762,0.0000,-0.03051,-0.02933,-0.02806,-0.15472,0.13528,0.00091,8,1,HELD
0,G2,0.55,0.8043,0.6824,0.1957,5.338,4.154,0.3559,0.2862,0.0000,-0.03072,-0.02937,-0.03414,-0.15472,0.13528,0.00064,8,1,HELD
0,G2,0.55,0.8043,0.6824,0.1957,5.264,4.154,0.3509,0.2822,0.0000,-0.03085,-0.02950,-0.03420,-0.15472,0.13528,0.00048,8,1,HELD
0,G2,0.80,0.6858,0.7945,0.1961,7.931,3.244,0.5288,0.3626,0.0000,-0.02681,-0.02644,-0.03352,-0.15472,0.13528,0.00914,8,1,HELD
0,G2,0.80,0.2337,0.8457,0.2338,61.454,4.584,4.0969,0.9574,0.7161,-0.02585,0.00892,-0.04590,-0.15472,0.13528,0.03400,8,1,HELD
0,G2,0.80,0.7704,0.8484,0.2296,5.176,4.592,0.3450,0.2658,0.0000,-0.02253,-0.01356,-0.01817,-0.15472,0.13528,0.00491,8,1,HELD
0,G2,0.80,0.7734,0.8479,0.2266,1.018,2.785,0.0678,0.0525,0.0000,-0.02443,-0.02115,-0.02205,-0.15472,0.13528,0.00836,8,1,HELD
0,G2,0.80,0.7754,0.8475,0.2246,6.637,3.673,0.4425,0.3431,0.0000,-0.02659,-0.02522,-0.03114,-0.15472,0.13528,0.00710,8,1,HELD
0,G2,0.80,0.7768,0.8472,0.2232,-0.784,1.381,0.0522,0.0406,0.0000,-0.02804,-0.02669,-0.02599,-0.15472,0.13528,0.00458,8,1,HELD
0,G2,0.80,0.7768,0.8472,0.2232,4.705,3.655,0.3137,0.2437,0.0000,-0.02909,-0.02830,-0.03250,-0.15472,0.13528,0.00354,8,1,HELD
0,G2,0.80,0.7773,0.8471,0.2227,-2.033,1.296,0.1355,0.1054,0.0000,-0.02991,-0.02938,-0.02757,-0.15472,0.13528,0.00255,8,1,HELD
0,G2,0.80,0.7775,0.8471,0.2225,4.728,3.557,0.3152,0.2450,0.0000,-0.03046,-0.02980,-0.03402,-0.15472,0.13528,0.00144,8,1,HELD
0,G2,0.80,0.7778,0.8470,0.2222,-2.108,1.251,0.1405,0.1093,0.0000,-0.03082,-0.03024,-0.02836,-0.15472,0.13528,0.00096,8,1,HELD
0,G2,0.80,0.7779,0.8470,0.2221,-2.201,1.248,0.1468,0.1142,0.0000,-0.03104,-0.03045,-0.02848,-0.15472,0.13528,0.00057,8,1,HELD
0,G2,1.00,0.7776,0.9353,0.2224,9.971,4.440,0.6648,0.5169,0.0000,-0.02823,-0.02403,-0.03292,-0.15472,0.13528,0.00117,8,1,HELD
0,G2,1.00,0.4220,0.9683,0.5780,29.762,11.459,1.9841,0.8373,0.0000,-0.02724,-0.00273,-0.02928,-0.15472,0.13528,0.02844,8,1,HELD
0,G2,1.00,0.3984,0.9701,0.6016,6.266,2.649,0.4177,0.1664,0.0000,-0.02449,-0.01322,-0.01881,-0.15472,0.13528,0.00434,8,1,HELD
0,G2,1.00,0.4044,0.9697,0.5956,11.414,4.616,0.7609,0.3077,0.0000,-0.02439,-0.01691,-0.02709,-0.15472,0.13528,0.00161,8,1,HELD
0,G2,1.00,0.4067,0.9695,0.5933,4.834,2.279,0.3222,0.1311,0.0000,-0.02492,-0.01831,-0.02262,-0.15472,0.13528,0.00186,8,1,HELD
0,G2,1.00,0.4071,0.9695,0.5929,11.179,4.546,0.7453,0.3034,0.0000,-0.02535,-0.01876,-0.02873,-0.15472,0.13528,0.00117,8,1,HELD
0,G2,1.00,0.4078,0.9694,0.5922,4.701,2.245,0.3134,0.1278,0.0000,-0.02564,-0.01910,-0.02330,-0.15472,0.13528,0.00069,8,1,HELD
0,G2,1.00,0.4077,0.9694,0.5923,11.124,4.534,0.7416,0.3023,0.0000,-0.02583,-0.01920,-0.02912,-0.15472,0.13528,0.00026,8,1,HELD
0,G2,1.00,0.4084,0.9694,0.5916,4.659,2.240,0.3106,0.1269,0.0000,-0.02594,-0.01935,-0.02351,-0.15472,0.13528,0.00013,8,1,HELD
0,G2,1.00,0.4080,0.9694,0.5920,11.108,4.530,0.7406,0.3022,0.0000,-0.02602,-0.01936,-0.02927,-0.15472,0.13528,0.00011,8,1,HELD
0,G2,1.00,0.4081,0.9694,0.5919,11.098,4.529,0.7399,0.3019,0.0000,-0.02606,-0.01939,-0.02929,-0.15472,0.13528,0.00022,8,1,HELD
0,G2+raw,0.55,0.6132,0.6097,0.1603,7.454,4.135,0.4970,0.3047,0.0000,-0.02937,-0.02567,-0.03232,-0.15472,0.13528,0.00087,8,1,HELD
0,G2+raw,0.55,0.2942,0.6790,0.2173,37.122,10.920,2.4748,0.7280,1.0000,-0.02726,0.01189,-0.02123,-0.15472,0.13528,0.03395,8,1,HELD
0,G2+raw,0.55,0.7897,0.6842,0.2103,9.524,5.275,0.6350,0.5014,0.0000,-0.02475,-0.01492,-0.02341,-0.15472,0.13528,0.00137,8,1,HELD
0,G2+raw,0.55,0.8001,0.6831,0.1999,-0.766,2.649,0.0510,0.0408,0.0000,-0.02594,-0.02293,-0.02225,-0.15472,0.13528,0.00713,8,1,HELD
0,G2+raw,0.55,0.8029,0.6826,0.1971,6.115,4.345,0.4077,0.3273,0.0000,-0.02755,-0.02598,-0.03143,-0.15472,0.13528,0.00570,8,1,HELD
0,G2+raw,0.55,0.8034,0.6825,0.1966,-0.821,1.954,0.0547,0.0440,0.0000,-0.02878,-0.02751,-0.02678,-0.15472,0.13528,0.00373,8,1,HELD
0,G2+raw,0.55,0.8037,0.6825,0.1963,5.311,4.224,0.3541,0.2846,0.0000,-0.02959,-0.02848,-0.03321,-0.15472,0.13528,0.00279,8,1,HELD
0,G2+raw,0.55,0.8041,0.6825,0.1959,-1.404,1.892,0.0936,0.0753,0.0000,-0.03014,-0.02896,-0.02771,-0.15472,0.13528,0.00172,8,1,HELD
0,G2+raw,0.55,0.8041,0.6825,0.1959,5.181,4.166,0.3454,0.2777,0.0000,-0.03051,-0.02935,-0.03397,-0.15472,0.13528,0.00095,8,1,HELD
0,G2+raw,0.55,0.8043,0.6824,0.1957,-1.638,1.864,0.1092,0.0878,0.0000,-0.03075,-0.02961,-0.02815,-0.15472,0.13528,0.00078,8,1,HELD
0,G2+raw,0.55,0.8044,0.6824,0.1956,-1.539,1.853,0.1026,0.0825,0.0000,-0.03089,-0.02965,-0.02827,-0.15472,0.13528,0.00049,8,1,HELD
0,G2+raw,0.80,0.7324,0.7945,0.1966,0.552,0.948,0.0368,0.0270,0.0000,-0.02681,-0.02698,-0.02748,-0.15472,0.13528,0.00972,8,1,HELD
0,G2+raw,0.80,0.2163,0.8444,0.2343,63.687,4.584,4.2458,0.9185,1.0000,-0.02566,0.01184,-0.04497,-0.15472,0.13528,0.03714,8,1,HELD
0,G2+raw,0.80,0.7755,0.8472,0.2245,1.919,3.387,0.1280,0.0992,0.0000,-0.02236,-0.01479,-0.01650,-0.15472,0.13528,0.00665,8,1,HELD
0,G2+raw,0.80,0.7734,0.8479,0.2266,5.090,3.937,0.3394,0.2625,0.0000,-0.02460,-0.02280,-0.02734,-0.15472,0.13528,0.00994,8,1,HELD
0,G2+raw,0.80,0.7754,0.8475,0.2246,-1.082,1.437,0.0721,0.0559,0.0000,-0.02685,-0.02602,-0.02506,-0.15472,0.13528,0.00731,8,1,HELD
0,G2+raw,0.80,0.7767,0.8472,0.2233,4.662,3.621,0.3108,0.2414,0.0000,-0.02849,-0.02830,-0.03246,-0.15472,0.13528,0.00529,8,1,HELD
0,G2+raw,0.80,0.7774,0.8471,0.2226,-1.897,1.288,0.1265,0.0983,0.0000,-0.02960,-0.02920,-0.02751,-0.15472,0.13528,0.00319,8,1,HELD
