phase,hold_tick,com_ap,com_ref_ap,com_ap_error,com_speed,desired_com_accel,cop_desired_unclamped,cop_desired,cop_measured,cop_error,raw_ankle_offset_deg,final_ankle_offset_deg,posture_guard_scale,posture_error_rad,posture_limit_proximity,limit_driver_joint,limit_driver_proximity,ankle_authority_fraction,ankle_saturated,hip_blend,hip_offset_deg,trunk_offset_deg,knee_prox,hip_prox,abdomen_prox,thorax_prox,ankle_prox,ankle_dorsiflexion_deg,knee_flexion_deg,chain_max_demand,support_min,support_max,contacts
0.70,70,-0.0228,-0.0318,0.0091,0.0023,-0.1541,-0.0115,-0.0115,-0.0192,-0.0077,8.594,2.514,0.2925,0.1520,0.7622,left_thigh,0.7590,0.1676,0,0.000,0.000,0.000,0.661,0.759,0.320,0.270,0.636,28.60,95.80,0.078,-0.1547,0.1353,8
0.70,75,-0.0229,-0.0318,0.0089,0.0029,-0.1440,-0.0124,-0.0124,-0.0258,-0.0134,14.983,4.388,0.2929,0.1523,0.7621,left_thigh,0.7588,0.2925,0,0.000,0.000,0.000,0.661,0.759,0.319,0.270,0.636,28.61,95.81,0.077,-0.1547,0.1353,8
0.70,80,-0.0231,-0.0318,0.0087,0.0033,-0.1346,-0.0133,-0.0133,-0.0205,-0.0073,8.127,2.384,0.2933,0.1525,0.7620,left_thigh,0.7587,0.1589,0,0.000,0.000,0.000,0.661,0.759,0.318,0.269,0.636,28.61,95.83,0.077,-0.1547,0.1353,8
0.70,85,-0.0233,-0.0318,0.0085,0.0034,-0.1297,-0.0138,-0.0138,-0.0267,-0.0129,14.442,4.238,0.2934,0.1528,0.7620,left_thigh,0.7586,0.2825,0,0.000,0.000,0.000,0.661,0.759,0.318,0.269,0.636,28.61,95.84,0.077,-0.1547,0.1353,8
0.70,90,-0.0235,-0.0318,0.0084,0.0035,-0.1250,-0.0143,-0.0143,-0.0214,-0.0071,7.927,2.328,0.2937,0.1529,0.7619,left_thigh,0.7586,0.1552,0,0.000,0.000,0.000,0.661,0.759,0.318,0.269,0.636,28.60,95.85,0.077,-0.1547,0.1353,8
0.70,95,-0.0236,-0.0318,0.0082,0.0033,-0.1241,-0.0146,-0.0146,-0.0273,-0.0127,14.281,4.194,0.2937,0.1531,0.7619,left_thigh,0.7585,0.2796,0,0.000,0.000,0.000,0.661,0.759,0.317,0.269,0.635,28.60,95.86,0.076,-0.1547,0.1353,8
0.70,100,-0.0238,-0.0318,0.0080,0.0032,-0.1219,-0.0149,-0.0149,-0.0218,-0.0069,7.735,2.273,0.2939,0.1532,0.7618,left_thigh,0.7585,0.1515,0,0.000,0.000,0.000,0.661,0.759,0.317,0.269,0.635,28.58,95.87,0.077,-0.1547,0.1353,8
0.70,105,-0.0240,-0.0318,0.0078,0.0029,-0.1224,-0.0150,-0.0150,-0.0277,-0.0127,14.222,4.178,0.2938,0.1533,0.7619,left_thigh,0.7585,0.2785,0,0.000,0.000,0.000,0.661,0.759,0.317,0.269,0.635,28.58,95.87,0.076,-0.1547,0.1353,8
0.70,110,-0.0241,-0.0318,0.0077,0.0027,-0.1215,-0.0153,-0.0153,-0.0221,-0.0068,7.660,2.252,0.2939,0.1533,0.7618,left_thigh,0.7585,0.1501,0,0.000,0.000,0.000,0.661,0.759,0.317,0.269,0.635,28.56,95.88,0.077,-0.1547,0.1353,8
0.70,115,-0.0243,-0.0318,0.0075,0.0024,-0.1227,-0.0153,-0.0153,-0.0279,-0.0126,14.160,4.161,0.2939,0.1535,0.7618,left_thigh,0.7585,0.2774,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.635,28.56,95.88,0.076,-0.1547,0.1353,8
0.70,120,-0.0244,-0.0318,0.0074,0.0022,-0.1221,-0.0155,-0.0155,-0.0223,-0.0068,7.598,2.234,0.2940,0.1534,0.7618,left_thigh,0.7585,0.1489,0,0.000,0.000,0.000,0.661,0.759,0.317,0.269,0.634,28.54,95.89,0.077,-0.1547,0.1353,8
0.70,125,-0.0245,-0.0318,0.0073,0.0019,-0.1233,-0.0155,-0.0155,-0.0281,-0.0126,14.136,4.155,0.2939,0.1535,0.7618,left_thigh,0.7585,0.2770,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.634,28.54,95.89,0.076,-0.1547,0.1353,8
0.70,130,-0.0246,-0.0318,0.0072,0.0018,-0.1226,-0.0157,-0.0157,-0.0224,-0.0068,7.569,2.226,0.2941,0.1535,0.7618,left_thigh,0.7585,0.1484,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.634,28.52,95.89,0.077,-0.1547,0.1353,8
0.70,135,-0.0247,-0.0318,0.0071,0.0015,-0.1238,-0.0157,-0.0157,-0.0283,-0.0126,14.111,4.149,0.2940,0.1536,0.7618,left_thigh,0.7585,0.2766,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.634,28.52,95.89,0.076,-0.1547,0.1353,8
0.70,140,-0.0248,-0.0318,0.0070,0.0014,-0.1231,-0.0158,-0.0158,-0.0225,-0.0067,7.535,2.216,0.2941,0.1535,0.7618,left_thigh,0.7585,0.1478,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.634,28.51,95.89,0.077,-0.1547,0.1353,8
0.70,145,-0.0249,-0.0318,0.0069,0.0012,-0.1242,-0.0158,-0.0158,-0.0284,-0.0126,14.101,4.146,0.2941,0.1536,0.7618,left_thigh,0.7585,0.2764,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.51,95.89,0.076,-0.1547,0.1353,8
0.70,150,-0.0249,-0.0318,0.0069,0.0012,-0.1234,-0.0159,-0.0159,-0.0226,-0.0067,7.516,2.211,0.2942,0.1536,0.7617,left_thigh,0.7585,0.1474,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.50,95.89,0.077,-0.1547,0.1353,8
0.70,155,-0.0250,-0.0318,0.0068,0.0010,-0.1245,-0.0159,-0.0159,-0.0285,-0.0126,14.070,4.138,0.2941,0.1537,0.7618,left_thigh,0.7584,0.2759,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.50,95.89,0.076,-0.1547,0.1353,8
0.70,160,-0.0251,-0.0318,0.0067,0.0009,-0.1237,-0.0160,-0.0160,-0.0227,-0.0067,7.485,2.202,0.2942,0.1536,0.7617,left_thigh,0.7585,0.1468,0,0.000,0.000,0.000,0.661,0.758,0.317,0.269,0.633,28.49,95.90,0.077,-0.1547,0.1353,8
