tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
336,right_foot,-41.77,-27.00,-27.00,14.77,0.49,14.79,0.928,0.102,6.8,2137.5
336,left_shank,120.12,114.00,114.00,6.12,0.00,6.12,0.828,0.045,4.8,2565.0
336,right_shank,120.75,114.00,114.00,6.75,0.00,6.75,0.833,0.049,5.4,2565.0
336,left_thigh,-114.10,-111.00,-111.00,3.14,0.24,3.14,0.951,0.028,0.0,2565.0
336,right_thigh,-114.57,-111.00,-111.00,3.60,0.24,3.60,0.955,0.032,0.0,2565.0
336,abdomen,17.87,6.40,6.40,11.48,0.00,11.48,0.397,0.073,0.0,1852.5
336,thorax,16.20,9.59,9.59,6.62,0.00,6.61,0.324,0.053,0.1,1852.5
338,left_foot,-42.64,-27.00,-27.00,15.64,0.49,15.65,0.947,0.107,6.6,2137.5
338,right_foot,-42.77,-27.00,-27.00,15.77,0.49,15.78,0.950,0.107,6.6,2137.5
338,left_shank,120.67,114.00,114.00,6.67,0.00,6.67,0.832,0.048,4.1,2565.0
338,right_shank,121.29,114.00,114.00,7.29,0.00,7.29,0.836,0.052,4.5,2565.0
338,left_thigh,-114.30,-111.00,-111.00,3.33,0.24,3.33,0.953,0.028,0.0,2565.0
338,right_thigh,-114.80,-111.00,-111.00,3.83,0.24,3.83,0.957,0.032,0.1,2565.0
338,abdomen,17.47,6.40,6.40,11.08,0.00,11.08,0.388,0.072,0.1,1852.5
338,thorax,16.31,9.59,9.59,6.73,0.00,6.73,0.326,0.052,0.1,1852.5
340,left_foot,-43.71,-27.00,-27.00,16.71,0.48,16.72,0.971,0.113,6.4,2137.5
340,right_foot,-43.78,-27.00,-27.00,16.78,0.48,16.80,0.973,0.113,6.7,2137.5
340,left_shank,121.20,114.00,114.00,7.20,0.00,7.20,0.836,0.050,4.3,2565.0
340,right_shank,121.80,114.00,114.00,7.80,0.00,7.80,0.840,0.054,4.5,2565.0
340,left_thigh,-114.46,-111.00,-111.00,3.49,0.23,3.49,0.954,0.028,0.0,2565.0
340,right_thigh,-115.00,-111.00,-111.00,4.01,0.23,4.01,0.958,0.032,0.1,2565.0
340,abdomen,17.13,6.40,6.40,10.74,0.00,10.74,0.381,0.073,0.1,1852.5
340,thorax,16.41,9.59,9.59,6.83,0.00,6.82,0.328,0.051,0.1,1852.5
342,left_foot,-44.80,-27.00,-27.00,17.80,0.45,17.81,0.995,0.119,6.3,2137.5
342,right_foot,-44.81,-27.00,-27.00,17.82,0.45,17.83,0.996,0.119,6.9,2137.5
342,left_shank,121.67,114.00,114.00,7.67,0.00,7.67,0.839,0.050,5.0,2565.0
342,right_shank,122.24,114.00,114.00,8.24,0.00,8.24,0.843,0.054,4.8,2565.0
342,left_thigh,-114.60,-111.00,-111.00,3.62,0.22,3.62,0.955,0.028,0.0,2565.0
342,right_thigh,-115.16,-111.00,-111.00,4.17,0.22,4.17,0.960,0.033,0.1,2565.0
342,abdomen,16.85,6.40,6.40,10.46,0.00,10.46,0.374,0.074,0.1,1852.5
342,thorax,16.49,9.59,9.59,6.91,0.00,6.91,0.330,0.051,0.2,1852.5
344,left_foot,-45.88,-27.00,-27.00,18.88,0.42,18.89,1.000,0.126,9.4,2137.5
344,right_foot,-45.85,-27.00,-27.00,18.85,0.42,18.86,1.000,0.125,11.2,2137.5
344,left_shank,122.07,114.00,114.00,8.07,0.00,8.07,0.842,0.050,5.3,2565.0
344,right_shank,122.63,114.00,114.00,8.63,0.00,8.63,0.846,0.053,4.8,2565.0
344,left_thigh,-114.71,-111.00,-111.00,3.73,0.21,3.72,0.956,0.028,0.0,2565.0
344,right_thigh,-115.30,-111.00,-111.00,4.31,0.21,4.30,0.961,0.032,0.1,2565.0
344,abdomen,16.63,6.40,6.40,10.24,0.00,10.24,0.369,0.072,0.1,1852.5
344,thorax,16.59,9.59,9.59,7.02,0.00,7.01,0.332,0.051,0.1,1852.5
346,left_foot,-46.88,-27.00,-27.00,19.90,0.37,19.92,1.000,0.129,69.1,2137.5
346,right_foot,-46.81,-27.00,-27.00,19.83,0.37,19.85,1.000,0.128,65.5,2137.5
