tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
185,68.56,67.91,1,6.855,1,0.00190,0.00000,1,0.00174,0.00000,0.0200,9.98
186,68.73,68.01,1,7.079,1,0.00198,0.00000,1,0.00181,0.00000,0.0200,10.15
187,68.94,68.15,1,7.329,1,0.00204,0.00000,1,0.00187,0.00000,0.0200,10.22
188,69.13,68.28,1,7.431,1,0.00207,0.00000,1,0.00192,0.00000,0.0200,9.02
189,69.24,68.33,1,7.516,1,0.00214,0.00000,1,0.00198,0.00000,0.0200,10.22
190,69.42,68.45,1,7.701,1,0.00222,0.00000,1,0.00204,0.00000,0.0200,10.51
191,69.61,68.57,1,7.859,1,0.00225,0.00000,1,0.00208,0.00000,0.0200,9.18
192,69.71,68.62,1,7.889,1,0.00228,0.00000,1,0.00212,0.00000,0.0200,9.25
193,69.80,68.67,1,7.989,1,0.00215,0.00000,1,0.00211,0.00000,0.0200,10.46
194,69.94,68.76,1,8.561,1,0.00215,0.00000,1,0.00206,0.00000,0.0200,9.29
195,70.10,68.89,1,8.495,1,0.00218,0.00000,1,0.00206,0.00000,0.0200,9.29
196,70.25,69.00,1,8.506,1,0.00219,0.00000,1,0.00205,0.00000,0.0200,9.31
197,70.40,69.11,1,8.621,1,0.00222,0.00000,1,0.00206,0.00000,0.0200,9.31
198,70.54,69.22,1,8.691,1,0.00225,0.00000,1,0.00208,0.00000,0.0200,9.35
199,70.67,69.31,1,8.802,1,0.00228,0.00000,1,0.00209,0.00000,0.0200,9.42
200,70.80,69.40,1,9.059,1,0.00237,0.00000,1,0.00212,0.00000,0.0200,10.56
201,70.98,69.54,1,9.367,1,0.00243,0.00000,1,0.00213,0.00000,0.0200,10.52
202,71.13,69.65,1,9.407,1,0.00245,0.00000,1,0.00213,0.00000,0.0200,9.83
203,71.23,69.72,1,9.290,1,0.00246,0.00000,1,0.00210,0.00000,0.0200,9.91
204,71.30,69.77,1,9.313,1,0.00248,0.00000,1,0.00210,0.00000,0.0200,10.11
205,71.37,69.82,1,9.406,1,0.00249,0.00000,1,0.00216,0.00000,0.0200,10.28
206,71.45,69.87,1,9.451,1,0.00249,0.00000,1,0.00218,0.00000,0.0200,10.44
207,71.50,69.89,1,9.510,1,0.00251,0.00000,1,0.00219,0.00000,0.0200,10.64
208,71.56,69.92,1,9.558,1,0.00251,0.00000,1,0.00220,0.00000,0.0200,10.72
209,71.61,69.95,1,9.502,1,0.00250,0.00000,1,0.00221,0.00000,0.0200,10.81
210,71.63,69.94,1,9.421,1,0.00250,0.00000,1,0.00221,0.00000,0.0200,10.98
211,71.65,69.93,1,9.392,1,0.00250,0.00000,1,0.00221,0.00000,0.0200,11.16
212,71.68,69.93,1,9.423,1,0.00251,0.00000,1,0.00221,0.00000,0.0200,11.32
213,71.71,69.95,1,9.427,1,0.00250,0.00000,1,0.00222,0.00000,0.0200,11.51
214,71.72,69.95,1,9.372,1,0.00250,0.00000,1,0.00222,0.00000,0.0200,11.72
215,71.74,69.96,1,9.339,1,0.00250,0.00000,1,0.00223,0.00000,0.0200,11.94
216,71.77,69.97,1,9.323,1,0.00250,0.00000,1,0.00224,0.00000,0.0200,12.15
217,71.80,69.97,1,9.317,1,0.00250,0.00000,1,0.00225,0.00000,0.0200,12.39
218,71.84,69.98,1,9.350,1,0.00250,0.00000,1,0.00226,0.00000,0.0200,12.61
219,71.89,70.00,1,9.376,1,0.00251,0.00000,1,0.00228,0.00000,0.0200,12.83
220,71.94,70.01,1,9.409,1,0.00252,0.00000,1,0.00229,0.00000,0.0200,13.07
221,72.00,70.04,1,9.491,1,0.00254,0.00000,1,0.00231,0.00000,0.0200,13.30
222,72.07,70.07,1,9.581,1,0.00256,0.00000,1,0.00231,0.00000,0.0200,13.53
223,72.15,70.11,1,9.698,1,0.00259,0.00000,1,0.00236,0.00000,0.0200,13.76
224,72.22,70.14,1,9.779,1,0.00261,0.00000,1,0.00234,0.00000,0.0200,14.01
225,72.29,70.19,1,9.963,1,0.00265,0.00000,1,0.00242,0.00000,0.0200,14.23
226,72.37,70.22,1,10.035,1,0.00266,0.00000,1,0.00236,0.00000,0.0200,14.49
227,72.45,70.29,1,10.196,1,0.00265,0.00000,1,0.00207,0.00000,0.0200,14.71
228,72.56,70.48,1,10.478,1,0.00264,0.00000,1,0.00208,0.00000,0.0200,14.79
229,72.68,70.64,1,10.597,1,0.00277,0.00000,1,0.00215,0.00000,0.0200,14.94
230,72.80,70.73,1,10.897,1,0.00281,0.00000,1,0.00212,0.00000,0.0200,15.12
231,72.90,70.86,1,11.010,1,0.00288,0.00000,1,0.00224,0.00000,0.0200,15.29
232,73.00,70.91,1,11.127,1,0.00285,0.00000,1,0.00229,0.00000,0.0200,15.52
233,73.11,71.00,1,11.191,1,0.00292,0.00000,1,0.00230,0.00000,0.0200,15.75
234,73.22,71.07,1,11.427,1,0.00293,0.00000,1,0.00236,0.00000,0.0200,15.98
235,73.33,71.15,1,11.525,1,0.00298,0.00000,1,0.00236,0.00000,0.0200,16.23
236,73.44,71.22,1,11.719,1,0.00302,0.00000,1,0.00243,0.00000,0.0200,16.46
237,73.56,71.29,1,11.830,1,0.00306,0.00000,1,0.00248,0.00000,0.0200,16.71
238,73.67,71.35,1,11.980,1,0.00310,0.00000,1,0.00253,0.00000,0.0200,16.97
239,73.79,71.40,1,12.139,1,0.00315,0.00000,1,0.00257,0.00000,0.0200,17.24
240,73.90,71.45,1,12.291,1,0.00320,0.00000,1,0.00262,0.00000,0.0200,17.51
241,74.00,71.50,1,12.450,1,0.00324,0.00000,1,0.00266,0.00000,0.0200,17.78
242,74.11,71.55,1,12.616,1,0.00329,0.00000,1,0.00270,0.00000,0.0200,18.05
243,74.22,71.60,1,12.783,1,0.00333,0.00000,1,0.00274,0.00000,0.0200,18.33
244,74.32,71.65,1,12.951,1,0.00338,0.00000,1,0.00278,0.00000,0.0200,18.60
245,74.43,71.70,1,13.120,1,0.00342,0.00000,1,0.00282,0.00000,0.0200,18.87
246,74.53,71.75,1,13.293,1,0.00347,0.00000,1,0.00285,0.00000,0.0200,19.14
247,74.64,71.80,1,13.468,1,0.00351,0.00000,1,0.00289,0.00000,0.0200,19.41
248,74.74,71.86,1,13.641,1,0.00356,0.00000,1,0.00292,0.00000,0.0200,19.68
