tick,hip_left_deg,hip_right_deg,physx_contact,physx_impulse,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_offset_sum_m,hip_track_err_deg
273,77.70,73.72,1,18.019,1,0.00426,0.00000,1,0.00335,0.00000,0.0200,24.87
274,77.89,73.87,1,18.016,1,0.00425,0.00000,1,0.00335,0.00000,0.0200,24.96
275,78.06,74.00,1,18.112,1,0.00423,0.00000,1,0.00332,0.00000,0.0200,25.05
276,78.22,74.14,1,18.210,1,0.00424,0.00000,1,0.00331,0.00000,0.0200,25.14
277,78.40,74.28,1,18.347,1,0.00428,0.00000,1,0.00333,0.00000,0.0200,25.22
278,78.55,74.40,1,18.632,1,0.00430,0.00000,1,0.00338,0.00000,0.0200,25.31
279,78.69,74.50,1,18.488,1,0.00434,0.00000,1,0.00344,0.00000,0.0200,25.43
280,78.81,74.57,1,18.777,1,0.00438,0.00000,1,0.00346,0.00000,0.0200,25.59
281,78.93,74.67,1,18.913,1,0.00443,0.00000,1,0.00351,0.00000,0.0200,25.71
282,79.03,74.75,1,19.141,1,0.00448,0.00000,1,0.00358,0.00000,0.0200,25.86
283,79.13,74.81,1,19.050,1,0.00447,0.00000,1,0.00363,0.00000,0.0200,26.03
284,79.22,74.86,1,18.906,1,0.00450,0.00000,1,0.00361,0.00000,0.0200,26.22
285,79.31,74.92,1,19.220,1,0.00454,0.00000,1,0.00358,0.00000,0.0200,26.38
286,79.41,75.00,1,19.370,1,0.00456,0.00000,1,0.00368,0.00000,0.0200,26.51
287,79.50,75.05,1,19.373,1,0.00458,0.00000,1,0.00375,0.00000,0.0200,26.70
288,79.58,75.08,1,19.450,1,0.00460,0.00000,1,0.00378,0.00000,0.0200,26.90
289,79.67,75.11,1,19.566,1,0.00462,0.00000,1,0.00382,0.00000,0.0200,27.09
290,79.75,75.15,1,19.679,1,0.00466,0.00000,1,0.00384,0.00000,0.0200,27.28
291,79.83,75.19,1,19.808,1,0.00467,0.00000,1,0.00387,0.00000,0.0200,27.47
292,79.91,75.22,1,19.816,1,0.00467,0.00000,1,0.00391,0.00000,0.0200,27.66
293,79.99,75.26,1,19.785,1,0.00472,0.00000,1,0.00392,0.00000,0.0200,27.85
294,80.07,75.29,1,20.167,1,0.00474,0.00000,1,0.00393,0.00000,0.0200,28.05
295,80.15,75.34,1,20.058,1,0.00476,0.00000,1,0.00396,0.00000,0.0200,28.22
296,80.22,75.38,1,20.170,1,0.00477,0.00000,1,0.00398,0.00000,0.0200,28.42
297,80.30,75.41,1,20.258,1,0.00478,0.00000,1,0.00401,0.00000,0.0200,28.61
298,80.39,75.44,1,20.229,1,0.00483,0.00000,1,0.00401,0.00000,0.0200,28.81
299,80.47,75.47,1,20.633,1,0.00484,0.00000,1,0.00402,0.00000,0.0200,29.00
300,80.56,75.52,1,20.482,1,0.00486,0.00000,1,0.00406,0.00000,0.0200,29.18
301,80.64,75.55,1,20.621,1,0.00488,0.00000,1,0.00408,0.00000,0.0200,29.38
302,80.72,75.58,1,20.710,1,0.00488,0.00000,1,0.00411,0.00000,0.0200,29.56
303,80.82,75.61,1,20.675,1,0.00494,0.00000,1,0.00411,0.00000,0.0200,29.76
304,80.90,75.64,1,21.124,1,0.00495,0.00000,1,0.00413,0.00000,0.0200,29.95
305,80.99,75.69,1,20.917,1,0.00496,0.00000,1,0.00416,0.00000,0.0200,30.13
306,81.07,75.72,1,21.062,1,0.00498,0.00000,1,0.00417,0.00000,0.0200,30.32
307,81.16,75.75,1,21.174,1,0.00497,0.00000,1,0.00417,0.00000,0.0200,30.51
308,81.26,75.77,1,21.091,1,0.00502,0.00000,1,0.00417,0.00000,0.0200,30.72
309,81.37,75.79,1,21.502,1,0.00505,0.00000,1,0.00417,0.00000,0.0200,30.91
310,81.47,75.84,1,21.500,1,0.00507,0.00000,1,0.00420,0.00000,0.0200,31.07
311,81.56,75.89,1,21.633,1,0.00509,0.00000,1,0.00423,0.00000,0.0200,31.24
312,81.65,75.92,1,21.703,1,0.00509,0.00000,1,0.00427,0.00000,0.0200,31.42
313,81.75,75.96,1,21.690,1,0.00516,0.00000,1,0.00428,0.00000,0.0200,31.61
314,81.84,75.99,1,22.171,1,0.00516,0.00000,1,0.00431,0.00000,0.0200,31.79
315,81.92,76.03,1,21.845,1,0.00517,0.00000,1,0.00434,0.00000,0.0200,31.97
316,82.01,76.05,1,22.048,1,0.00516,0.00000,1,0.00435,0.00000,0.0200,32.16
317,82.10,76.10,1,21.963,1,0.00518,0.00000,1,0.00437,0.00000,0.0200,32.32
318,82.19,76.12,1,22.138,1,0.00519,0.00000,1,0.00439,0.00000,0.0200,32.51
319,82.28,76.14,1,22.168,1,0.00518,0.00000,1,0.00442,0.00000,0.0200,32.70
320,82.38,76.15,1,22.157,1,0.00524,0.00000,1,0.00442,0.00000,0.0200,32.90
321,82.49,76.16,1,22.666,1,0.00524,0.00000,1,0.00443,0.00000,0.0200,33.10
322,82.59,76.19,1,22.313,1,0.00524,0.00000,1,0.00446,0.00000,0.0200,33.28
323,82.69,76.20,1,22.454,1,0.00526,0.00000,1,0.00446,0.00000,0.0200,33.47
324,82.79,76.22,1,22.586,1,0.00529,0.00000,1,0.00448,0.00000,0.0200,33.65
325,82.90,76.21,1,22.799,1,0.00530,0.00000,1,0.00448,0.00000,0.0200,33.86
326,83.01,76.20,1,22.767,1,0.00528,0.00000,1,0.00451,0.00000,0.0200,34.08
327,83.14,76.19,1,22.712,1,0.00534,0.00000,1,0.00450,0.00000,0.0200,34.28
328,83.25,76.19,1,23.240,1,0.00534,0.00000,1,0.00451,0.00000,0.0200,34.48
329,83.37,76.20,1,22.952,1,0.00537,0.00000,1,0.00453,0.00000,0.0200,34.66
330,83.47,76.23,1,23.250,1,0.00537,0.00000,1,0.00456,0.00000,0.0200,34.83
331,83.57,76.23,1,23.027,1,0.00520,0.00000,1,0.00399,0.00000,0.0200,35.02
332,83.70,76.58,1,23.631,1,0.00525,0.00000,1,0.00387,0.00000,0.0200,34.94
333,83.88,76.73,1,24.190,1,0.00537,0.00000,1,0.00403,0.00000,0.0200,34.78
334,84.15,76.86,1,24.529,1,0.00543,0.00000,1,0.00417,0.00000,0.0200,34.67
335,84.38,76.91,1,24.581,1,0.00545,0.00000,1,0.00423,0.00000,0.0200,34.62
336,84.58,76.92,1,24.563,1,0.00544,0.00000,1,0.00429,0.00000,0.0200,34.60
337,84.77,76.88,1,24.518,1,0.00544,0.00000,1,0.00430,0.00000,0.0200,34.68
338,84.94,76.86,1,24.404,1,0.00544,0.00000,1,0.00431,0.00000,0.0200,34.70
339,85.07,76.83,1,24.551,1,0.00545,0.00000,1,0.00432,0.00000,0.0200,34.72
340,85.20,76.78,1,24.583,1,0.00543,0.00000,1,0.00435,0.00000,0.0200,34.78
341,85.31,76.68,1,24.489,1,0.00542,0.00000,1,0.00435,0.00000,0.0200,34.82
342,85.43,76.57,1,24.553,1,0.00540,0.00000,1,0.00434,0.00000,0.0200,34.98
343,85.56,76.47,1,24.390,1,0.00538,0.00000,1,0.00434,0.00000,0.0200,35.07
344,85.68,76.37,1,24.236,1,0.00521,0.00000,1,0.00429,0.00000,0.0200,35.16
345,85.86,76.14,1,25.953,1,0.00523,0.00000,1,0.00401,0.00000,0.0200,35.37
346,86.18,76.09,1,26.185,1,0.00526,0.00000,1,0.00381,0.00000,0.0200,35.44
347,86.45,76.07,1,26.223,1,0.00522,0.00000,1,0.00371,0.00000,0.0200,35.47
348,86.67,76.05,1,26.196,1,0.00519,0.00000,1,0.00364,0.00000,0.0200,35.50
349,86.88,76.04,1,25.936,1,0.00501,0.00000,1,0.00320,0.00000,0.0200,35.47
350,87.12,76.28,1,26.075,1,0.00499,0.00000,1,0.00315,0.00000,0.0200,35.27
351,87.36,76.37,1,25.880,1,0.00496,0.00000,1,0.00322,0.00000,0.0200,35.17
352,87.57,76.38,1,25.690,1,0.00492,0.00000,1,0.00328,0.00000,0.0200,35.13
353,87.77,76.37,1,25.442,1,0.00488,0.00000,1,0.00334,0.00000,0.0200,35.16
354,87.95,76.32,1,25.339,1,0.00485,0.00000,1,0.00337,0.00000,0.0200,35.18
355,88.12,76.22,1,25.335,1,0.00485,0.00000,1,0.00337,0.00000,0.0200,35.32
356,88.27,76.14,1,25.278,1,0.00483,0.00000,1,0.00338,0.00000,0.0200,35.38
357,88.41,76.04,1,25.305,1,0.00484,0.00000,1,0.00341,0.00000,0.0200,35.51
358,88.55,75.92,1,25.351,1,0.00487,0.00000,1,0.00341,0.00000,0.0200,35.60
359,88.71,75.76,1,25.561,1,0.00483,0.00000,1,0.00336,0.00000,0.0200,35.79
360,88.89,75.55,1,26.794,1,0.00483,0.00000,1,0.00317,0.00000,0.0200,35.98
361,89.16,75.46,1,26.686,1,0.00485,0.00000,1,0.00308,0.00000,0.0200,36.10
362,89.38,75.35,1,26.802,1,0.00486,0.00000,1,0.00295,0.00000,0.0200,36.19
363,89.61,75.31,1,26.793,1,0.00480,0.00000,1,0.00259,0.00000,0.0200,36.26
364,89.82,75.49,1,27.684,1,0.00494,0.00000,1,0.00250,0.00000,0.0200,35.82
365,90.14,75.79,1,28.394,1,0.00507,0.00000,1,0.00261,0.00000,0.0200,35.30
366,90.34,76.05,1,28.769,1,0.00517,0.00000,1,0.00271,0.00000,0.0200,34.83
367,90.43,76.24,1,28.895,1,0.00521,0.00000,1,0.00278,0.00000,0.0200,34.43
368,90.46,76.39,1,28.772,1,0.00523,0.00000,1,0.00280,0.00000,0.0200,34.07
369,90.45,76.53,1,28.580,1,0.00521,0.00000,1,0.00281,0.00000,0.0200,33.71
370,90.40,76.67,1,28.190,1,0.00516,0.00000,1,0.00281,0.00000,0.0200,33.36
371,90.33,76.81,1,27.709,1,0.00510,0.00000,1,0.00281,0.00000,0.0200,33.02
372,90.24,76.96,1,27.335,1,0.00505,0.00000,1,0.00280,0.00000,0.0200,32.66
373,90.14,77.09,1,27.072,1,0.00501,0.00000,1,0.00279,0.00000,0.0200,32.43
374,90.03,77.23,1,26.837,1,0.00498,0.00000,1,0.00277,0.00000,0.0200,32.06
375,89.91,77.36,1,26.624,1,0.00494,0.00000,1,0.00276,0.00000,0.0200,31.71
376,89.79,77.48,1,26.405,1,0.00488,0.00000,1,0.00275,0.00000,0.0200,31.36
377,89.66,77.56,1,26.106,1,0.00486,0.00000,1,0.00273,0.00000,0.0200,31.06
378,89.55,77.66,1,25.891,1,0.00479,0.00000,1,0.00273,0.00000,0.0200,30.74
379,89.41,77.72,1,25.557,1,0.00478,0.00000,1,0.00270,0.00000,0.0200,30.46
380,89.30,77.82,1,25.354,1,0.00471,0.00000,1,0.00270,0.00000,0.0200,30.13
381,89.14,77.88,1,25.024,1,0.00469,0.00000,1,0.00268,0.00000,0.0200,29.85
382,89.01,77.98,1,24.871,1,0.00463,0.00000,1,0.00268,0.00000,0.0200,29.53
383,88.85,78.04,1,24.577,1,0.00461,0.00000,1,0.00265,0.00000,0.0200,29.25
384,88.71,78.12,1,24.450,1,0.00458,0.00000,1,0.00271,0.00000,0.0200,28.94
385,88.56,78.24,1,24.533,1,0.00459,0.00000,1,0.00274,0.00000,0.0200,28.61
386,88.43,78.42,1,24.889,1,0.00462,0.00000,1,0.00276,0.00000,0.0200,28.22
387,88.30,78.63,1,26.028,1,0.00466,0.00000,1,0.00255,0.00000,0.0200,27.81
388,88.18,79.02,1,27.556,1,0.00479,0.00000,1,0.00245,0.00000,0.0200,27.24
389,88.07,79.35,1,25.016,1,0.00411,0.00000,1,0.00233,0.00000,0.0200,26.76
390,87.21,78.64,1,27.042,1,0.00356,0.00000,1,0.00213,0.00000,0.0200,27.53
391,86.48,78.16,1,30.035,1,0.00343,0.00000,1,0.00197,0.00000,0.0200,28.09
392,85.96,77.93,1,32.446,1,0.00377,0.00000,1,0.00181,0.00000,0.0200,28.36
393,86.76,79.06,1,29.794,1,0.00467,0.00000,1,0.00168,0.00000,0.0200,26.90
394,86.15,79.16,1,28.187,1,0.00434,0.00000,1,0.00169,0.00000,0.0200,26.86
395,85.57,79.09,1,26.376,1,0.00392,0.00000,1,0.00150,0.00000,0.0200,26.94
396,85.10,79.05,1,28.073,1,0.00371,0.00000,1,0.00139,0.00000,0.0200,27.06
397,84.71,78.93,1,29.369,1,0.00319,0.00000,1,0.00126,0.00000,0.0200,27.15
398,84.50,78.98,1,32.739,1,0.00361,0.00000,1,0.00120,0.00000,0.0200,27.01
399,84.96,79.99,1,29.816,1,0.00496,0.00000,1,0.00155,0.00000,0.0200,25.53
