load_kg,config,tick,sq,com_ap,com_speed,support_min,support_max,guard_scale,limit_prox,unexpected_consumed,raw_ankle_deg,applied_ankle_deg,raw_authority,hip_blend,pelvis_y,contacts
0,G1,360,1.0000,-0.12142,0.00182,-0.15472,0.13528,1.0000,0.9408,0.2708,7.219,1.523,0.4813,0.0000,0.42271,8
0,G1,370,1.0000,-0.12121,0.00207,-0.15472,0.13528,1.0000,0.9407,0.2655,4.481,2.071,0.2987,0.0000,0.42437,8
0,G1,380,1.0000,-0.12106,0.00104,-0.15472,0.13528,1.0000,0.9405,0.2606,4.183,2.071,0.2788,0.0000,0.42551,8
0,G1,390,1.0000,-0.12097,0.00077,-0.15472,0.13528,1.0000,0.9405,0.2590,4.026,2.071,0.2684,0.0000,0.42581,8
0,G1,400,1.0000,-0.12092,0.00054,-0.15472,0.13528,1.0000,0.9406,0.2593,3.804,2.071,0.2536,0.0000,0.42572,8
0,G1,410,1.0000,-0.12091,0.00052,-0.15472,0.13528,1.0000,0.9407,0.2598,3.589,2.071,0.2393,0.0000,0.42560,8
0,G1,420,1.0000,-0.12092,0.00068,-0.15472,0.13528,1.0000,0.9407,0.2600,3.393,2.071,0.2262,0.0000,0.42554,8
0,G1,430,1.0000,-0.12096,0.00084,-0.15472,0.13528,1.0000,0.9407,0.2601,3.188,2.071,0.2126,0.0000,0.42553,8
0,G1,440,1.0000,-0.12102,0.00098,-0.15472,0.13528,1.0000,0.9407,0.2601,2.948,2.071,0.1965,0.0000,0.42551,8
0,G1,450,1.0000,-0.12111,0.00112,-0.15472,0.13528,1.0000,0.9407,0.2601,2.661,2.071,0.1774,0.0000,0.42549,8
0,G1,460,1.0000,-0.12121,0.00129,-0.15472,0.13528,1.0000,0.9407,0.2601,2.330,2.071,0.1554,0.0000,0.42544,8
0,G1,470,1.0000,-0.12134,0.00152,-0.15472,0.13528,1.0000,0.9406,0.2602,1.957,1.957,0.1305,0.0000,0.42538,8
0,G1,480,1.0000,-0.12150,0.00177,-0.15472,0.13528,1.0000,0.9406,0.2602,1.548,1.548,0.1032,0.0000,0.42532,8
0,G1,490,1.0000,-0.12168,0.00205,-0.15472,0.13528,1.0000,0.9406,0.2602,1.058,1.058,0.0705,0.0000,0.42524,8
0,G1,500,1.0000,-0.12188,0.00193,-0.15472,0.13528,1.0000,0.9406,0.2603,1.489,0.841,0.0993,0.0000,0.42516,8
0,G2,10,0.0300,-0.02905,0.00609,-0.15472,0.13528,0.8260,0.1919,0.1740,10.485,8.307,0.6990,0.0000,0.97969,8
0,G2,20,0.0600,-0.02876,0.00445,-0.15472,0.13528,0.4164,0.0455,0.0258,15.074,6.277,1.0049,0.0000,0.97902,8
0,G2,30,0.0900,-0.02852,0.00294,-0.15472,0.13528,0.5531,0.0342,0.0021,11.105,6.143,0.7403,0.0000,0.97762,8
0,G2,40,0.1200,-0.02857,0.00172,-0.15472,0.13528,0.9721,0.0534,0.0000,4.985,4.846,0.3323,0.0000,0.97495,8
0,G2,50,0.1500,-0.02875,0.00266,-0.15472,0.13528,1.0000,0.0841,0.0000,2.225,4.932,0.1484,0.0000,0.97093,8
0,G2,60,0.1800,-0.02895,0.00381,-0.15472,0.13528,1.0000,0.1165,0.0000,2.508,4.932,0.1672,0.0000,0.96533,8
0,G2,70,0.2100,-0.02909,0.00530,-0.15472,0.13528,1.0000,0.1498,0.0000,2.402,4.932,0.1601,0.0000,0.95819,8
0,G2,80,0.2400,-0.02919,0.00662,-0.15472,0.13528,0.9969,0.1835,0.0031,1.763,4.932,0.1175,0.0000,0.94957,8
0,G2,90,0.2700,-0.02928,0.00760,-0.15472,0.13528,0.8920,0.2170,0.0223,4.171,4.574,0.2781,0.0000,0.93981,8
0,G2,100,0.3000,-0.02919,0.00818,-0.15472,0.13528,0.5662,0.2495,0.0395,10.843,6.140,0.7229,0.0000,0.92919,8
0,G2,110,0.3300,-0.02891,0.00829,-0.15472,0.13528,0.4716,0.2842,0.0532,13.192,6.221,0.8795,0.0000,0.91655,8
0,G2,120,0.3600,-0.02865,0.00738,-0.15472,0.13528,0.6266,0.3224,0.0659,9.650,6.047,0.6433,0.0000,0.90130,8
0,G2,130,0.3900,-0.02862,0.00613,-0.15472,0.13528,0.8943,0.3640,0.0790,9.162,5.765,0.6108,0.0000,0.88309,8
0,G2,140,0.4200,-0.02874,0.00509,-0.15472,0.13528,0.9070,0.4082,0.0930,2.437,3.071,0.1625,0.0000,0.86200,8
0,G2,150,0.4500,-0.02891,0.00370,-0.15472,0.13528,0.8924,0.4539,0.1076,7.491,5.046,0.4994,0.0000,0.83837,8
0,G2,160,0.4800,-0.02907,0.00278,-0.15472,0.13528,0.8774,0.5001,0.1226,6.841,5.599,0.4560,0.0000,0.81272,8
0,G2,170,0.5100,-0.02924,0.00097,-0.15472,0.13528,0.8624,0.5455,0.1376,7.940,4.378,0.5293,0.0000,0.78574,8
0,G2,180,0.5400,-0.02936,0.00122,-0.15472,0.13528,0.7461,0.5891,0.1524,2.745,2.048,0.1830,0.0000,0.75842,8
0,G2,190,0.5700,-0.02937,0.00150,-0.15472,0.13528,0.7594,0.6308,0.1658,5.318,4.039,0.3545,0.0000,0.73084,8
0,G2,200,0.6000,-0.02934,0.00245,-0.15472,0.13528,0.2287,0.6686,0.1848,10.954,2.506,0.7303,0.0000,0.70431,8
0,G2,210,0.6300,-0.02841,0.02086,-0.15472,0.13528,0.0449,0.6915,0.2103,45.532,2.046,3.0355,0.0000,0.68857,8
0,G2,220,0.6600,-0.02599,0.01436,-0.15472,0.13528,0.7768,0.7018,0.2232,7.581,4.988,0.5054,0.0000,0.68521,8
0,G2,230,0.6900,-0.02492,0.00788,-0.15472,0.13528,0.7866,0.7114,0.2134,3.055,3.737,0.2037,0.0000,0.68010,8
0,G2,240,0.7200,-0.02461,0.00243,-0.15472,0.13528,0.8005,0.7265,0.1995,4.483,3.589,0.2989,0.0000,0.66722,8
0,G2,250,0.7500,-0.02510,0.00862,-0.15472,0.13528,0.8087,0.7473,0.1913,2.913,2.356,0.1942,0.0000,0.64788,8
0,G2,260,0.7800,-0.02603,0.01130,-0.15472,0.13528,0.8086,0.7726,0.1914,-1.566,1.046,0.1044,0.0000,0.62465,8
0,G2,270,0.8100,-0.02703,0.01028,-0.15472,0.13528,0.7607,0.8001,0.1977,-1.162,1.046,0.0775,0.0000,0.59981,8
0,G2,280,0.8400,-0.02781,0.00632,-0.15472,0.13528,0.5804,0.8267,0.2079,2.782,1.615,0.1855,0.0000,0.57576,8
0,G2,290,0.8700,-0.02812,0.00091,-0.15472,0.13528,0.7007,0.8496,0.2188,2.937,2.758,0.1958,0.0000,0.55549,8
0,G2,300,0.9000,-0.02814,0.00097,-0.15472,0.13528,0.7759,0.8699,0.2241,-0.121,2.758,0.0081,0.0000,0.53785,8
0,G2,310,0.9300,-0.02815,0.00169,-0.15472,0.13528,0.7752,0.8890,0.2248,2.815,2.197,0.1877,0.0000,0.52062,8
0,G2,320,0.9600,-0.02807,0.00056,-0.15472,0.13528,0.7763,0.9077,0.2237,-0.105,2.197,0.0070,0.0000,0.50303,8
0,G2,330,0.9900,-0.02819,0.00112,-0.15472,0.13528,0.7774,0.9262,0.2226,2.028,1.782,0.1352,0.0000,0.48520,8
0,G2,340,1.0000,-0.02825,0.00144,-0.15472,0.13528,0.7629,0.9428,0.2371,3.645,3.392,0.2430,0.0000,0.46886,8
0,G2,350,1.0000,-0.02838,0.00077,-0.15472,0.13528,0.6487,0.9513,0.3513,4.343,3.392,0.2895,0.0000,0.46077,8
0,G2,360,1.0000,-0.02831,0.00203,-0.15472,0.13528,0.6116,0.9541,0.3884,3.446,3.392,0.2297,0.0000,0.45973,8
0,G2,370,1.0000,-0.02811,0.00194,-0.15472,0.13528,0.6103,0.9542,0.3897,1.197,2.536,0.0798,0.0000,0.46098,8
0,G2,380,1.0000,-0.02805,0.00077,-0.15472,0.13528,0.6183,0.9536,0.3817,1.048,2.028,0.0698,0.0000,0.46193,8
0,G2,390,1.0000,-0.02814,0.00159,-0.15472,0.13528,0.6246,0.9532,0.3754,1.022,1.876,0.0682,0.0000,0.46218,8
0,G2,400,1.0000,-0.02830,0.00196,-0.15472,0.13528,0.6272,0.9530,0.3728,0.587,1.876,0.0392,0.0000,0.46206,8
0,G2,410,1.0000,-0.02851,0.00193,-0.15472,0.13528,0.6277,0.9529,0.3723,0.370,1.876,0.0247,0.0000,0.46188,8
0,G2,420,1.0000,-0.02870,0.00153,-0.15472,0.13528,0.6273,0.9530,0.3727,0.356,1.876,0.0237,0.0000,0.46175,8
0,G2,430,1.0000,-0.02885,0.00114,-0.15472,0.13528,0.6270,0.9530,0.3730,0.416,1.876,0.0277,0.0000,0.46168,8
0,G2,440,1.0000,-0.02896,0.00094,-0.15472,0.13528,0.6269,0.9530,0.3731,0.468,1.876,0.0312,0.0000,0.46164,8
0,G2,450,1.0000,-0.02904,0.00078,-0.15472,0.13528,0.6269,0.9530,0.3731,0.491,1.876,0.0328,0.0000,0.46162,8
0,G2,460,1.0000,-0.02910,0.00055,-0.15472,0.13528,0.6268,0.9530,0.3732,0.491,1.876,0.0328,0.0000,0.46161,8
0,G2,470,1.0000,-0.02915,0.00032,-0.15472,0.13528,0.6268,0.9530,0.3732,0.484,1.876,0.0322,0.0000,0.46159,8
0,G2,480,1.0000,-0.02920,0.00015,-0.15472,0.13528,0.6267,0.9530,0.3733,0.473,1.876,0.0315,0.0000,0.46158,8
0,G2,490,1.0000,-0.02923,0.00010,-0.15472,0.13528,0.6267,0.9530,0.3733,0.463,1.876,0.0309,0.0000,0.46156,8
0,G2,500,1.0000,-0.02926,0.00010,-0.15472,0.13528,0.6268,0.9530,0.3732,0.452,1.876,0.0301,0.0000,0.46155,8
0,G2+raw,10,0.0300,-0.02844,0.00590,-0.15472,0.13528,0.8206,0.1972,0.1794,14.494,9.382,0.9663,0.7751,0.97963,8
0,G2+raw,20,0.0600,-0.02818,0.00418,-0.15472,0.13528,0.4129,0.0451,0.0254,11.482,5.521,0.7655,0.0000,0.97898,8
0,G2+raw,30,0.0900,-0.02794,0.00293,-0.15472,0.13528,0.6647,0.0348,0.0028,9.713,6.456,0.6475,0.0000,0.97759,8
0,G2+raw,40,0.1200,-0.02809,0.00285,-0.15472,0.13528,0.9191,0.0529,0.0000,10.175,7.157,0.6783,0.0000,0.97493,8
0,G2+raw,50,0.1500,-0.02838,0.00307,-0.15472,0.13528,1.0000,0.0838,0.0000,9.297,7.157,0.6198,0.0000,0.97089,8
0,G2+raw,60,0.1800,-0.02860,0.00376,-0.15472,0.13528,1.0000,0.1164,0.0000,9.949,7.157,0.6633,0.0000,0.96531,8
0,G2+raw,70,0.2100,-0.02870,0.00515,-0.15472,0.13528,1.0000,0.1497,0.0000,10.882,7.262,0.7255,0.0000,0.95818,8
0,G2+raw,80,0.2400,-0.02873,0.00655,-0.15472,0.13528,0.9970,0.1835,0.0030,9.626,7.262,0.6417,0.0000,0.94960,8
0,G2+raw,90,0.2700,-0.02875,0.00758,-0.15472,0.13528,0.9234,0.2170,0.0225,9.057,7.262,0.6038,0.0000,0.93991,8
0,G2+raw,100,0.3000,-0.02869,0.00821,-0.15472,0.13528,0.6026,0.2496,0.0399,10.286,6.198,0.6857,0.0000,0.92929,8
0,G2+raw,110,0.3300,-0.02846,0.00824,-0.15472,0.13528,0.4981,0.2842,0.0536,13.467,6.349,0.8978,0.3187,0.91665,8
0,G2+raw,120,0.3600,-0.02822,0.00743,-0.15472,0.13528,0.6477,0.3223,0.0661,8.523,5.521,0.5682,0.0000,0.90137,8
