case,step,time_s,bar_y,bar_z,bar_vy,bar_vz,pelvis_y,pelvis_z,pelvis_vy,pelvis_vz,thorax_y,thorax_z,trunk_pitch_deg,ke,saddle_sep,saddle_att,contacts,com_ap,cop_ap,abd_bias_deg,tho_bias_deg,abd_tgt_rate,tho_tgt_rate,abd_act_deg,tho_act_deg,abd_demand,tho_demand,ankle_bal_deg
R00,2,0.020,1.2689,-0.1457,-0.7441,-0.0598,0.9585,0.0848,-0.0843,0.4178,1.2946,0.0088,-12.75,51.8,0.0519,1,8,-0.0634,-0.0410,-0.05,0.01,0.0758,0.1137,-14.85,-13.19,0.1059,0.0921,0.00
R00,3,0.030,1.2614,-0.1463,-0.7466,-0.0611,0.9576,0.0891,-0.0792,0.4079,1.2909,0.0073,-13.78,51.5,0.0521,1,8,-0.0634,-0.0415,-0.07,0.02,0.0797,0.1195,-15.63,-13.76,0.1106,0.0950,0.00
R00,4,0.040,1.2537,-0.1470,-0.7534,-0.0658,0.9567,0.0932,-0.0860,0.3960,1.2868,0.0056,-14.86,50.1,0.0518,1,8,-0.0633,-0.0403,-0.09,0.02,0.0797,0.1195,-16.38,-14.30,0.1149,0.0975,0.00
R00,5,0.050,1.2461,-0.1476,-0.7671,-0.0741,0.9558,0.0971,-0.0764,0.3717,1.2830,0.0044,-15.82,49.7,0.0521,1,8,-0.0632,-0.0375,-0.11,0.03,0.0797,0.1195,-17.21,-14.87,0.1190,0.1007,0.00
R00,6,0.060,1.2381,-0.1484,-0.7831,-0.0722,0.9550,0.1007,-0.0664,0.3415,1.2790,0.0025,-16.86,52.2,0.0515,1,8,-0.0631,-0.0351,-0.13,0.03,0.0831,0.1247,-17.92,-15.35,0.1213,0.1006,0.00
R00,7,0.070,1.2304,-0.1491,-0.7854,-0.0620,0.9540,0.1040,-0.0907,0.3118,1.2750,0.0012,-17.76,50.7,0.0520,1,8,-0.0630,-0.0311,-0.14,0.03,0.0831,0.1247,-18.71,-15.88,0.1247,0.1057,0.00
R00,8,0.080,1.2223,-0.1494,-0.7944,-0.0356,0.9531,0.1069,-0.0785,0.2685,1.2711,-0.0005,-18.66,61.2,0.0505,1,8,-0.0630,-0.0293,-0.16,0.04,0.0831,0.1247,-19.45,-16.34,0.1309,0.1075,0.00
R00,9,0.090,1.2137,-0.1503,-0.8129,-0.0653,0.9523,0.1096,-0.0767,0.2670,1.2671,-0.0018,-19.50,51.0,0.0521,1,8,-0.0630,-0.0285,-0.18,0.04,0.0862,0.1292,-20.18,-16.78,0.1335,0.1101,0.00
R00,10,0.100,1.2056,-0.1509,-0.8124,-0.0529,0.9513,0.1123,-0.0891,0.2417,1.2627,-0.0037,-20.43,50.2,0.0520,1,8,-0.0630,-0.0260,-0.20,0.05,0.0862,0.1292,-20.87,-17.27,0.1383,0.1157,0.00
R00,11,0.110,1.1975,-0.1514,-0.8071,-0.0593,0.9502,0.1148,-0.1079,0.2270,1.2579,-0.0055,-21.35,50.2,0.0519,1,8,-0.0630,-0.0236,-0.22,0.05,0.0862,0.1292,-21.64,-17.75,0.1408,0.1158,0.00
R00,12,0.120,1.1894,-0.1519,-0.8030,-0.0513,0.9490,0.1171,-0.1045,0.2116,1.2531,-0.0075,-22.28,49.6,0.0518,1,8,-0.0631,-0.0249,-0.24,0.06,0.0862,0.1292,-22.42,-18.25,0.1442,0.1184,0.00
R00,13,0.130,1.1814,-0.1524,-0.8064,-0.0490,0.9479,0.1192,-0.0980,0.1882,1.2484,-0.0096,-23.20,50.0,0.0517,1,8,-0.0633,-0.0261,-0.25,0.06,0.0888,0.1332,-23.20,-18.70,0.1486,0.1210,0.00
R00,14,0.140,1.1733,-0.1529,-0.7968,-0.0509,0.9468,0.1211,-0.1035,0.1743,1.2434,-0.0116,-24.11,49.2,0.0518,1,8,-0.0635,-0.0261,-0.27,0.06,0.0888,0.1332,-23.94,-19.14,0.1518,0.1230,0.00
R00,15,0.150,1.1653,-0.1533,-0.7978,-0.0400,0.9458,0.1228,-0.0880,0.1455,1.2388,-0.0138,-25.00,48.8,0.0518,1,8,-0.0636,-0.0263,-0.29,0.07,0.0888,0.1332,-24.70,-19.59,0.1566,0.1260,0.00
R00,16,0.160,1.1573,-0.1537,-0.7912,-0.0448,0.9448,0.1243,-0.0902,0.1350,1.2340,-0.0160,-25.89,47.9,0.0518,1,8,-0.0639,-0.0259,-0.31,0.07,0.0910,0.1365,-25.41,-20.00,0.1590,0.1271,0.00
R00,17,0.170,1.1495,-0.1541,-0.7846,-0.0403,0.9440,0.1257,-0.0775,0.1115,1.2293,-0.0182,-26.76,47.2,0.0518,1,8,-0.0641,-0.0255,-0.33,0.08,0.0910,0.1365,-26.16,-20.42,0.1634,0.1302,0.00
R00,18,0.180,1.1417,-0.1544,-0.7824,-0.0417,0.9431,0.1268,-0.0741,0.0949,1.2247,-0.0206,-27.63,46.3,0.0516,1,8,-0.0644,-0.0237,-0.34,0.08,0.0910,0.1365,-26.85,-20.81,0.1661,0.1319,0.00
R00,19,0.190,1.1339,-0.1548,-0.7735,-0.0426,0.9423,0.1278,-0.0712,0.0777,1.2200,-0.0229,-28.50,45.2,0.0516,1,8,-0.0647,-0.0228,-0.36,0.09,0.0910,0.1365,-27.58,-21.19,0.1695,0.1343,0.00
R00,20,0.200,1.1261,-0.1552,-0.7661,-0.0414,0.9415,0.1288,-0.0722,0.0712,1.2152,-0.0254,-29.39,44.0,0.0516,1,8,-0.0651,-0.0213,-0.38,0.09,0.0927,0.1391,-28.29,-21.56,0.1729,0.1364,0.00
R00,21,0.210,1.1187,-0.1557,-0.7494,-0.0478,0.9408,0.1295,-0.0648,0.0471,1.2107,-0.0279,-30.25,42.9,0.0516,1,8,-0.0655,-0.0203,-0.40,0.10,0.0927,0.1391,-29.03,-21.90,0.1767,0.1385,0.00
R00,22,0.220,1.1114,-0.1562,-0.7286,-0.0643,0.9400,0.1300,-0.0791,0.0321,1.2059,-0.0301,-31.06,42.2,0.0516,1,8,-0.0660,-0.0187,-0.42,0.10,0.0927,0.1391,-29.71,-22.24,0.1787,0.1403,0.00
