tick,joint,actual_x_deg,applied_target_x_deg,nominal_x_deg,tracking_err_deg,command_offset_deg,reference_dev_deg,limit_proximity,demand,solver_torque_nm,max_force_nm
28,left_foot,-1.66,2.86,-3.43,4.52,5.95,1.78,0.037,0.028,3.1,1710.0
28,right_foot,-1.78,2.86,-3.43,4.63,5.95,1.66,0.039,0.029,2.4,1710.0
28,left_shank,3.51,10.63,10.63,7.13,0.00,7.13,0.024,0.053,4.8,2052.0
28,right_shank,3.71,10.63,10.63,6.92,0.00,6.92,0.026,0.052,0.8,2052.0
28,left_thigh,-3.02,-9.85,-9.85,6.83,0.00,6.83,0.025,0.057,0.0,2052.0
28,right_thigh,-3.11,-9.85,-9.85,6.74,0.00,6.74,0.026,0.057,0.0,2052.0
28,abdomen,-1.22,1.45,1.45,2.72,0.00,2.72,0.035,0.025,0.0,1482.0
28,thorax,-0.90,2.17,2.17,3.07,0.00,3.07,0.026,0.029,0.0,1482.0
30,left_foot,-1.89,2.86,-3.68,4.75,5.35,1.80,0.042,0.030,3.1,1710.0
30,right_foot,-2.00,2.86,-3.68,4.86,5.35,1.68,0.045,0.030,2.4,1710.0
30,left_shank,4.20,11.41,11.41,7.21,0.00,7.21,0.029,0.053,4.8,2052.0
30,right_shank,4.41,11.41,11.41,7.00,0.00,7.00,0.030,0.052,0.9,2052.0
30,left_thigh,-3.63,-10.56,-10.56,6.93,0.00,6.93,0.030,0.057,0.0,2052.0
30,right_thigh,-3.72,-10.56,-10.56,6.84,0.00,6.84,0.031,0.057,0.0,2052.0
30,abdomen,-1.09,1.56,1.56,2.70,0.00,2.71,0.031,0.024,0.0,1482.0
30,thorax,-0.74,2.33,2.33,3.08,0.00,3.08,0.021,0.028,0.0,1482.0
32,left_foot,-2.13,3.58,-3.94,5.71,8.11,1.81,0.047,0.037,3.0,1710.0
32,right_foot,-2.25,3.58,-3.94,5.83,8.11,1.69,0.050,0.038,2.2,1710.0
32,left_shank,4.92,12.19,12.19,7.27,0.00,7.27,0.034,0.052,4.6,2052.0
32,right_shank,5.13,12.19,12.19,7.06,0.00,7.06,0.035,0.051,0.8,2052.0
32,left_thigh,-4.27,-11.28,-11.28,7.02,0.00,7.02,0.036,0.057,0.0,2052.0
32,right_thigh,-4.36,-11.28,-11.28,6.92,0.00,6.92,0.036,0.057,0.0,2052.0
32,abdomen,-0.95,1.67,1.67,2.67,0.00,2.67,0.027,0.023,0.0,1482.0
32,thorax,-0.58,2.50,2.50,3.08,0.00,3.08,0.016,0.028,0.0,1482.0
