phase_sq,hip_flexion_deg,trunk_flexion_deg,knee_flexion_deg,left_overlap,left_penetration_m,left_surface_gap_m,right_overlap,right_penetration_m,right_surface_gap_m,contact_within_offset
0.605,79.72,15.05,80.66,1,0.02623,0.00000,1,0.02453,0.00000,1
0.610,79.82,15.03,80.76,1,0.02636,0.00000,1,0.02466,0.00000,1
0.615,79.93,15.01,80.88,1,0.02651,0.00000,1,0.02482,0.00000,1
0.620,80.06,15.00,81.02,1,0.02671,0.00000,1,0.02501,0.00000,1
0.625,80.23,14.99,81.19,1,0.02696,0.00000,1,0.02526,0.00000,1
0.630,80.44,14.99,81.41,1,0.02728,0.00000,1,0.02558,0.00000,1
0.635,80.69,14.99,81.67,1,0.02769,0.00000,1,0.02599,0.00000,1
0.640,81.00,15.00,82.00,1,0.02820,0.00000,1,0.02651,0.00000,1
0.645,81.35,15.02,82.37,1,0.02879,0.00000,1,0.02710,0.00000,1
0.650,81.72,15.04,82.76,1,0.02941,0.00000,1,0.02773,0.00000,1
0.655,82.11,15.06,83.17,1,0.03007,0.00000,1,0.02839,0.00000,1
0.660,82.52,15.08,83.60,1,0.03077,0.00000,1,0.02909,0.00000,1
0.665,82.94,15.11,84.04,1,0.03149,0.00000,1,0.02981,0.00000,1
0.670,83.38,15.13,84.50,1,0.03224,0.00000,1,0.03057,0.00000,1
0.675,83.83,15.16,84.98,1,0.03302,0.00000,1,0.03135,0.00000,1
0.680,84.29,15.19,85.47,1,0.03383,0.00000,1,0.03216,0.00000,1
0.685,84.77,15.22,85.97,1,0.03466,0.00000,1,0.03300,0.00000,1
0.690,85.26,15.25,86.48,1,0.03551,0.00000,1,0.03386,0.00000,1
0.695,85.75,15.28,87.00,1,0.03639,0.00000,1,0.03473,0.00000,1
0.700,86.25,15.31,87.54,1,0.03728,0.00000,1,0.03563,0.00000,1
0.705,86.77,15.35,88.08,1,0.03819,0.00000,1,0.03654,0.00000,1
0.710,87.28,15.38,88.62,1,0.03911,0.00000,1,0.03747,0.00000,1
0.715,87.80,15.41,89.17,1,0.04005,0.00000,1,0.03841,0.00000,1
0.720,88.33,15.45,89.73,1,0.04099,0.00000,1,0.03936,0.00000,1
0.725,88.86,15.48,90.29,1,0.04195,0.00000,1,0.04033,0.00000,1
0.730,89.39,15.52,90.85,1,0.04291,0.00000,1,0.04129,0.00000,1
0.735,89.92,15.55,91.42,1,0.04388,0.00000,1,0.04227,0.00000,1
0.740,90.45,15.59,91.98,1,0.04485,0.00000,1,0.04324,0.00000,1
0.745,90.98,15.62,92.54,1,0.04582,0.00000,1,0.04422,0.00000,1
0.750,91.51,15.65,93.10,1,0.04678,0.00000,1,0.04519,0.00000,1
0.755,92.03,15.69,93.65,1,0.04775,0.00000,1,0.04616,0.00000,1
0.760,92.55,15.72,94.20,1,0.04870,0.00000,1,0.04712,0.00000,1
0.765,93.06,15.75,94.75,1,0.04965,0.00000,1,0.04807,0.00000,1
0.770,93.57,15.78,95.28,1,0.05059,0.00000,1,0.04902,0.00000,1
0.775,94.06,15.81,95.81,1,0.05151,0.00000,1,0.04995,0.00000,1
0.780,94.55,15.84,96.33,1,0.05242,0.00000,1,0.05086,0.00000,1
0.785,95.03,15.86,96.84,1,0.05331,0.00000,1,0.05176,0.00000,1
0.790,95.50,15.89,97.34,1,0.05418,0.00000,1,0.05263,0.00000,1
0.795,95.95,15.91,97.82,1,0.05503,0.00000,1,0.05349,0.00000,1
0.800,96.39,15.93,98.29,1,0.05585,0.00000,1,0.05432,0.00000,1
0.805,96.82,15.95,98.74,1,0.05664,0.00000,1,0.05512,0.00000,1
0.810,97.23,15.97,99.18,1,0.05741,0.00000,1,0.05589,0.00000,1
0.815,97.62,15.99,99.60,1,0.05815,0.00000,1,0.05663,0.00000,1
0.820,98.00,16.00,100.00,1,0.05885,0.00000,1,0.05734,0.00000,1
0.825,98.37,16.01,100.39,1,0.05953,0.00000,1,0.05803,0.00000,1
0.830,98.74,16.02,100.79,1,0.06022,0.00000,1,0.05873,0.00000,1
0.835,99.11,16.03,101.18,1,0.06091,0.00000,1,0.05942,0.00000,1
0.840,99.48,16.04,101.58,1,0.06160,0.00000,1,0.06012,0.00000,1
0.845,99.85,16.05,101.98,1,0.06230,0.00000,1,0.06082,0.00000,1
0.850,100.23,16.05,102.38,1,0.06300,0.00000,1,0.06152,0.00000,1
0.855,100.60,16.06,102.78,1,0.06369,0.00000,1,0.06223,0.00000,1
0.860,100.98,16.06,103.19,1,0.06439,0.00000,1,0.06293,0.00000,1
0.865,101.35,16.06,103.59,1,0.06509,0.00000,1,0.06364,0.00000,1
0.870,101.73,16.06,103.99,1,0.06579,0.00000,1,0.06434,0.00000,1
0.875,102.10,16.06,104.40,1,0.06649,0.00000,1,0.06505,0.00000,1
0.880,102.48,16.07,104.80,1,0.06719,0.00000,1,0.06575,0.00000,1
0.885,102.85,16.06,105.21,1,0.06789,0.00000,1,0.06646,0.00000,1
0.890,103.23,16.06,105.61,1,0.06859,0.00000,1,0.06717,0.00000,1
0.895,103.60,16.06,106.01,1,0.06929,0.00000,1,0.06787,0.00000,1
0.900,103.98,16.06,106.42,1,0.06999,0.00000,1,0.06857,0.00000,1
0.905,104.35,16.06,106.82,1,0.07068,0.00000,1,0.06928,0.00000,1
0.910,104.72,16.06,107.22,1,0.07138,0.00000,1,0.06998,0.00000,1
0.915,105.09,16.05,107.62,1,0.07207,0.00000,1,0.07068,0.00000,1
0.920,105.46,16.05,108.02,1,0.07276,0.00000,1,0.07137,0.00000,1
0.925,105.82,16.04,108.41,1,0.07345,0.00000,1,0.07207,0.00000,1
0.930,106.19,16.04,108.81,1,0.07413,0.00000,1,0.07276,0.00000,1
0.935,106.55,16.04,109.20,1,0.07481,0.00000,1,0.07344,0.00000,1
0.940,106.91,16.03,109.59,1,0.07549,0.00000,1,0.07413,0.00000,1
0.945,107.27,16.03,109.98,1,0.07616,0.00000,1,0.07481,0.00000,1
0.950,107.63,16.02,110.36,1,0.07683,0.00000,1,0.07548,0.00000,1
0.955,107.98,16.02,110.74,1,0.07750,0.00000,1,0.07616,0.00000,1
0.960,108.33,16.02,111.12,1,0.07816,0.00000,1,0.07682,0.00000,1
0.965,108.68,16.01,111.49,1,0.07881,0.00000,1,0.07748,0.00000,1
0.970,109.02,16.01,111.86,1,0.07946,0.00000,1,0.07814,0.00000,1
0.975,109.36,16.01,112.23,1,0.08010,0.00000,1,0.07879,0.00000,1
0.980,109.69,16.00,112.59,1,0.08074,0.00000,1,0.07943,0.00000,1
0.985,110.03,16.00,112.95,1,0.08137,0.00000,1,0.08007,0.00000,1
0.990,110.36,16.00,113.31,1,0.08199,0.00000,1,0.08070,0.00000,1
0.995,110.68,16.00,113.66,1,0.08261,0.00000,1,0.08132,0.00000,1
1.000,111.00,16.00,114.00,1,0.08322,0.00000,1,0.08194,0.00000,1
